history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВЦЗ 1P1R;RU000A0ZYLK7;4;40028.1;100;100.19;100.19;100.19;3.42;100.07;13.03;100.11;40;100.18;100.18;100.19;777422.6;501894.7;777422.6;2027-12-10;1214;13.07;;;;31.16;2022-12-16;2018-10-01;1000;SUR;;12.9974;;2022-12-21;RUB
EQOB;2018-10-02;ВЦЗ 1P1R;RU000A0ZYLK7;10;474062.1;100;100.24;100.09;100.09;3.77;100.01;13.06;100.24;474;;100.02;100.09;0;512088;0;2027-12-10;1213;13.09;;;;31.16;2022-12-16;2018-10-02;1000;SUR;;13.0307;;2022-12-21;RUB
EQOB;2018-10-03;ВЦЗ 1P1R;RU000A0ZYLK7;8;1189448.9;100.01;100.2;100.01;100.01;4.11;100.04;13.09;100.2;1189;100.03;100.03;100.01;1663511;1391470.7;1663511;2027-12-10;1212;13.08;;;;31.16;2022-12-16;2018-10-03;1000;SUR;;13.0576;;2022-12-21;RUB
EQOB;2018-10-04;ВЦЗ 1P1R;RU000A0ZYLK7;6;212370.8;100.01;100.23;100.23;100.2;4.45;100.17;13.02;100.01;212;100.06;100.04;100.2;1401819.7;1231479.7;1401819.7;2027-12-10;1211;13.04;;;;31.16;2022-12-16;2018-10-04;1000;SUR;;12.9832;;2022-12-21;RUB
EQOB;2018-10-05;ВЦЗ 1P1R;RU000A0ZYLK7;6;233361.8;100.15;100.2;100.2;100.16;4.79;100.16;13.03;100.16;233;;100.06;100.16;0;1445832.6;0;2027-12-10;1210;13.04;;;;31.16;2022-12-16;2018-10-05;1000;SUR;;12.9932;;2022-12-21;RUB
EQOB;2018-10-08;ВЦЗ 1P1R;RU000A0ZYLK7;6;136270.5;100.18;100.28;100.2;100.2;5.82;100.2;13.03;100.23;136;;100.17;100.2;0;569983.3;0;2027-12-10;1207;13.03;;;;31.16;2022-12-16;2018-10-08;1000;SUR;;12.9926;;2022-12-21;RUB
EQOB;2018-10-09;ВЦЗ 1P1R;RU000A0ZYLK7;13;368714;100.14;100.25;100.15;100.15;6.16;100.19;13.04;100.2;368;;100.2;100.15;0;501977.6;0;2027-12-10;1206;13.03;;;;31.16;2022-12-16;2018-10-09;1000;SUR;;13.0094;;2022-12-21;RUB
EQOB;2018-10-10;ВЦЗ 1P1R;RU000A0ZYLK7;12;1350517.7;100;100.19;100.1;100.1;6.51;100.04;13.06;100.19;1350;100.04;100.04;100.1;1350517.7;1350517.7;1350517.7;2027-12-10;1205;13.08;;;;31.16;2022-12-16;2018-10-10;1000;SUR;;13.026;;2022-12-21;RUB
EQOB;2018-10-11;ВЦЗ 1P1R;RU000A0ZYLK7;22;734496.9;99.97;100.1;100.1;100.1;6.85;100.07;13.06;100.1;734;100.07;100.07;100.1;734496.9;734496.9;734496.9;2027-12-10;1204;13.07;;;;31.16;2022-12-16;2018-10-11;1000;SUR;;13.0259;;2022-12-21;RUB
EQOB;2018-10-12;ВЦЗ 1P1R;RU000A0ZYLK7;9;339270.1;100;100.1;100.1;100.1;7.19;100.08;13.06;100.09;339;100.07;100.09;100.1;1073767;641572.1;1073767;2027-12-10;1203;13.07;;;;31.16;2022-12-16;2018-10-12;1000;SUR;;13.0258;;2022-12-21;RUB
