history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;МосОбл2017;RU000A0ZYML3;3;18714.5;98.45;98.5;98.5;98.5;0.82;98.5;8.38;98.5;19;;98.27;98.5;0;512965.5;0;2022-12-22;893;8.38;;;;18.7;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;МосОбл2017;RU000A0ZYML3;1;14775;98.5;98.5;98.5;98.5;1.03;98.5;8.38;98.5;15;;98.28;98.5;0;527740.5;0;2022-12-22;892;8.38;;;;18.7;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;МосОбл2017;RU000A0ZYML3;2;65338;98.98;99;98.98;98.98;1.23;99;8.16;99;66;;98.35;98.98;0;593078.5;0;2022-12-22;892;8.16;;;;18.7;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;МосОбл2017;RU000A0ZYML3;0;0;;;;98.98;1.44;;8.16;;0;;98.35;98.98;0;593078.5;0;2022-12-22;890;;;;;18.7;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-05;МосОбл2017;RU000A0ZYML3;1;988;98.8;98.8;98.8;98.8;1.64;98.8;8.25;98.8;1;94.96;98.36;98.8;1562120.4;594066.5;1562120.4;2022-12-22;890;8.25;;;;18.7;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;МосОбл2017;RU000A0ZYML3;1;53762.5;97.75;97.75;97.75;97.75;2.26;97.75;8.72;97.75;55;98.31;98.35;97.75;549579;507505;549579;2022-12-22;884;8.72;;;;18.7;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;МосОбл2017;RU000A0ZYML3;5;162433.6;97.75;98.78;98.78;98.5;2.47;98.44;8.26;97.76;165;98.38;98.36;98.5;661145.6;608856.3;661145.6;2022-12-22;885;8.41;;;;18.7;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;МосОбл2017;RU000A0ZYML3;2;3951.6;98.79;98.79;98.79;98.79;2.67;98.79;8.25;98.79;4;98.39;98.36;98.79;663132.2;612807.9;663132.2;2022-12-22;885;8.25;;;;18.7;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;МосОбл2017;RU000A0ZYML3;1;987.5;98.75;98.75;98.75;98.75;2.88;98.75;8.27;98.75;1;;98.36;98.75;0;613795.4;0;2022-12-22;884;8.27;;;;18.7;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;МосОбл2017;RU000A0ZYML3;2;2959;98.5;98.7;98.5;98.5;3.08;98.63;8.38;98.7;3;;98.37;98.5;0;616754.4;0;2022-12-22;882;8.33;;;;18.7;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;МосОбл2017;RU000A0ZYML3;4;22634.5;97.11;98.89;98.89;98.67;3.7;98.41;8.21;98;23;;98.37;98.67;0;639388.9;0;2022-12-22;879;8.43;;;;18.7;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;МосОбл2017;RU000A0ZYML3;3;1732646.1;97.99;98.8;98.8;98.8;3.9;98;8.25;97.99;1768;98.01;98.01;98.8;1763178.7;1759227.1;1763178.7;2022-12-22;877;8.62;;;;18.7;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;4.11;;8.25;;0;98.01;98.01;98.8;1759227.1;1759227.1;1759227.1;2022-12-22;876;;;;;18.7;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-18;МосОбл2017;RU000A0ZYML3;1;982.5;98.25;98.25;98.25;98.25;4.32;98.25;8.5;98.25;1;98.01;98.01;98.25;1759222.1;1759222.1;1759222.1;2022-12-22;875;8.5;;;;18.7;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;МосОбл2017;RU000A0ZYML3;3;69812.8;98.25;98.83;98.25;98.25;4.52;98.33;8.5;98.8;71;98.02;98.02;98.25;1826075.9;1824115.9;1826075.9;2022-12-22;875;8.47;;;;18.7;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;МосОбл2017;RU000A0ZYML3;2;195517.5;98.25;98.25;98.25;98.25;5.14;98.25;8.5;98.25;199;98.07;98.04;98.25;2191925.1;2006870.1;2191925.1;2022-12-22;871;8.5;;;;18.7;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;МосОбл2017;RU000A0ZYML3;0;0;;;;98.25;5.34;;8.51;;0;98.04;98.04;98.25;2029491.5;2006870.1;2029491.5;2022-12-22;870;;;;;18.7;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-24;МосОбл2017;RU000A0ZYML3;1;988;98.8;98.8;98.8;98.8;5.55;98.8;8.25;98.8;1;98.04;98.04;98.8;2026527.9;1999946.9;2026527.9;2022-12-22;871;8.25;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;5.75;;8.25;;0;98.04;98.04;98.8;2025540.4;1999946.9;2025540.4;2022-12-22;868;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-26;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;5.96;;8.25;;0;98.04;98.04;98.8;2022581.4;1999946.9;2022581.4;2022-12-22;867;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-29;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;6.58;;8.26;;0;98.04;98.04;98.8;1999946.9;1999946.9;1999946.9;2022-12-22;864;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-30;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;6.78;;8.26;;0;;98.04;98.8;0;1999946.9;0;2022-12-22;863;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-31;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;6.99;;8.26;;0;;98.04;98.8;0;1999946.9;0;2022-12-22;862;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-11-01;МосОбл2017;RU000A0ZYML3;0;0;;;;98.8;7.19;;8.26;;0;;98.04;98.8;0;1999946.9;0;2022-12-22;861;;;;;18.7;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-11-02;МосОбл2017;RU000A0ZYML3;1;4945;98.9;98.9;98.9;98.9;7.4;98.9;8.21;98.9;5;;98.04;98.9;0;1986273.8;0;2022-12-22;862;8.21;;;;18.7;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;МосОбл2017;RU000A0ZYML3;0;0;;;;98.9;8.22;;8.21;;0;;98.04;98.9;0;1986273.8;0;2022-12-22;856;;;;;18.7;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-07;МосОбл2017;RU000A0ZYML3;0;0;;;;98.9;8.42;;8.21;;0;;98.04;98.9;0;1986273.8;0;2022-12-22;855;;;;;18.7;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-08;МосОбл2017;RU000A0ZYML3;1;9879;98.79;98.79;98.79;98.79;8.63;98.79;8.27;98.79;10;;98.04;98.79;0;1996152.8;0;2022-12-22;856;8.27;;;;18.7;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;МосОбл2017;RU000A0ZYML3;0;0;;;;98.79;8.84;;8.27;;0;;98.04;98.79;0;1996152.8;0;2022-12-22;853;;;;;18.7;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-12;МосОбл2017;RU000A0ZYML3;0;0;;;;98.79;9.45;;8.27;;0;;98.04;98.79;0;1996152.8;0;2022-12-22;850;;;;;18.7;;2018-11-08;1000;SUR;;;;;RUB
