history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГПБ БО-18;RU000A0ZYRX7;0;0;;;;96.5;10.21;;8.85;;0;97.4;97.4;96.5;501620.4;501620.4;501620.4;2023-02-12;1098;;;;;37.56;2022-02-12;2018-09-28;1000;SUR;;8.8554;;2022-02-15;RUB
EQOB;2018-10-02;ГПБ БО-18;RU000A0ZYRX7;1;20317.5;96.75;96.75;96.75;96.75;10.41;96.75;8.76;96.75;21;96.62;97.38;96.75;32481024.3;521937.9;32481024.3;2023-02-12;1096;8.76;;;;37.56;2022-02-12;2018-10-02;1000;SUR;;8.7408;;2022-02-15;RUB
EQOB;2018-10-03;ГПБ БО-18;RU000A0ZYRX7;0;0;;;;96.75;10.61;;8.76;;0;96.62;97.38;96.75;32481024.3;521937.9;32481024.3;2023-02-12;1096;;;;;37.56;2022-02-12;2018-10-02;1000;SUR;;8.7491;;2022-02-15;RUB
EQOB;2018-10-04;ГПБ БО-18;RU000A0ZYRX7;3;493044.6;98;98.94;98;98.81;10.82;98.81;8.3;98.8;499;96.65;97.87;98.81;32673988.9;852475.5;32673988.9;2023-02-12;1096;8.01;;;;37.56;2022-02-12;2018-10-04;1000;SUR;;8.2839;;2022-02-15;RUB
EQOB;2018-10-05;ГПБ БО-18;RU000A0ZYRX7;4;86913952.1;96.35;99;96.35;96.35;11.02;96.51;8.91;99;90201;96.38;96.37;96.35;87941781;87697912.6;87941781;2023-02-12;1093;8.85;;;;37.56;2022-02-12;2018-10-05;1000;SUR;;8.8917;;2022-02-15;RUB
EQOB;2018-10-08;ГПБ БО-18;RU000A0ZYRX7;2;63245;97.3;97.3;97.3;97.3;11.63;97.3;8.56;97.3;65;96.37;96.37;97.3;87490559.2;87490559.2;87490559.2;2023-02-12;1091;8.56;;;;37.56;2022-02-12;2018-10-08;1000;SUR;;8.5423;;2022-02-15;RUB
EQOB;2018-10-09;ГПБ БО-18;RU000A0ZYRX7;0;0;;;;97.3;11.84;;8.56;;0;96.37;96.37;97.3;87829672.6;87490559.2;87829672.6;2023-02-12;1089;;;;;37.56;2022-02-12;2018-10-08;1000;SUR;;8.5504;;2022-02-15;RUB
EQOB;2018-10-10;ГПБ БО-18;RU000A0ZYRX7;2;345190.1;97.5;98.99;97.5;97.5;12.04;98.34;8.49;98.99;351;96.38;96.37;97.5;87815431.8;87352059.8;87815431.8;2023-02-12;1089;8.18;;;;37.56;2022-02-12;2018-10-10;1000;SUR;;8.4698;;2022-02-15;RUB
EQOB;2018-10-11;ГПБ БО-18;RU000A0ZYRX7;0;0;;;;97.5;12.25;;8.49;;0;96.38;96.37;97.5;88106347.7;87352059.8;88106347.7;2023-02-12;1087;;;;;37.56;2022-02-12;2018-10-10;1000;SUR;;8.4779;;2022-02-15;RUB
EQOB;2018-10-12;ГПБ БО-18;RU000A0ZYRX7;1;980;98;98;98;98;12.45;98;8.31;98;1;96.38;96.36;98;87836729.3;87324347.2;87836729.3;2023-02-12;1087;8.31;;;;37.56;2022-02-12;2018-10-12;1000;SUR;;8.2875;;2022-02-15;RUB
EQOB;2018-10-15;ГПБ БО-18;RU000A0ZYRX7;1;186798;97.8;97.8;97.8;97.8;13.06;97.8;8.38;97.8;191;96.38;96.37;97.8;88023527.3;87510165.2;88023527.3;2023-02-12;1084;8.38;;;;37.56;2022-02-12;2018-10-15;1000;SUR;;8.3623;;2022-02-15;RUB
EQOB;2018-10-16;ГПБ БО-18;RU000A0ZYRX7;0;0;;;;97.8;13.27;;8.38;;0;96.38;96.37;97.8;88003209.8;87510165.2;88003209.8;2023-02-12;1082;;;;;37.56;2022-02-12;2018-10-15;1000;SUR;;8.3704;;2022-02-15;RUB
EQOB;2018-10-17;ГПБ БО-18;RU000A0ZYRX7;6;954251.9;96;96.99;96.99;96.99;13.47;96;8.68;96.03;994;96.38;96.76;96.99;88957461.7;1487220;88957461.7;2023-02-12;1081;9.05;;;;37.56;2022-02-12;2018-10-17;1000;SUR;;8.663;;2022-02-15;RUB
EQOB;2018-10-18;ГПБ БО-18;RU000A0ZYRX7;2;949568;96.5;97.3;96.5;96.5;13.68;96.5;8.87;97.3;984;96.39;96.39;96.5;2091597.9;2091597.9;2091597.9;2023-02-12;1080;8.87;;;;37.56;2022-02-12;2018-10-18;1000;SUR;;8.8467;;2022-02-15;RUB
EQOB;2018-10-19;ГПБ БО-18;RU000A0ZYRX7;2;107115;96.5;96.5;96.5;96.5;13.88;96.5;8.87;96.5;111;96.26;96.26;96.5;2010934.9;2010934.9;2010934.9;2023-02-12;1079;8.87;;;;37.56;2022-02-12;2018-10-19;1000;SUR;;8.8477;;2022-02-15;RUB
EQOB;2018-10-22;ГПБ БО-18;RU000A0ZYRX7;2;1062455.5;96.05;96.8;96.8;96.06;14.49;96.06;8.76;96.05;1106;96.19;96.19;96.06;3073390.4;3066668.4;3073390.4;2023-02-12;1076;9.04;;;;37.56;2022-02-12;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ГПБ БО-18;RU000A0ZYRX7;1;11580;96.5;96.5;96.5;96.5;14.7;96.5;8.87;96.5;12;96.19;96.2;96.5;3084970.4;3077288.4;3084970.4;2023-02-12;1075;8.87;;;;37.56;2022-02-12;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ГПБ БО-18;RU000A0ZYRX7;3;342318;96.7;96.7;96.7;96.7;14.9;96.7;8.8;96.7;354;96.34;96.34;96.7;2473036.5;2473036.5;2473036.5;2023-02-12;1074;8.8;;;;37.56;2022-02-12;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ГПБ БО-18;RU000A0ZYRX7;1;30940.8;96.69;96.69;96.69;96.69;15.1;96.69;8.8;96.69;32;96.33;96.34;96.69;3646007.2;2503004.3;3646007.2;2023-02-12;1073;8.8;;;;37.56;2022-02-12;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ГПБ БО-18;RU000A0ZYRX7;6;399643.4;97.23;98.87;97.23;97.24;15.31;97.24;8.6;97.23;411;96.98;96.98;97.24;772902.2;772902.2;772902.2;2023-02-12;1073;8.6;;;;37.56;2022-02-12;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ГПБ БО-18;RU000A0ZYRX7;6;1374309.9;96.99;98.5;98.5;98.5;15.92;98.24;8.13;97;1399;98.01;98.04;98.5;1773953.3;1706864.6;1773953.3;2023-02-12;1070;8.23;;;;37.56;2022-02-12;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ГПБ БО-18;RU000A0ZYRX7;1;49250;98.5;98.5;98.5;98.5;16.12;98.5;8.13;98.5;50;98.02;98.05;98.5;1823203.3;1751252.6;1823203.3;2023-02-12;1070;8.13;;;;37.56;2022-02-12;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ГПБ БО-18;RU000A0ZYRX7;3;96028.8;98.88;99;99;99;16.33;99;7.95;98.88;97;98.29;98.29;99;1519588.7;1519588.7;1519588.7;2023-02-12;1069;7.95;;;;37.56;2022-02-12;2018-10-31;1000;SUR;;;;;RUB
