,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ГПБ БО-19,RU000A0ZYRY5,13,79078.5,96.1,96.8,96.8,96.8,10.21,96.44,8.74,96.15,82,,96.19,96.8,0.0,554059.5,0.0,2023-02-12,1097,8.87,,,,37.56,2022-02-12,2018-10-01,1000,SUR,,8.7215,,2022-02-15,RUB
1,EQOB,2018-10-02,ГПБ БО-19,RU000A0ZYRY5,2,10594.0,96.3,96.31,96.3,96.31,10.41,96.31,8.93,96.31,11,,96.19,96.31,0.0,564653.5,0.0,2023-02-12,1096,8.92,,,,37.56,2022-02-12,2018-10-02,1000,SUR,,8.9076,,2022-02-15,RUB
2,EQOB,2018-10-03,ГПБ БО-19,RU000A0ZYRY5,13,1546124.6,96.5,97.5,96.5,96.5,10.61,97.0,8.85,96.9,1594,97.0,97.0,96.5,1546124.6,1546124.6,1546124.6,2023-02-12,1095,8.67,,,,37.56,2022-02-12,2018-10-03,1000,SUR,,8.8343,,2022-02-15,RUB
3,EQOB,2018-10-04,ГПБ БО-19,RU000A0ZYRY5,5,8661.2,96.03,96.5,96.4,96.4,10.82,96.28,8.89,96.03,9,96.99,96.98,96.4,1554785.8,607101.0,1554785.8,2023-02-12,1094,8.94,,,,37.56,2022-02-12,2018-10-04,1000,SUR,,8.8721,,2022-02-15,RUB
4,EQOB,2018-10-05,ГПБ БО-19,RU000A0ZYRY5,3,4158987.7,96.4,97.8,97.8,97.8,11.02,96.41,8.38,96.4,4314,96.57,96.41,97.8,5713773.5,4178268.8,5713773.5,2023-02-12,1093,8.89,,,,37.56,2022-02-12,2018-10-05,1000,SUR,,8.3573,,2022-02-15,RUB
5,EQOB,2018-10-08,ГПБ БО-19,RU000A0ZYRY5,5,109568.0,96.73,97.8,97.8,97.8,11.63,96.96,8.38,96.73,113,96.42,96.42,97.8,4277216.9,4271447.7,4277216.9,2023-02-12,1090,8.69,,,,37.56,2022-02-12,2018-10-08,1000,SUR,,8.3589,,2022-02-15,RUB
6,EQOB,2018-10-09,ГПБ БО-19,RU000A0ZYRY5,0,0.0,,,,97.8,11.84,,8.38,,0,96.57,96.42,97.8,5823341.5,4271447.7,5823341.5,2023-02-12,1089,,,,,37.56,2022-02-12,2018-10-08,1000,SUR,,8.3668,,2022-02-15,RUB
7,EQOB,2018-10-10,ГПБ БО-19,RU000A0ZYRY5,0,0.0,,,,97.8,12.04,,8.38,,0,96.42,96.42,97.8,4277216.9,4271447.7,4277216.9,2023-02-12,1088,,,,,37.56,2022-02-12,2018-10-08,1000,SUR,,8.3748,,2022-02-15,RUB
8,EQOB,2018-10-11,ГПБ БО-19,RU000A0ZYRY5,6,11332144.5,96.05,96.25,96.25,96.25,12.25,96.05,8.95,96.1,11798,96.15,96.06,96.25,15600700.2,11361426.6,15600700.2,2023-02-12,1087,9.03,,,,37.56,2022-02-12,2018-10-11,1000,SUR,,8.9342,,2022-02-15,RUB
9,EQOB,2018-10-12,ГПБ БО-19,RU000A0ZYRY5,1,968.0,96.8,96.8,96.8,96.8,12.45,96.8,8.75,96.8,1,96.06,96.05,96.8,11442680.5,11353620.5,11442680.5,2023-02-12,1086,8.75,,,,37.56,2022-02-12,2018-10-12,1000,SUR,,8.7299,,2022-02-15,RUB
