history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ЖКИнвБО01;RU000A0ZYSS5;6;397639.5;100.01;100.44;100.01;100.01;10.36;100.41;14.47;100.35;396;100.44;100.44;100.01;1404148.5;1404148.5;1404148.5;2021-03-05;774;14.26;;;;69.81;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ЖКИнвБО01;RU000A0ZYSS5;1;196862.4;100.44;100.44;100.44;100.44;10.74;100.44;14.24;100.44;196;100.44;100.42;100.44;1601010.9;612582.9;1601010.9;2021-03-05;773;14.24;;;;69.81;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ЖКИнвБО01;RU000A0ZYSS5;2;54237.6;100.44;100.44;100.44;100.44;11.12;100.44;14.24;100.44;54;100.44;100.42;100.44;1667327.7;653762;1667327.7;2021-03-05;772;14.24;;;;69.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ЖКИнвБО01;RU000A0ZYSS5;1;1004.3;100.43;100.43;100.43;100.43;11.51;100.43;14.24;100.43;1;100.44;100.42;100.43;1656252.8;649743.8;1656252.8;2021-03-05;771;14.24;;;;69.81;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ЖКИнвБО01;RU000A0ZYSS5;2;4005.1;100.02;100.45;100.45;100.45;11.89;100.13;14.23;100.02;4;100.42;100.44;100.45;653748.9;553398.9;653748.9;2021-03-05;770;14.4;;;;69.81;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ЖКИнвБО01;RU000A0ZYSS5;4;51218.2;100.4;100.43;100.43;100.43;13.04;100.43;14.24;100.4;51;;100.43;100.43;0;604617.1;0;2021-03-05;767;14.24;;;;69.81;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ЖКИнвБО01;RU000A0ZYSS5;5;117512;100.42;100.44;100.42;100.42;13.42;100.44;14.25;100.44;117;;100.44;100.42;0;722129.1;0;2021-03-05;766;14.23;;;;69.81;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ЖКИнвБО01;RU000A0ZYSS5;5;1010341.6;100.02;100.44;100.44;100.44;13.81;100.43;14.23;100.02;1006;100.43;100.43;100.44;1127853.6;1127853.6;1127853.6;2021-03-05;765;14.24;;;;69.81;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ЖКИнвБО01;RU000A0ZYSS5;8;119535.2;100.44;100.45;100.45;100.45;14.19;100.45;14.23;100.44;119;100.43;100.44;100.45;1129876.8;1104851.3;1129876.8;2021-03-05;764;14.23;;;;69.81;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ЖКИнвБО01;RU000A0ZYSS5;4;528366.5;100.44;100.45;100.45;100.45;14.58;100.45;14.23;100.45;526;100.45;100.45;100.45;647901.7;644888.5;647901.7;2021-03-05;763;14.23;;;;69.81;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ЖКИнвБО01;RU000A0ZYSS5;3;596554.2;100.43;100.43;100.43;100.43;15.73;100.43;14.24;100.43;594;100.44;100.44;100.43;1244455.9;1153046.7;1244455.9;2021-03-05;760;14.24;;;;69.81;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ЖКИнвБО01;RU000A0ZYSS5;19;1586698.5;99.99;100.44;99.99;99.99;16.11;100.36;14.47;100.42;1581;100.36;100.36;99.99;1586698.5;1586698.5;1586698.5;2021-03-05;759;14.27;;;;69.81;;2018-10-16;1000;SUR;;;;;RUB
