,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Мегафон1P4,RU000A0ZYTM6,1,2969.4,98.98,98.98,98.98,98.98,8.28,98.98,7.82,98.98,3,98.03,98.03,98.98,196126666.5,196104146.4,196126666.5,2021-02-15,807,7.82,,,,35.9,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Мегафон1P4,RU000A0ZYTM6,0,0.0,,,,98.98,8.48,,7.82,,0,98.03,98.03,98.98,196104146.4,196104146.4,196104146.4,2021-02-15,805,,,,,35.9,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Мегафон1P4,RU000A0ZYTM6,4,4949.7,98.99,99.0,99.0,98.99,8.68,98.99,7.81,98.99,5,98.03,98.05,98.99,196093259.3,49068259.3,196093259.3,2021-02-15,805,7.81,,,,35.9,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Мегафон1P4,RU000A0ZYTM6,0,0.0,,,,98.99,8.88,,7.81,,0,98.03,98.05,98.99,196132606.2,49068259.3,196132606.2,2021-02-15,803,,,,,35.9,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Мегафон1P4,RU000A0ZYTM6,3,20769.9,97.29,98.99,98.99,98.99,9.07,98.9,7.82,97.29,21,98.03,98.05,98.99,196152386.1,49089029.2,196152386.1,2021-02-15,803,7.86,,,,35.9,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Мегафон1P4,RU000A0ZYTM6,3,7825.0,97.3,99.0,99.0,99.0,9.67,97.81,7.81,97.3,8,,98.05,99.0,0.0,49096854.2,0.0,2021-02-15,799,8.4,,,,35.9,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Мегафон1P4,RU000A0ZYTM6,1,3958.0,98.95,98.95,98.95,98.95,9.86,98.95,7.84,98.95,4,,98.05,98.95,0.0,49100812.2,0.0,2021-02-15,799,7.84,,,,35.9,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Мегафон1P4,RU000A0ZYTM6,1,4947.5,98.95,98.95,98.95,98.95,10.06,98.95,7.84,98.95,5,98.03,98.05,98.95,196130759.7,49105759.7,196130759.7,2021-02-15,798,7.84,,,,35.9,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Мегафон1P4,RU000A0ZYTM6,0,0.0,,,,98.95,10.26,,7.84,,0,,98.05,98.95,0.0,49105759.7,0.0,2021-02-15,796,,,,,35.9,,2018-10-10,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Мегафон1P4,RU000A0ZYTM6,5,1949882.4,97.0,98.28,98.28,98.28,10.45,97.01,8.17,97.53,2010,97.02,97.02,98.28,1966612.9,1966612.9,1966612.9,2021-02-15,795,8.81,,,,35.9,,2018-10-12,1000,SUR,,,,,RUB
