history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГазпромКБ3;RU000A0ZYUY9;3;9801512;92.6;92.64;92.64;92.63;6.66;92.03;8.86;92.6;10581;91.94;91.94;92.63;194003145.5;193607975.5;194003145.5;2028-02-15;1878;9;;;;35.65;2025-02-18;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;92.63;6.86;;8.86;;0;91.94;91.94;92.63;194003145.5;193607975.5;194003145.5;2028-02-15;1877;;;;;35.65;2025-02-18;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-03;ГазпромКБ3;RU000A0ZYUY9;5;1088378.2;92;92.6;92;92;7.05;92;9.01;92.6;1183;91.91;92.57;92;282907481.2;10891740.7;282907481.2;2028-02-15;1876;9.01;;;;35.65;2025-02-18;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;92;7.25;;9.01;;0;91.94;92.57;92;195091523.7;10891740.7;195091523.7;2028-02-15;1877;;;;;35.65;2025-02-18;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-05;ГазпромКБ3;RU000A0ZYUY9;3;9228009.1;92.01;92.3;92.3;92.27;7.44;92.27;8.94;92.01;10001;92.43;92.42;92.27;20117899.3;18436283.3;20117899.3;2028-02-15;1875;8.95;;;;35.65;2025-02-18;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;92.27;8.03;;8.94;;0;91.92;92.42;92.27;293563805.3;18436283.3;293563805.3;2028-02-15;1872;;;;;35.65;2025-02-18;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-09;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;92.27;8.23;;8.94;;0;91.92;92.42;92.27;292496915.3;18436283.3;292496915.3;2028-02-15;1871;;;;;35.65;2025-02-18;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-10;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;92.27;8.42;;8.94;;0;91.92;92.42;92.27;292135490.3;18436283.3;292135490.3;2028-02-15;1870;;;;;35.65;2025-02-18;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-11;ГазпромКБ3;RU000A0ZYUY9;6;7301115.8;91.15;91.17;91.15;91.15;8.62;91.15;9.21;91.17;8010;91.92;91.79;91.15;211620648.6;17611964.9;211620648.6;2028-02-15;1865;9.21;;;;35.65;2025-02-18;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ГазпромКБ3;RU000A0ZYUY9;0;0;;;;91.15;8.82;;9.21;;0;92.09;91.79;91.15;27419015.1;17611964.9;27419015.1;2028-02-15;1866;;;;;35.65;2025-02-18;2018-10-11;1000;SUR;;;;;RUB
