,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.65,6.66,,8.86,,0,91.86,91.86,92.65,36683291.6,36662177.3,36683291.6,2028-02-15,1878,,,,,35.65,2025-02-18,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ГазпромКБ4,RU000A0ZYV04,3,92565.0,92.5,92.65,92.65,92.63,6.86,92.57,8.86,92.5,100,91.78,91.86,92.63,52492158.3,34920638.4,52492158.3,2028-02-15,1879,8.88,,,,35.65,2025-02-18,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.63,7.05,,8.86,,0,91.79,91.86,92.63,50650300.8,34920638.4,50650300.8,2028-02-15,1876,,,,,35.65,2025-02-18,2018-10-02,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ГазпромКБ4,RU000A0ZYV04,3,104694.5,92.65,92.65,92.65,92.65,7.25,92.65,8.86,92.65,113,91.79,91.86,92.65,50727373.3,33633366.5,50727373.3,2028-02-15,1877,8.86,,,,35.65,2025-02-18,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.65,7.44,,8.86,,0,91.86,91.86,92.65,36895307.1,33633366.5,36895307.1,2028-02-15,1874,,,,,35.65,2025-02-18,2018-10-04,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ГазпромКБ4,RU000A0ZYV04,1,25886.0,92.45,92.45,92.45,92.45,8.03,92.45,8.91,92.45,28,91.86,91.86,92.45,36906437.1,33650027.5,36906437.1,2028-02-15,1872,8.91,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.45,8.23,,8.91,,0,91.86,91.86,92.45,33662019.7,33650027.5,33662019.7,2028-02-15,1870,,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.45,8.42,,8.91,,0,91.86,91.86,92.45,33650027.5,33650027.5,33650027.5,2028-02-15,1869,,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.45,8.62,,8.91,,0,,91.86,92.45,0.0,33650027.5,0.0,2028-02-15,1868,,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.45,8.82,,8.91,,0,,91.86,92.45,0.0,33650027.5,0.0,2028-02-15,1867,,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,92.45,9.4,,8.91,,0,,91.86,92.45,0.0,33650027.5,0.0,2028-02-15,1864,,,,,35.65,2025-02-18,2018-10-08,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,ГазпромКБ4,RU000A0ZYV04,16,281434540.2,91.52,92.1,92.1,92.1,9.6,91.88,8.99,91.52,306293,91.88,91.88,92.1,281434540.2,281434540.2,281434540.2,2028-02-15,1863,9.04,,,,35.65,2025-02-18,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,ГазпромКБ4,RU000A0ZYV04,3,190947922.5,92.1,92.25,92.1,92.1,9.79,92.24,8.99,92.25,207001,92.03,92.19,92.1,472382462.7,233503167.5,472382462.7,2028-02-15,1863,8.96,,,,35.65,2025-02-18,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,ГазпромКБ4,RU000A0ZYV04,2,8313.8,92.22,92.5,92.22,92.22,9.99,92.38,8.96,92.5,9,92.03,92.22,92.22,472390776.5,215126481.3,472390776.5,2028-02-15,1862,8.93,,,,35.65,2025-02-18,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,ГазпромКБ4,RU000A0ZYV04,1,2966058.0,91.8,91.8,91.8,91.8,10.19,91.84,9.06,91.8,3231,92.03,92.24,91.8,475356834.5,193926899.3,475356834.5,2028-02-15,1859,9.05,,,,35.65,2025-02-18,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,ГазпромКБ4,RU000A0ZYV04,0,0.0,,,,91.8,10.77,92.0,9.06,,0,92.03,92.24,91.8,475356834.5,193926899.3,475356834.5,2028-02-15,1857,0.0,,,,35.65,2025-02-18,2018-10-19,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ГазпромКБ4,RU000A0ZYV04,1,82800.0,92.0,92.0,92.0,92.0,10.97,91.86,9.02,92.0,90,92.03,92.24,92.0,475439634.5,194008778.3,475439634.5,2028-02-15,1855,9.05,,,,35.65,2025-02-18,2018-10-23,1000,SUR,,,,,RUB
