,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,97.99,5.06,,8.04,,0,95.87,95.87,97.99,145219773.9,145219773.9,145219773.9,2021-09-01,975,,,,,35.4,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,МТС 1P-05,RU000A0ZYWX7,2,98960.0,97.0,97.99,97.0,97.98,5.25,97.98,8.45,97.99,101,97.51,97.51,97.98,2017499.9,2017499.9,2017499.9,2021-09-01,975,8.04,,,,35.4,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,МТС 1P-05,RU000A0ZYWX7,1,4895.0,97.9,97.9,97.9,97.9,5.45,97.9,8.07,97.9,5,97.51,97.51,97.9,2022394.9,2021430.1,2022394.9,2021-09-01,974,8.07,,,,35.4,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,МТС 1P-05,RU000A0ZYWX7,2,1960000.0,98.0,98.0,98.0,98.0,5.64,98.0,8.03,98.0,2000,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,973,8.03,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,5.84,,8.03,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,972,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,6.42,,8.04,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,969,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,6.61,,8.04,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,968,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,6.81,,8.04,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,967,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,7.0,,8.04,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,966,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,МТС 1P-05,RU000A0ZYWX7,0,0.0,,,,98.0,7.2,,8.04,,0,,97.75,98.0,0.0,3973640.5,0.0,2021-09-01,965,,,,,35.4,,2018-10-04,1000,SUR,,,,,RUB
