,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Ростел1P4R,RU000A0ZYYE3,1,73320.0,94.0,94.0,94.0,94.0,3.33,94.0,8.73,94.0,78,93.65,93.66,94.0,43010469.9,32336347.5,43010469.9,2028-03-03,1662,8.73,,,,35.65,2024-03-08,2018-10-01,1000,SUR,,8.7156,,2024-03-13,RUB
1,EQOB,2018-10-02,Ростел1P4R,RU000A0ZYYE3,1,94100.0,94.1,94.1,94.1,94.1,3.53,94.1,8.71,94.1,100,93.66,93.66,94.1,32399510.0,32399510.0,32399510.0,2028-03-03,1661,8.71,,,,35.65,2024-03-08,2018-10-02,1000,SUR,,8.6908,,2024-03-13,RUB
2,EQOB,2018-10-03,Ростел1P4R,RU000A0ZYYE3,1,38540.0,94.0,94.0,94.0,94.0,3.72,94.0,8.74,94.0,41,93.65,93.67,94.0,43143109.9,27755550.0,43143109.9,2028-03-03,1660,8.74,,,,35.65,2024-03-08,2018-10-03,1000,SUR,,8.7167,,2024-03-13,RUB
3,EQOB,2018-10-04,Ростел1P4R,RU000A0ZYYE3,3,9150425.5,93.2,93.74,93.74,93.74,3.92,93.2,8.8,93.21,9818,93.56,93.44,93.74,41588475.5,17415537.5,41588475.5,2028-03-03,1657,8.94,,,,35.65,2024-03-08,2018-10-04,1000,SUR,,8.7829,,2024-03-13,RUB
4,EQOB,2018-10-05,Ростел1P4R,RU000A0ZYYE3,1,52500.0,93.75,93.75,93.75,93.75,4.11,93.75,8.8,93.75,56,93.57,93.38,93.75,53093751.9,14098585.5,53093751.9,2028-03-03,1657,8.8,,,,35.65,2024-03-08,2018-10-05,1000,SUR,,8.7811,,2024-03-13,RUB
5,EQOB,2018-10-08,Ростел1P4R,RU000A0ZYYE3,2,6562.5,93.75,93.75,93.75,93.75,4.7,93.75,8.8,93.75,7,93.57,93.22,93.75,53095629.4,9420147.5,53095629.4,2028-03-03,1654,8.8,,,,35.65,2024-03-08,2018-10-08,1000,SUR,,8.7827,,2024-03-13,RUB
6,EQOB,2018-10-09,Ростел1P4R,RU000A0ZYYE3,0,0.0,,,,93.75,4.9,,8.8,,0,93.57,93.22,93.75,52752870.4,9420147.5,52752870.4,2028-03-03,1652,,,,,35.65,2024-03-08,2018-10-08,1000,SUR,,8.7882,,2024-03-13,RUB
7,EQOB,2018-10-10,Ростел1P4R,RU000A0ZYYE3,1,45937.5,93.75,93.75,93.75,93.75,5.09,93.75,8.8,93.75,49,93.57,93.22,93.75,52398535.4,9461385.5,52398535.4,2028-03-03,1652,8.8,,,,35.65,2024-03-08,2018-10-10,1000,SUR,,8.7838,,2024-03-13,RUB
8,EQOB,2018-10-11,Ростел1P4R,RU000A0ZYYE3,2,1862.5,92.51,93.74,93.74,93.74,5.29,93.13,8.81,92.51,2,93.56,93.21,93.74,41695338.0,9295828.0,41695338.0,2028-03-03,1650,8.96,,,,35.65,2024-03-08,2018-10-11,1000,SUR,,8.7868,,2024-03-13,RUB
9,EQOB,2018-10-12,Ростел1P4R,RU000A0ZYYE3,1,24375.0,93.75,93.75,93.75,93.75,5.48,93.75,8.8,93.75,26,93.23,93.21,93.75,9487623.0,9281663.0,9487623.0,2028-03-03,1650,8.8,,,,35.65,2024-03-08,2018-10-12,1000,SUR,,8.7849,,2024-03-13,RUB
