history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СберБ БО6R;RU000A0ZZ117;58;18632804.4;93.38;95.38;95.37;95.23;25.45;94.16;8.6;94.52;19789;94.16;94.16;95.23;18632804.4;18632804.4;18632804.4;2023-05-19;1422;8.95;;;;35.9;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;СберБ БО6R;RU000A0ZZ117;14;574026.7;95.3;95.85;95.85;95.85;25.64;95.51;8.47;95.3;601;95.51;95.51;95.85;574026.7;574026.7;574026.7;2023-05-19;1423;8.56;;;;35.9;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;СберБ БО6R;RU000A0ZZ117;52;4930072.2;94.01;96.78;95.29;95.29;25.84;95.25;8.63;96.78;5176;95.25;95.25;95.29;4930072.2;4930072.2;4930072.2;2023-05-19;1422;8.64;;;;35.9;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;СберБ БО6R;RU000A0ZZ117;18;31016453.1;94.5;95.2;95.1;95.1;26.04;94.5;8.68;95.2;32820;94.5;94.5;95.1;31016453.1;31016453.1;31016453.1;2023-05-19;1419;8.85;;;;35.9;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;СберБ БО6R;RU000A0ZZ117;10;188240.4;95.06;95.13;95.07;95.07;26.24;95.07;8.69;95.13;198;;94.5;95.07;0;30787525.7;0;2023-05-19;1419;8.69;;;;35.9;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;СберБ БО6R;RU000A0ZZ117;9;450344.4;95;95.25;95.14;95.14;26.83;95.01;8.67;95.25;474;95.03;95.02;95.14;638584.8;517844.1;638584.8;2023-05-19;1416;8.71;;;;35.9;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;СберБ БО6R;RU000A0ZZ117;11;2243914.7;94.99;95.15;94.99;94.99;27.02;95.08;8.72;95.14;2360;95.08;95.08;94.99;2243914.7;2243914.7;2243914.7;2023-05-19;1415;8.69;;;;35.9;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;СберБ БО6R;RU000A0ZZ117;8;243631.2;94.7;94.99;94.7;94.7;27.22;94.8;8.8;94.99;257;95.05;95.08;94.7;2487545.9;1437653;2487545.9;2023-05-19;1414;8.77;;;;35.9;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;СберБ БО6R;RU000A0ZZ117;11;1196865.2;93.73;94.99;94.6;94.6;27.42;94.69;8.83;93.73;1264;94.69;94.69;94.6;1195927.9;1195927.9;1195927.9;2023-05-19;1413;8.8;;;;35.9;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;СберБ БО6R;RU000A0ZZ117;13;300824.3;94.36;95.1;94.36;94.45;27.62;94.9;8.9;94.6;317;;94.71;94.45;0;832476.3;0;2023-05-19;1412;8.74;;;;35.9;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;СберБ БО6R;RU000A0ZZ117;22;252519.6;94.41;95.06;94.94;94.94;28.21;94.93;8.73;95.06;266;;94.91;94.94;0;510591.9;0;2023-05-19;1409;8.74;;;;35.9;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;СберБ БО6R;RU000A0ZZ117;36;1852276.8;94.33;94.96;94.96;94.96;28.41;94.7;8.73;94.46;1956;94.7;94.7;94.96;1852276.8;1852276.8;1852276.8;2023-05-19;1408;8.8;;;;35.9;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;СберБ БО6R;RU000A0ZZ117;21;1151798.9;94.4;95.92;95.2;95.2;28.6;95.11;8.66;95.92;1211;95.11;95.11;95.2;1150839.7;1150839.7;1150839.7;2023-05-19;1408;8.69;;;;35.9;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;СберБ БО6R;RU000A0ZZ117;31;630265.8;94.18;95.44;95.22;95.22;28.8;94.49;8.66;95.44;667;94.49;94.49;95.22;630265.8;630265.8;630265.8;2023-05-19;1405;8.87;;;;35.9;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;СберБ БО6R;RU000A0ZZ117;16;348639.9;94.52;95.27;95.25;95.25;29;95.26;8.65;95.23;366;;95.02;95.25;0;504555;0;2023-05-19;1406;8.65;;;;35.9;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;СберБ БО6R;RU000A0ZZ117;8;560361.1;94.42;95.15;95.14;95.14;29.59;95.14;8.68;95.15;589;95.18;95.15;95.14;909001;617522.9;909001;2023-05-19;1403;8.68;;;;35.9;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СберБ БО6R;RU000A0ZZ117;46;3392112.6;94.4;95.14;95;94.98;29.79;94.7;8.72;95.14;3582;94.7;94.7;94.98;3392112.6;3392112.6;3392112.6;2023-05-19;1401;8.81;;;;35.9;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СберБ БО6R;RU000A0ZZ117;10;2113866.6;94.8;94.99;94.97;94.97;29.98;94.96;8.73;94.99;2226;94.96;94.96;94.97;2113866.6;2113866.6;2113866.6;2023-05-19;1400;8.74;;;;35.9;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СберБ БО6R;RU000A0ZZ117;17;1108920.2;94.51;95.6;94.99;94.99;30.18;94.62;8.73;95.6;1172;94.62;94.62;94.99;1108920.2;1108920.2;1108920.2;2023-05-19;1399;8.84;;;;35.9;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;СберБ БО6R;RU000A0ZZ117;13;1715382.4;94.61;95.3;95.2;95.12;30.38;95.14;8.67;95.18;1803;95.14;95.14;95.12;1715382.4;1715382.4;1715382.4;2023-05-19;1399;8.69;;;;35.9;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СберБ БО6R;RU000A0ZZ117;10;721159.4;94.99;95.07;95.03;95.02;30.97;95.01;8.72;95.07;759;95.01;95.01;95.02;721159.4;721159.4;721159.4;2023-05-19;1395;8.73;;;;35.9;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;СберБ БО6R;RU000A0ZZ117;12;115296.2;94.64;96.16;95;95;31.17;95.28;8.73;96.16;121;;95.08;95;0;501076.7;0;2023-05-19;1395;8.65;;;;35.9;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;СберБ БО6R;RU000A0ZZ117;15;429393.5;94.64;95.24;95;95;31.36;95;8.73;95.24;452;;95.05;95;0;529452.7;0;2023-05-19;1393;8.73;;;;35.9;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;СберБ БО6R;RU000A0ZZ117;14;992707;94.64;95.49;95.35;95.35;31.56;95.36;8.63;95.25;1041;95.36;95.36;95.35;992707;992707;992707;2023-05-19;1393;8.63;;;;35.9;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;СберБ БО6R;RU000A0ZZ117;14;1076008;95.3;95.5;95.3;95.3;31.76;95.31;8.64;95.5;1129;95.31;95.31;95.3;1076008;1076008;1076008;2023-05-19;1392;8.64;;;;35.9;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;СберБ БО6R;RU000A0ZZ117;11;552337.7;95.2;95.89;95.2;95.2;32.55;95.23;8.68;95.49;580;95.23;95.23;95.2;552337.7;552337.7;552337.7;2023-05-19;1388;8.67;;;;35.9;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;СберБ БО6R;RU000A0ZZ117;30;1202876.6;94.15;95.15;95.08;95.08;32.75;94.49;8.71;95.15;1273;94.49;94.49;95.08;1202876.6;1202876.6;1202876.6;2023-05-19;1385;8.88;;;;35.9;;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;СберБ БО6R;RU000A0ZZ117;30;15441643.6;94.34;95.44;94.39;94.39;32.94;95.37;8.91;95.08;16192;95.37;95.37;94.39;15441643.6;15441643.6;15441643.6;2023-05-19;1386;8.63;;;;35.9;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;СберБ БО6R;RU000A0ZZ117;18;33288196;95;95.19;95.13;95.13;33.14;95;8.7;95.18;35040;95;95;95.13;33288196;33288196;33288196;2023-05-19;1384;8.74;;;;35.9;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;СберБ БО6R;RU000A0ZZ117;17;1164142.5;95;95.12;95.12;95.12;33.73;95.11;8.7;95.11;1224;95.11;95.11;95.12;1164142.5;1164142.5;1164142.5;2023-05-19;1381;8.71;;;;35.9;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;СберБ БО6R;RU000A0ZZ117;44;2169179.9;94.11;95.39;94.94;94.94;33.93;94.35;8.76;94.41;2299;94.35;94.35;94.94;2169179.9;2169179.9;2169179.9;2023-05-19;1379;8.93;;;;35.9;;2018-11-13;1000;SUR;;;;;RUB
