history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ГТЛК 1P-09;RU000A0ZZ1J8;2;2470500;91.5;91.5;91.5;91.5;17.52;91.5;9.53;91.5;2700;91.06;91.06;91.5;11665655.6;11664743.7;11665655.6;2033-03-18;1734;9.53;;;;18.32;2024-09-27;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ГТЛК 1P-09;RU000A0ZZ1J8;3;475923;91.7;91.7;91.7;91.7;17.72;91.7;9.48;91.7;519;91.08;91.07;91.7;12139756.7;10764457.8;12139756.7;2033-03-18;1734;9.48;;;;18.32;2024-09-27;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ГТЛК 1P-09;RU000A0ZZ1J8;1;6421.8;91.74;91.74;91.74;91.74;17.92;91.7;9.47;91.74;7;91.08;91.07;91.74;12146178.5;10766304.6;12146178.5;2033-03-18;1733;9.48;;;;18.32;2024-09-27;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ГТЛК 1P-09;RU000A0ZZ1J8;0;0;;;;91.74;18.12;;9.48;;0;91.08;91.07;91.74;12146178.5;10766304.6;12146178.5;2033-03-18;1730;;;;;18.32;2024-09-27;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-05;ГТЛК 1P-09;RU000A0ZZ1J8;5;319310.5;91.15;91.7;91.7;91.7;0;91.23;9.49;91.5;350;91.5;91.51;91.7;3272155.3;1442155.3;3272155.3;2033-03-18;1764;9.6;;;;18.32;2024-09-27;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ГТЛК 1P-09;RU000A0ZZ1J8;4;550747.3;91.75;92;91.75;91.75;0.6;91.79;9.48;91.96;600;91.63;91.59;91.75;1352402.6;876479.6;1352402.6;2033-03-18;1762;9.47;;;;18.32;2024-09-27;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ГТЛК 1P-09;RU000A0ZZ1J8;8;48494.6;91.48;91.5;91.5;91.5;0.81;91.5;9.54;91.48;53;91.77;91.76;91.5;599241.9;588204.6;599241.9;2033-03-18;1761;9.54;;;;18.32;2024-09-27;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ГТЛК 1P-09;RU000A0ZZ1J8;9;1835726.1;91.14;91.53;91.14;91.15;1.01;91.15;9.63;91.53;2014;91.16;91.15;91.15;1884220.7;1837556.1;1884220.7;2033-03-18;1759;9.63;;;;18.32;2024-09-27;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ГТЛК 1P-09;RU000A0ZZ1J8;0;0;;;;91.15;1.21;;9.63;;0;91.16;91.15;91.15;1884220.7;1837556.1;1884220.7;2033-03-18;1758;;;;;18.32;2024-09-27;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-12;ГТЛК 1P-09;RU000A0ZZ1J8;1;3661.6;91.54;91.54;91.54;91.54;1.41;91.54;9.53;91.54;4;91.15;91.15;91.54;1839387.7;1839387.7;1839387.7;2033-03-18;1758;9.53;;;;18.32;2024-09-27;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ГТЛК 1P-09;RU000A0ZZ1J8;5;9851633;91.5;91.75;91.75;91.75;2.01;91.54;9.48;91.5;10762;91.48;91.48;91.75;11739515.3;11663583.2;11739515.3;2033-03-18;1755;9.53;;;;18.32;2024-09-27;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ГТЛК 1P-09;RU000A0ZZ1J8;7;4894161.6;91.45;91.5;91.45;91.45;2.22;91.5;9.56;91.5;5349;91.53;91.54;91.45;14745794.6;10170794.6;14745794.6;2033-03-18;1754;9.54;;;;18.32;2024-09-27;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ГТЛК 1P-09;RU000A0ZZ1J8;2;5620273.5;91.45;91.5;91.45;91.45;2.42;91.49;9.56;91.5;6143;91.52;91.51;91.45;20366068.1;11212652.6;20366068.1;2033-03-18;1752;9.55;;;;18.32;2024-09-27;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ГТЛК 1P-09;RU000A0ZZ1J8;4;6605319;91.46;91.55;91.46;91.46;2.62;91.55;9.55;91.55;7215;91.52;91.52;91.46;17119754.1;16750094.5;17119754.1;2033-03-18;1752;9.53;;;;18.32;2024-09-27;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;ГТЛК 1P-09;RU000A0ZZ1J8;2;13703414.7;91.35;91.47;91.35;91.35;2.82;91.35;9.58;91.47;15001;91.47;91.44;91.35;40674801.8;30180072.7;40674801.8;2033-03-18;1750;9.58;;;;18.32;2024-09-27;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;ГТЛК 1P-09;RU000A0ZZ1J8;9;10818869.5;91;91.65;91.65;91.65;3.42;91.28;9.51;91.05;11853;91.32;91.32;91.65;24522284.2;24521369.5;24522284.2;2033-03-18;1747;9.6;;;;18.32;2024-09-27;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ГТЛК 1P-09;RU000A0ZZ1J8;3;14656.4;91.56;91.65;91.56;91.56;3.62;91.6;9.53;91.65;16;91.28;91.33;91.56;10833525.9;9013523.4;10833525.9;2033-03-18;1747;9.52;;;;18.32;2024-09-27;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ГТЛК 1P-09;RU000A0ZZ1J8;10;1212929.5;90.8;91.65;91.65;91.65;3.83;91.61;9.51;90.8;1324;91.61;91.61;91.65;1212929.5;1212929.5;1212929.5;2033-03-18;1746;9.52;;;;18.32;2024-09-27;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ГТЛК 1P-09;RU000A0ZZ1J8;7;6498721.5;91.55;91.65;91.65;91.65;4.03;91.65;9.51;91.65;7091;91.64;91.65;91.65;7711651;7293327;7711651;2033-03-18;1745;9.51;;;;18.32;2024-09-27;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ГТЛК 1P-09;RU000A0ZZ1J8;22;11205277.7;91.33;91.33;91.33;91.33;4.23;91.33;9.59;91.33;12269;91.33;91.33;91.33;11205277.7;11205277.7;11205277.7;2033-03-18;1743;9.59;;;;18.32;2024-09-27;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ГТЛК 1P-09;RU000A0ZZ1J8;4;181167.7;91;91.65;91.64;91.64;4.83;91.04;9.52;91.65;199;91.33;91.3;91.64;11386445.4;1624181.7;11386445.4;2033-03-18;1739;9.67;;;;18.32;2024-09-27;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ГТЛК 1P-09;RU000A0ZZ1J8;2;274233;90.8;91.65;91.65;91.65;5.03;90.81;9.52;90.8;302;91.31;91.2;91.65;11660678.4;1469163.7;11660678.4;2033-03-18;1737;9.73;;;;18.32;2024-09-27;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ГТЛК 1P-09;RU000A0ZZ1J8;8;10302463;90.8;91.65;91.2;91.2;5.24;91.2;9.63;91.65;11297;91.19;91.19;91.2;10576696;10576696;10576696;2033-03-18;1738;9.63;;;;18.32;2024-09-27;2018-10-31;1000;SUR;;;;;RUB
