history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;РСХБ 01Т1;RU000A0ZZ4T1;10;1067744.6;93.68;95.98;94.99;94.99;39.21;95.08;10.06;95.5;1123;95.08;95.08;94.99;1067744.6;1067744.6;1067744.6;;2284;10.05;;;;44.88;2028-04-12;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;РСХБ 01Т1;RU000A0ZZ4T1;20;9549298.2;94;95;94.98;94.98;39.45;94.95;10.06;94.99;10057;94.95;94.95;94.98;9549298.2;9549298.2;9549298.2;;2282;10.07;;;;44.88;2028-04-12;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;РСХБ 01Т1;RU000A0ZZ4T1;10;2418407.1;94.8;94.99;94.99;94.99;39.7;94.8;10.06;94.8;2551;94.8;94.8;94.99;2418407.1;2418407.1;2418407.1;;2280;10.1;;;;44.88;2028-04-12;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;РСХБ 01Т1;RU000A0ZZ4T1;9;815731.1;94.5;94.99;94.8;94.8;39.95;94.52;10.1;94.99;863;94.73;94.53;94.8;3234138.2;824280.2;3234138.2;;2277;10.15;;;;44.88;2028-04-12;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;РСХБ 01Т1;RU000A0ZZ4T1;19;3438408.7;93.99;95;94.99;94.99;40.19;94.41;10.06;94.5;3642;94.41;94.41;94.99;3438408.7;3438408.7;3438408.7;;2275;10.17;;;;44.88;2028-04-12;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;РСХБ 01Т1;RU000A0ZZ4T1;171;9713563.7;92.72;94.03;93.99;93.99;40.93;93.12;10.24;94.03;10431;93.12;93.12;93.99;9713563.7;9713563.7;9713563.7;;2263;10.4;;;;44.88;2028-04-12;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;РСХБ 01Т1;RU000A0ZZ4T1;18;344986.6;92.77;93.97;92.99;92.99;41.18;92.99;10.43;92.77;371;;93.26;92.99;0;772182;0;;2261;10.43;;;;44.88;2028-04-12;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;РСХБ 01Т1;RU000A0ZZ4T1;41;4419868;92.99;94.85;93;93;41.42;93.32;10.42;94.41;4736;93.32;93.32;93;4410427;4410427;4410427;;2262;10.37;;;;44.88;2028-04-12;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;РСХБ 01Т1;RU000A0ZZ4T1;13;4025044.9;92.8;93.85;93.79;93.36;41.67;92.91;10.28;92.8;4332;92.91;92.91;93.36;4025044.9;4025044.9;4025044.9;;2258;10.44;;;;44.88;2028-04-12;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;РСХБ 01Т1;RU000A0ZZ4T1;28;3768445.3;93.2;94.77;94.5;94.5;41.92;93.74;10.15;93.95;4020;93.74;93.74;94.5;3768445.3;3768445.3;3768445.3;;2263;10.29;;;;44.88;2028-04-12;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;РСХБ 01Т1;RU000A0ZZ4T1;19;918342.7;93.2;94.5;93.98;93.23;42.66;93.23;10.25;94.5;985;93.23;93.23;93.23;918342.7;918342.7;918342.7;;2256;10.38;;;;44.88;2028-04-12;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;РСХБ 01Т1;RU000A0ZZ4T1;51;3882036.6;93;94.97;94.49;94.39;42.9;93.88;10.15;93.02;4135;93.88;93.88;94.39;3882036.6;3882036.6;3882036.6;;2260;10.26;;;;44.88;2028-04-12;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;РСХБ 01Т1;RU000A0ZZ4T1;9;280582;93.5;94.39;94;94.21;43.15;94.16;10.24;94.39;298;93.9;94.39;94.21;4162618.6;897662.1;4162618.6;;2261;10.21;;;;44.88;2028-04-12;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;РСХБ 01Т1;RU000A0ZZ4T1;14;496905.1;93.05;93.87;93.05;93.29;43.4;93.23;10.42;93.27;533;;93.28;93.29;0;533565.1;0;;2253;10.38;;;;44.88;2028-04-12;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;РСХБ 01Т1;RU000A0ZZ4T1;41;5208706.9;93;93.79;93.47;93.47;43.64;93.01;10.34;93.07;5600;93.01;93.01;93.47;5208706.9;5208706.9;5208706.9;;2251;10.42;;;;44.88;2028-04-12;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;РСХБ 01Т1;RU000A0ZZ4T1;60;6346669.2;92.96;93.87;93;93;44.38;93.25;10.43;93.87;6806;93.25;93.25;93;6346669.2;6346669.2;6346669.2;;2249;10.38;;;;44.88;2028-04-12;2018-10-22;1000;SUR;;;;;RUB
