,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Якут-10 об,RU000A0ZZ7E6,5,27942.1,95.01,96.4,95.01,95.01,8.07,96.35,9.16,96.4,29,96.45,96.44,95.01,5366384.4,735819.5,5366384.4,2025-05-15,1441,8.77,,,,18.82,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,95.01,8.27,,9.16,,0,96.45,96.44,95.01,5366384.4,735819.5,5366384.4,2025-05-15,1440,,,,,18.82,,2018-10-01,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Якут-10 об,RU000A0ZZ7E6,3,155199.9,96.99,97.0,97.0,97.0,8.48,97.0,8.59,96.99,160,96.46,96.54,97.0,5521584.3,891019.4,5521584.3,2025-05-15,1441,8.59,,,,18.82,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Якут-10 об,RU000A0ZZ7E6,2,195940.0,97.0,97.0,97.0,97.0,8.69,97.0,8.59,97.0,202,96.81,96.81,97.0,505366.0,505366.0,505366.0,2025-05-15,1440,8.59,,,,18.82,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Якут-10 об,RU000A0ZZ7E6,2,3880.0,97.0,97.0,97.0,97.0,8.89,97.0,8.59,97.0,4,,96.81,97.0,0.0,509246.0,0.0,2025-05-15,1439,8.59,,,,18.82,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Якут-10 об,RU000A0ZZ7E6,4,40739.0,96.99,97.0,96.99,96.99,9.52,97.0,8.59,97.0,42,,96.83,96.99,0.0,549985.0,0.0,2025-05-15,1436,8.59,,,,18.82,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,96.99,9.72,,8.59,,0,,96.83,96.99,0.0,549985.0,0.0,2025-05-15,1434,,,,,18.82,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Якут-10 об,RU000A0ZZ7E6,1,29100.0,97.0,97.0,97.0,97.0,9.93,97.0,8.59,97.0,30,96.49,96.9,97.0,5791243.3,502929.0,5791243.3,2025-05-15,1434,8.59,,,,18.82,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,97.0,10.14,,8.59,,0,96.84,96.9,97.0,579085.0,502929.0,579085.0,2025-05-15,1433,,,,,18.82,,2018-10-10,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,97.0,10.34,,8.59,,0,,96.9,97.0,0.0,502929.0,0.0,2025-05-15,1432,,,,,18.82,,2018-10-10,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,Якут-10 об,RU000A0ZZ7E6,2,3880.0,97.0,97.0,97.0,97.0,10.96,97.0,8.59,97.0,4,,96.9,97.0,0.0,506809.0,0.0,2025-05-15,1429,8.59,,,,18.82,,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,Якут-10 об,RU000A0ZZ7E6,2,1939.6,96.96,97.0,96.96,96.98,11.17,96.98,8.61,97.0,2,,96.9,96.98,0.0,508748.6,0.0,2025-05-15,1428,8.6,,,,18.82,,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,96.98,11.38,,8.61,,0,,96.9,96.98,0.0,508748.6,0.0,2025-05-15,1427,,,,,18.82,,2018-10-16,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,96.98,11.58,,8.61,,0,,96.9,96.98,0.0,508748.6,0.0,2025-05-15,1426,,,,,18.82,,2018-10-16,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,96.98,11.79,,8.61,,0,,96.9,96.98,0.0,508748.6,0.0,2025-05-15,1425,,,,,18.82,,2018-10-16,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,Якут-10 об,RU000A0ZZ7E6,2,6787.2,96.96,96.96,96.96,96.96,12.41,96.96,8.61,96.96,7,,96.91,96.96,0.0,515535.8,0.0,2025-05-15,1422,8.61,,,,18.82,,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,Якут-10 об,RU000A0ZZ7E6,5,4770622.4,95.22,96.5,96.5,96.5,12.62,95.22,8.74,96.42,5010,95.24,95.23,96.5,4812329.2,4780319.2,4812329.2,2025-05-15,1415,9.11,,,,18.82,,2018-10-23,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,Якут-10 об,RU000A0ZZ7E6,6,25205.4,96.94,96.95,96.94,96.94,12.82,96.94,8.62,96.94,26,95.23,95.23,96.94,4795827.8,4793899.4,4795827.8,2025-05-15,1420,8.62,,,,18.82,,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,Якут-10 об,RU000A0ZZ7E6,2,1938.9,96.94,96.95,96.94,96.94,13.03,96.95,8.62,96.95,2,95.23,95.23,96.94,4797766.7,4791034.3,4797766.7,2025-05-15,1419,8.61,,,,18.82,,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,Якут-10 об,RU000A0ZZ7E6,1,4385310.0,95.25,95.25,95.25,95.25,13.24,95.25,9.1,95.25,4604,95.24,95.26,95.25,9189863.9,4414384.3,9189863.9,2025-05-15,1412,9.1,,,,18.82,,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,95.25,13.86,,9.11,,0,95.24,95.26,95.25,9183076.7,4414384.3,9183076.7,2025-05-15,1409,,,,,18.82,,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,Якут-10 об,RU000A0ZZ7E6,10,1224960.0,96.0,96.0,96.0,96.0,14.07,96.0,8.89,96.0,1276,96.0,96.0,96.0,1224960.0,1224960.0,1224960.0,2025-05-15,1411,8.89,,,,18.82,,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,Якут-10 об,RU000A0ZZ7E6,2,123520.0,96.5,96.5,96.5,96.5,14.27,96.5,8.74,96.5,128,96.05,96.05,96.5,1348480.0,1328320.0,1348480.0,2025-05-15,1411,8.74,,,,18.82,,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,Якут-10 об,RU000A0ZZ7E6,0,0.0,,,,96.5,14.48,,8.74,,0,96.05,96.05,96.5,1348480.0,1328320.0,1348480.0,2025-05-15,1409,,,,,18.82,,2018-10-31,1000,SUR,,,,,RUB
