history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;УрКаПБО4P;RU000A0ZZ9W4;14;7092411.9;93.7;93.75;93.75;93.75;22.78;93.73;9.59;93.7;7567;93.73;93.73;93.75;7092411.9;7092411.9;7092411.9;2023-06-09;1426;9.6;;;;38.39;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;УрКаПБО4P;RU000A0ZZ9W4;69;12266254.4;93.75;93.9;93.9;93.9;22.99;93.77;9.55;93.8;13065;93.89;93.89;93.9;12266254.4;12266254.4;12266254.4;2023-06-09;1425;9.59;;;;38.39;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;УрКаПБО4P;RU000A0ZZ9W4;13;1952481.9;93.9;94;94;94;23.21;93.96;9.52;94;2078;93.96;93.96;94;1952481.9;1952481.9;1952481.9;2023-06-09;1424;9.53;;;;38.39;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;УрКаПБО4P;RU000A0ZZ9W4;27;387140.5;93.7;93.85;93.74;93.74;23.42;93.74;9.6;93.84;413;;93.93;93.74;0;1373200.5;0;2023-06-09;1423;9.6;;;;38.39;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;УрКаПБО4P;RU000A0ZZ9W4;17;72712768.4;93.7;93.77;93.7;93.7;23.63;93.7;9.61;93.76;77601;93.7;93.7;93.7;72712768.4;72712768.4;72712768.4;2023-06-09;1422;9.61;;;;38.39;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;УрКаПБО4P;RU000A0ZZ9W4;15;440675.4;93.1;93.6;93.5;93.5;24.26;93.36;9.67;93.6;472;;93.41;93.5;0;518446.4;0;2023-06-09;1418;9.71;;;;38.39;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;УрКаПБО4P;RU000A0ZZ9W4;7;757982;93.65;93.7;93.7;93.69;24.47;93.69;9.61;93.65;809;93.57;93.67;93.69;1198657.4;841197;1198657.4;2023-06-09;1418;9.62;;;;38.39;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;УрКаПБО4P;RU000A0ZZ9W4;16;351674;93.25;93.65;93.35;93.35;24.68;93.3;9.72;93.65;376;;93.64;93.35;0;1013196;0;2023-06-09;1416;9.73;;;;38.39;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;УрКаПБО4P;RU000A0ZZ9W4;11;5798054.7;93.3;93.5;93.49;93.49;24.89;93.4;9.68;93.35;6208;93.4;93.4;93.49;5798054.7;5798054.7;5798054.7;2023-06-09;1415;9.7;;;;38.39;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;УрКаПБО4P;RU000A0ZZ9W4;7;210327.9;93.45;93.65;93.45;93.45;25.1;93.48;9.69;93.65;225;93.4;93.5;93.45;6008382.6;1055567.4;6008382.6;2023-06-09;1414;9.68;;;;38.39;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;УрКаПБО4P;RU000A0ZZ9W4;22;75129286.8;93.3;93.75;93.7;93.7;25.74;93.37;9.62;93.45;80464;93.37;93.37;93.7;75129286.8;75129286.8;75129286.8;2023-06-09;1411;9.72;;;;38.39;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;УрКаПБО4P;RU000A0ZZ9W4;26;106183328.5;93.5;93.7;93.7;93.7;25.95;93.57;9.62;93.51;113486;93.57;93.57;93.7;106183328.5;106183328.5;106183328.5;2023-06-09;1411;9.66;;;;38.39;;2018-10-16;1000;SUR;;;;;RUB
