history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;МясничБОП1;RU000A0ZZAE0;21;234434.6;100.16;100.24;100.18;100.18;4.44;100.19;14.24;100.2;234;;100.18;100.18;0;506889.9;0;2020-06-10;553;14.23;;;;11.1;;2018-10-01;1000;SUR;;13.5893;;2019-06-25;RUB
EQOB;2018-10-02;МясничБОП1;RU000A0ZZAE0;11;209449.2;100.2;100.23;100.22;100.22;4.81;100.21;14.21;100.23;209;;100.19;100.22;0;595106.6;0;2020-06-10;553;14.22;;;;11.1;;2018-10-02;1000;SUR;;13.5214;;2019-06-25;RUB
EQOB;2018-10-03;МясничБОП1;RU000A0ZZAE0;55;318428.5;100.02;100.23;100.22;100.22;5.18;100.13;14.21;100.22;318;;100.17;100.22;0;525873.1;0;2020-06-10;551;14.28;;;;11.1;;2018-10-03;1000;SUR;;13.5181;;2019-06-25;RUB
EQOB;2018-10-04;МясничБОП1;RU000A0ZZAE0;28;367686.3;100.15;100.25;100.2;100.2;5.55;100.19;14.22;100.24;367;;100.16;100.2;0;516845.8;0;2020-06-10;550;14.23;;;;11.1;;2018-10-04;1000;SUR;;13.5475;;2019-06-25;RUB
EQOB;2018-10-05;МясничБОП1;RU000A0ZZAE0;34;297636.1;100.16;100.23;100.22;100.22;5.92;100.21;14.21;100.2;297;;100.2;100.22;0;514035.7;0;2020-06-10;550;14.21;;;;11.1;;2018-10-05;1000;SUR;;13.5116;;2019-06-25;RUB
EQOB;2018-10-08;МясничБОП1;RU000A0ZZAE0;24;279151.7;100.22;100.5;100.4;100.4;7.03;100.41;14.07;100.22;278;;100.33;100.4;0;500629.6;0;2020-06-10;547;14.06;;;;11.1;;2018-10-08;1000;SUR;;13.204;;2019-06-25;RUB
EQOB;2018-10-09;МясничБОП1;RU000A0ZZAE0;30;490584.6;100.2;100.45;100.3;100.3;7.4;100.32;14.15;100.35;489;;100.33;100.3;0;510664.6;0;2020-06-10;546;14.13;;;;11.1;;2018-10-09;1000;SUR;;13.3655;;2019-06-25;RUB
EQOB;2018-10-10;МясничБОП1;RU000A0ZZAE0;16;396050.1;100.37;100.84;100.49;100.49;7.77;100.52;14;100.4;394;;100.45;100.49;0;512305.8;0;2020-06-10;545;13.98;;;;11.1;;2018-10-10;1000;SUR;;13.0457;;2019-06-25;RUB
EQOB;2018-10-11;МясничБОП1;RU000A0ZZAE0;26;797406.8;100.2;100.4;100.2;100.23;8.14;100.3;14.22;100.31;795;100.3;100.3;100.23;797406.8;797406.8;797406.8;2020-06-10;544;14.15;;;;11.1;;2018-10-11;1000;SUR;;13.5254;;2019-06-25;RUB
EQOB;2018-10-12;МясничБОП1;RU000A0ZZAE0;13;47160.2;100.25;100.5;100.39;100.27;8.51;100.34;14.08;100.5;47;;100.3;100.27;0;838548.4;0;2020-06-10;543;14.11;;;;11.1;;2018-10-12;1000;SUR;;13.2031;;2019-06-25;RUB
EQOB;2018-10-15;МясничБОП1;RU000A0ZZAE0;50;540416.4;100.29;101.09;100.35;100.34;9.62;100.45;14.11;100.29;538;100.45;100.45;100.34;540416.4;540416.4;540416.4;2020-06-10;540;14.03;;;;11.1;;2018-10-15;1000;SUR;;13.2578;;2019-06-25;RUB
EQOB;2018-10-16;МясничБОП1;RU000A0ZZAE0;71;505412.9;100.2;100.37;100.34;100.34;9.99;100.28;14.11;100.37;504;100.28;100.28;100.34;505412.9;505412.9;505412.9;2020-06-10;539;14.16;;;;11.1;;2018-10-16;1000;SUR;;13.2707;;2019-06-25;RUB
EQOB;2018-10-17;МясничБОП1;RU000A0ZZAE0;61;1733483.2;100;100.3;100.19;100.19;10.36;100.09;14.23;100.21;1732;100.09;100.09;100.19;1733483.2;1733483.2;1733483.2;2020-06-10;537;14.3;;;;11.1;;2018-10-17;1000;SUR;;13.5234;;2019-06-25;RUB
EQOB;2018-10-18;МясничБОП1;RU000A0ZZAE0;58;1061986.8;100.01;100.3;100.05;100.05;10.73;100.09;14.34;100.27;1061;100.09;100.09;100.05;1061986.8;1061986.8;1061986.8;2020-06-10;536;14.3;;;;11.1;;2018-10-18;1000;SUR;;13.7618;;2019-06-25;RUB
EQOB;2018-10-19;МясничБОП1;RU000A0ZZAE0;160;3489770.2;99;100;99.43;99.43;0;99.62;14.82;100;3503;99.62;99.62;99.43;3489770.2;3489770.2;3489770.2;2020-06-10;541;14.67;;;;11.1;;2018-10-19;1000;SUR;;16.8287;;2019-06-25;RUB
EQOB;2018-10-22;МясничБОП1;RU000A0ZZAE0;74;1421255.3;99.44;99.97;99.8;99.81;1.11;99.88;14.53;99.44;1423;99.88;99.88;99.81;1421255.3;1421255.3;1421255.3;2020-06-10;538;14.47;;;;11.1;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;МясничБОП1;RU000A0ZZAE0;76;1622259.4;99.72;99.98;99.92;99.91;1.48;99.89;14.44;99.8;1624;99.89;99.89;99.91;1622259.4;1622259.4;1622259.4;2020-06-10;537;14.46;;;;11.1;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;МясничБОП1;RU000A0ZZAE0;48;871687.5;99.01;99.99;99.01;99.47;1.85;99.85;15.15;99.99;873;99.85;99.85;99.47;871687.5;871687.5;871687.5;2020-06-10;536;14.49;;;;11.1;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;МясничБОП1;RU000A0ZZAE0;59;1281811.4;99.05;99.94;99.94;99.94;2.22;99.83;14.42;99.05;1284;99.83;99.83;99.94;1281811.4;1281811.4;1281811.4;2020-06-10;535;14.51;;;;11.1;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;МясничБОП1;RU000A0ZZAE0;49;1514058.4;99.8;99.98;99.85;99.88;2.59;99.87;14.49;99.95;1516;99.87;99.87;99.88;1514058.4;1514058.4;1514058.4;2020-06-10;534;14.47;;;;11.1;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;МясничБОП1;RU000A0ZZAE0;45;382794.6;99.88;99.99;99.98;99.98;3.7;99.95;14.39;99.98;383;;99.93;99.98;0;542595.1;0;2020-06-10;531;14.41;;;;11.1;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;МясничБОП1;RU000A0ZZAE0;55;2826250.3;99.02;99.99;99.97;99.97;4.07;99.83;14.4;99.99;2831;99.83;99.83;99.97;2826250.3;2826250.3;2826250.3;2020-06-10;530;14.51;;;;11.1;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;МясничБОП1;RU000A0ZZAE0;21;250782.6;99.72;99.97;99.95;99.95;4.44;99.91;14.41;99.72;251;;99.5;99.95;0;502498.1;0;2020-06-10;529;14.44;;;;11.1;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;МясничБОП1;RU000A0ZZAE0;34;1106720.7;99.91;99.99;99.99;99.99;4.81;99.97;14.38;99.95;1107;99.97;99.97;99.99;1106720.7;1106720.7;1106720.7;2020-06-10;528;14.4;;;;11.1;;2018-11-01;1000;SUR;;;;;RUB
