history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СберБ Б12R;RU000A0ZZBN9;281;55290923.9;98.05;98.26;98.1;98.1;18.74;98.1;8.42;98.26;56361;98.1;98.1;98.1;55290923.9;55290923.9;55290923.9;2022-02-02;1080;8.42;;;;45.39;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;СберБ Б12R;RU000A0ZZBN9;17;9833497.4;97.62;98.69;98.69;98.19;18.95;98.05;8.21;98.1;10029;98.05;98.05;98.19;9833497.4;9833497.4;9833497.4;2022-02-02;1079;8.44;;;;45.39;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;СберБ Б12R;RU000A0ZZBN9;23;19572997.2;98.09;98.7;98.5;98.49;19.16;98.42;8.27;98.69;19887;98.42;98.42;98.49;19572997.2;19572997.2;19572997.2;2022-02-02;1078;8.3;;;;45.39;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;СберБ Б12R;RU000A0ZZBN9;12;201362.8;98.01;98.39;98.24;98.24;19.36;98.23;8.37;98.02;205;;98.41;98.24;0;629837.8;0;2022-02-02;1077;8.37;;;;45.39;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;СберБ Б12R;RU000A0ZZBN9;15;6580326.5;98.2;99.45;98.25;98.25;19.57;98.23;8.37;99.45;6699;98.23;98.23;98.25;6575354;6575354;6575354;2022-02-02;1076;8.37;;;;45.39;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;СберБ Б12R;RU000A0ZZBN9;10;48265.8;98.11;98.99;98.35;98.35;20.2;98.5;8.33;98.7;49;;98.22;98.35;0;1803243.8;0;2022-02-02;1073;8.28;;;;45.39;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;СберБ Б12R;RU000A0ZZBN9;18;18502951.6;98.01;98.45;98.25;98.25;20.41;98.26;8.37;98.45;18831;98.26;98.26;98.25;18502951.6;18502951.6;18502951.6;2022-02-02;1072;8.37;;;;45.39;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;СберБ Б12R;RU000A0ZZBN9;8;520449.2;98.02;98.99;98.38;98.38;20.61;98.76;8.32;98.98;527;98.27;98.6;98.38;19023400.8;745441.7;19023400.8;2022-02-02;1072;8.18;;;;45.39;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;СберБ Б12R;RU000A0ZZBN9;213;35241598.4;96.92;98.9;97.7;97.44;20.82;97.05;8.57;98.9;36314;97.05;97.05;97.44;35241598.4;35241598.4;35241598.4;2022-02-02;1069;8.82;;;;45.39;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;СберБ Б12R;RU000A0ZZBN9;21;1184392.5;97.61;97.98;97.93;97.93;21.03;97.96;8.49;97.85;1209;97.96;97.96;97.93;1184392.5;1184392.5;1184392.5;2022-02-02;1069;8.48;;;;45.39;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;СберБ Б12R;RU000A0ZZBN9;15;5168920.8;97.7;97.96;97.87;97.7;21.65;97.71;8.51;97.96;5290;97.71;97.71;97.7;5168920.8;5168920.8;5168920.8;2022-02-02;1066;8.57;;;;45.39;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;СберБ Б12R;RU000A0ZZBN9;30;1315761.6;97.7;98.3;97.77;97.77;21.86;97.83;8.55;98.3;1345;97.83;97.83;97.77;1315761.6;1315761.6;1315761.6;2022-02-02;1065;8.53;;;;45.39;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;СберБ Б12R;RU000A0ZZBN9;15;3539927.9;97.9;99.01;97.99;97.99;22.07;97.89;8.47;99.01;3614;97.95;97.95;97.99;3536957.6;3536957.6;3536957.6;2022-02-02;1064;8.51;;;;45.39;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;СберБ Б12R;RU000A0ZZBN9;20;12659383.7;97.94;98.78;98.43;98;22.28;98.02;8.31;98.28;12915;98.02;98.02;98;12659383.7;12659383.7;12659383.7;2022-02-02;1063;8.46;;;;45.39;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;СберБ Б12R;RU000A0ZZBN9;15;215614.8;97.73;98.67;98.17;98.15;22.49;98.01;8.4;98.01;220;;98;98.15;0;1117219.1;0;2022-02-02;1062;8.46;;;;45.39;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;СберБ Б12R;RU000A0ZZBN9;13;4044402.2;97.75;98.13;98.13;98;23.11;97.93;8.42;98;4130;97.93;97.93;98;4044402.2;4044402.2;4044402.2;2022-02-02;1059;8.49;;;;45.39;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СберБ Б12R;RU000A0ZZBN9;24;607250;97.87;98.34;98.24;97.89;23.32;98.1;8.38;98.13;619;98.1;98.1;97.89;607250;607250;607250;2022-02-02;1058;8.43;;;;45.39;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СберБ Б12R;RU000A0ZZBN9;44;26268182.5;96.99;98.96;98.14;98.13;23.53;97.48;8.42;98.79;26947;97.48;97.48;98.13;26268182.5;26268182.5;26268182.5;2022-02-02;1057;8.66;;;;45.39;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СберБ Б12R;RU000A0ZZBN9;89;30325560.2;60.92;98.35;97.74;97.73;23.74;94.22;8.57;98.35;32185;94.22;94.22;97.73;30325560.2;30325560.2;30325560.2;2022-02-02;1052;9.92;;;;45.39;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;СберБ Б12R;RU000A0ZZBN9;21;919506;97.1;97.69;97.69;97.68;23.95;97.61;8.59;97.1;942;97.61;97.61;97.68;919506;919506;919506;2022-02-02;1055;8.62;;;;45.39;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СберБ Б12R;RU000A0ZZBN9;87;6150857.1;97.5;97.79;97.67;97.67;24.57;97.56;8.6;97.7;6305;97.56;97.56;97.67;6150857.1;6150857.1;6150857.1;2022-02-02;1052;8.64;;;;45.39;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;СберБ Б12R;RU000A0ZZBN9;15;674613.9;97.68;97.94;97.92;97.92;24.78;97.91;8.5;97.94;689;97.91;97.91;97.92;674613.9;674613.9;674613.9;2022-02-02;1051;8.51;;;;45.39;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;СберБ Б12R;RU000A0ZZBN9;16;1330230.3;97.62;98.2;98.2;97.94;24.99;97.81;8.4;97.63;1360;97.81;97.81;97.94;1330230.3;1330230.3;1330230.3;2022-02-02;1050;8.54;;;;45.39;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;СберБ Б12R;RU000A0ZZBN9;34;80406357.1;96.93;98.27;97.8;97.8;25.19;97.81;8.55;96.93;82205;97.81;97.81;97.8;80405387.8;80405387.8;80405387.8;2022-02-02;1049;8.55;;;;45.39;;2018-11-01;1000;SUR;;;;;RUB
