history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СолЛизБО01;RU000A0ZZEA0;2;86000;100;100;100;100;24.58;100;13.63;100;86;;99.97;100;0;635827.8;0;2023-07-18;278;13.63;;;;32.41;2019-07-23;2018-10-01;1000;SUR;;13.0189;;2019-08-06;RUB
EQOB;2018-10-02;СолЛизБО01;RU000A0ZZEA0;0;0;;;;100;24.93;;13.63;;0;99.96;99.97;100;717709.8;635827.8;717709.8;2023-07-18;277;;;;;32.41;2019-07-23;2018-10-01;1000;SUR;;13.0667;;2019-08-06;RUB
EQOB;2018-10-03;СолЛизБО01;RU000A0ZZEA0;1;5000;100;100;100;100;25.29;100;13.63;100;5;;99.97;100;0;640827.8;0;2023-07-18;276;13.63;;;;32.41;2019-07-23;2018-10-03;1000;SUR;;13.0158;;2019-08-06;RUB
EQOB;2018-10-04;СолЛизБО01;RU000A0ZZEA0;2;18999100;99.99;100;99.99;99.99;25.64;99.99;13.65;100;19001;99.99;99.99;99.99;19348956.9;19120098.9;19348956.9;2023-07-18;275;13.65;;;;32.41;2019-07-23;2018-10-04;1000;SUR;;13.0289;;2019-08-06;RUB
EQOB;2018-10-05;СолЛизБО01;RU000A0ZZEA0;3;30996.9;99.99;99.99;99.99;99.99;26;99.99;13.65;99.99;31;99.99;99.99;99.99;19370953.8;19136096.9;19370953.8;2023-07-18;274;13.65;;;;32.41;2019-07-23;2018-10-05;1000;SUR;;13.0267;;2019-08-06;RUB
EQOB;2018-10-08;СолЛизБО01;RU000A0ZZEA0;3;277972.2;99.99;99.99;99.99;99.99;27.07;99.99;13.65;99.99;278;99.99;99.99;99.99;19648926;19329069.1;19648926;2023-07-18;271;13.65;;;;32.41;2019-07-23;2018-10-08;1000;SUR;;13.0214;;2019-08-06;RUB
EQOB;2018-10-09;СолЛизБО01;RU000A0ZZEA0;2;134986.5;99.99;99.99;99.99;99.99;27.42;99.99;13.65;99.99;135;99.99;99.99;99.99;19448055.6;19443055.6;19448055.6;2023-07-18;270;13.65;;;;32.41;2019-07-23;2018-10-09;1000;SUR;;13.0207;;2019-08-06;RUB
EQOB;2018-10-10;СолЛизБО01;RU000A0ZZEA0;0;0;;;;99.99;27.78;;13.65;;0;99.99;99.99;99.99;19443055.6;19443055.6;19443055.6;2023-07-18;269;;;;;32.41;2019-07-23;2018-10-09;1000;SUR;;13.0698;;2019-08-06;RUB
EQOB;2018-10-11;СолЛизБО01;RU000A0ZZEA0;3;129972.5;99.75;100;100;100;28.14;99.98;13.64;100;130;99.99;99.99;100;573928.1;570928.4;573928.1;2023-07-18;268;13.67;;;;32.41;2019-07-23;2018-10-11;1000;SUR;;13.002;;2019-08-06;RUB
EQOB;2018-10-12;СолЛизБО01;RU000A0ZZEA0;7;329000;100;100;100;100;28.49;100;13.64;100;329;;99.99;100;0;558962.5;0;2023-07-18;267;13.64;;;;32.41;2019-07-23;2018-10-12;1000;SUR;;13.0011;;2019-08-06;RUB
EQOB;2018-10-15;СолЛизБО01;RU000A0ZZEA0;4;458226.5;100;100.05;100;100;29.56;100.05;13.64;100.05;458;100.03;100.03;100;787226.5;761226.5;787226.5;2023-07-18;264;13.57;;;;32.41;2019-07-23;2018-10-15;1000;SUR;;12.9959;;2019-08-06;RUB
EQOB;2018-10-16;СолЛизБО01;RU000A0ZZEA0;1;5000;100;100;100;100;29.92;100;13.64;100;5;100.03;100.03;100;792226.5;746226.5;792226.5;2023-07-18;263;13.64;;;;32.41;2019-07-23;2018-10-16;1000;SUR;;12.9937;;2019-08-06;RUB
EQOB;2018-10-17;СолЛизБО01;RU000A0ZZEA0;0;0;;;;100;30.27;;13.64;;0;100.02;100.03;100;922199;746226.5;922199;2023-07-18;262;;;;;32.41;2019-07-23;2018-10-16;1000;SUR;;13.044;;2019-08-06;RUB
EQOB;2018-10-18;СолЛизБО01;RU000A0ZZEA0;4;557203.5;100;100.05;100;100.03;30.63;100.04;13.64;100;557;100.03;100.04;100.03;1349430;1070430;1349430;2023-07-18;261;13.58;;;;32.41;2019-07-23;2018-10-18;1000;SUR;;12.9907;;2019-08-06;RUB
EQOB;2018-10-19;СолЛизБО01;RU000A0ZZEA0;7;54934.3;99.8;100.05;99.81;99.81;30.99;99.88;13.94;100.05;55;100.02;100.03;99.81;612137.8;532137.8;612137.8;2023-07-18;260;13.83;;;;32.41;2019-07-23;2018-10-19;1000;SUR;;13.268;;2019-08-06;RUB
EQOB;2018-10-22;СолЛизБО01;RU000A0ZZEA0;2;289990.9;99.82;100.05;100.05;100;32.05;100;13.57;99.82;290;100.01;100;100;902128.7;514975.2;902128.7;2023-07-18;257;13.65;;;;32.41;2019-07-23;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СолЛизБО01;RU000A0ZZEA0;2;6003;100.05;100.05;100.05;100.05;0;100.05;13.57;100.05;6;;100;100.05;0;520978.2;0;2023-07-18;265;13.57;;;;32.41;2019-07-23;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СолЛизБО01;RU000A0ZZEA0;2;20070;100.05;102.05;100.05;100.05;0.36;100.35;13.57;102.05;20;100.02;100.01;100.05;928201.7;541048.2;928201.7;2023-07-18;264;13.1;;;;32.41;2019-07-23;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СолЛизБО01;RU000A0ZZEA0;10;234617.5;99.5;100.05;99.5;99.5;0.71;99.84;14.44;100.05;235;;99.94;99.5;0;550681.4;0;2023-07-18;263;13.9;;;;32.41;2019-07-23;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;СолЛизБО01;RU000A0ZZEA0;3;39019.5;100.05;100.05;100.05;100.05;1.07;100.05;13.57;100.05;39;;99.97;100.05;0;522821.5;0;2023-07-18;262;13.57;;;;32.41;2019-07-23;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СолЛизБО01;RU000A0ZZEA0;8;152076;100.05;100.05;100.05;100.05;2.14;100.05;13.56;100.05;152;;99.98;100.05;0;674897.5;0;2023-07-18;259;13.56;;;;32.41;2019-07-23;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;СолЛизБО01;RU000A0ZZEA0;0;0;;;;100.05;2.49;;13.56;;0;;99.98;100.05;0;674897.5;0;2023-07-18;258;;;;;32.41;2019-07-23;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-31;СолЛизБО01;RU000A0ZZEA0;4;160079;100.04;100.05;100.05;100.05;2.85;100.05;13.56;100.05;160;;99.96;100.05;0;550774.5;0;2023-07-18;257;13.56;;;;32.41;2019-07-23;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;СолЛизБО01;RU000A0ZZEA0;2;10980;98.5;99.95;98.5;98.5;3.21;99.82;16.11;99.95;11;;99.96;98.5;0;561754.5;0;2023-07-18;256;13.93;;;;32.41;2019-07-23;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;СолЛизБО01;RU000A0ZZEA0;4;34995.3;99.95;100.05;100.05;100.05;3.56;99.99;13.56;99.95;35;;99.96;100.05;0;596749.8;0;2023-07-18;255;13.66;;;;32.41;2019-07-23;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;СолЛизБО01;RU000A0ZZEA0;5;125992.4;99.99;100.04;100;100;4.99;99.99;13.64;100.04;126;;100.03;100;0;523142.2;0;2023-07-18;251;13.65;;;;32.41;2019-07-23;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;СолЛизБО01;RU000A0ZZEA0;1;3001.5;100.05;100.05;100.05;100.05;5.34;100.05;13.55;100.05;3;;100.03;100.05;0;502131.7;0;2023-07-18;250;13.55;;;;32.41;2019-07-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;СолЛизБО01;RU000A0ZZEA0;0;0;;;;100.05;5.7;;13.55;;0;;100.03;100.05;0;502131.7;0;2023-07-18;249;;;;;32.41;2019-07-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-09;СолЛизБО01;RU000A0ZZEA0;0;0;;;;100.05;6.05;;13.55;;0;;100.03;100.05;0;502131.7;0;2023-07-18;248;;;;;32.41;2019-07-23;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-12;СолЛизБО01;RU000A0ZZEA0;5;372002.5;100;100.01;100;100;7.12;100;13.63;100.01;372;100;100;100;500996.4;500996.4;500996.4;2023-07-18;245;13.63;;;;32.41;2019-07-23;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;СолЛизБО01;RU000A0ZZEA0;3;111055.5;100.05;100.05;100.05;100.05;7.48;100.05;13.55;100.05;111;100.01;100.01;100.05;818106.2;502059.5;818106.2;2023-07-18;244;13.55;;;;32.41;2019-07-23;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;СолЛизБО01;RU000A0ZZEA0;2;926463;100.05;100.05;100.05;100.05;7.84;100.05;13.55;100.05;926;100.04;100.04;100.05;1409521;1409521;1409521;2023-07-18;243;13.55;;;;32.41;2019-07-23;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;СолЛизБО01;RU000A0ZZEA0;1;1000.5;100.05;100.05;100.05;100.05;8.19;100.05;13.55;100.05;1;100.04;100.04;100.05;1410521.5;1388519.3;1410521.5;2023-07-18;242;13.55;;;;32.41;2019-07-23;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;СолЛизБО01;RU000A0ZZEA0;3;731365.5;100.05;100.05;100.05;100.05;8.55;100.05;13.54;100.05;731;100.04;100.04;100.05;2141887;2096884.5;2141887;2023-07-18;241;13.54;;;;32.41;2019-07-23;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;СолЛизБО01;RU000A0ZZEA0;2;9003;100;100.05;100;100;9.62;100.03;13.63;100.05;9;100.05;100.05;100;1778887.5;1675836;1778887.5;2023-07-18;238;13.58;;;;32.41;2019-07-23;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;СолЛизБО01;RU000A0ZZEA0;3;474237;100.05;100.05;100.05;100.05;9.97;100.05;13.54;100.05;474;100.05;100.05;100.05;2142069;1828912.5;2142069;2023-07-18;237;13.54;;;;32.41;2019-07-23;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;СолЛизБО01;RU000A0ZZEA0;5;590025;100;100.05;100;100;10.33;100;13.63;100.05;590;100.02;100.02;100;1073265;1073265;1073265;2023-07-18;236;13.63;;;;32.41;2019-07-23;2018-11-21;1000;SUR;;;;;RUB
