history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Альфа-Б2Р1;RU000A0ZZEW4;3;237867;98.7;98.7;98.7;98.7;13.42;98.7;8.59;98.7;241;98.66;98.82;98.7;3319036.2;1463486.1;3319036.2;2021-08-02;936;8.59;;;;39.61;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;Альфа-Б2Р1;RU000A0ZZEW4;6;4007288;98.4;98.9;98.9;98.9;13.64;98.9;8.51;98.9;4052;98.89;98.89;98.9;5235144;4739655;5235144;2021-08-02;935;8.51;;;;39.61;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;Альфа-Б2Р1;RU000A0ZZEW4;2;1023615;98.9;98.9;98.9;98.9;13.85;98.9;8.51;98.9;1035;98.89;98.89;98.9;5268770;5258900;5268770;2021-08-02;934;8.51;;;;39.61;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;Альфа-Б2Р1;RU000A0ZZEW4;6;212623.5;98.89;98.9;98.89;98.89;14.07;98.89;8.51;98.9;215;98.9;98.9;98.89;5243526.5;1483488.5;5243526.5;2021-08-02;933;8.51;;;;39.61;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;Альфа-Б2Р1;RU000A0ZZEW4;0;0;;;;98.89;14.28;;8.52;;0;98.89;98.9;98.89;5481393.5;1483488.5;5481393.5;2021-08-02;932;;;;;39.61;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-08;Альфа-Б2Р1;RU000A0ZZEW4;9;3333802.5;98.4;98.6;98.45;98.45;14.93;98.46;8.7;98.6;3386;98.48;98.46;98.45;3546426;3345669.3;3546426;2021-08-02;929;8.7;;;;39.61;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;Альфа-Б2Р1;RU000A0ZZEW4;3;178186.4;98.44;98.45;98.44;98.44;15.15;98.45;8.71;98.45;181;98.46;98.45;98.44;3511988.9;3314788.9;3511988.9;2021-08-02;928;8.7;;;;39.61;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;Альфа-Б2Р1;RU000A0ZZEW4;4;295300;98.4;98.5;98.5;98.5;15.37;98.43;8.68;98.4;300;98.46;98.45;98.5;3807288.9;3520513.9;3807288.9;2021-08-02;927;8.71;;;;39.61;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;Альфа-Б2Р1;RU000A0ZZEW4;8;2037955.5;98.35;98.4;98.35;98.35;15.58;98.36;8.75;98.4;2072;98.37;98.37;98.35;2333255.5;2234855.5;2333255.5;2021-08-02;926;8.74;;;;39.61;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;Альфа-Б2Р1;RU000A0ZZEW4;1;78107.3;98.87;98.87;98.87;98.87;15.8;98.87;8.53;98.87;79;98.38;98.38;98.87;2411362.8;2214562.8;2411362.8;2021-08-02;925;8.53;;;;39.61;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;Альфа-Б2Р1;RU000A0ZZEW4;6;54378066.8;98.5;98.89;98.65;98.65;16.45;98.62;8.62;98.5;55138;98.61;98.61;98.65;56494129.6;56211721.6;56494129.6;2021-08-02;922;8.63;;;;39.61;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;Альфа-Б2Р1;RU000A0ZZEW4;2;15803;98.7;98.8;98.7;98.7;16.67;98.77;8.6;98.8;16;98.61;98.62;98.7;56805232.6;55130922.1;56805232.6;2021-08-02;921;8.57;;;;39.61;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;Альфа-Б2Р1;RU000A0ZZEW4;5;1217116.5;98.45;99.95;99.2;99.19;16.88;99.93;8.39;99.9;1218;98.65;98.69;99.19;55610986.3;40099048.5;55610986.3;2021-08-02;921;8.08;;;;39.61;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;Альфа-Б2Р1;RU000A0ZZEW4;1;11904;99.2;99.2;99.2;99.2;17.1;99.2;8.39;99.2;12;98.65;98.69;99.2;55700997.6;40107004.5;55700997.6;2021-08-02;919;8.39;;;;39.61;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;Альфа-Б2Р1;RU000A0ZZEW4;1;38688;99.2;99.2;99.2;99.2;17.32;99.2;8.39;99.2;39;98.65;98.9;99.2;55661578.3;6183457;55661578.3;2021-08-02;918;8.39;;;;39.61;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;Альфа-Б2Р1;RU000A0ZZEW4;5;150684;99;99.2;99.2;99.2;17.96;99.13;8.39;99;152;99.8;99.8;99.2;1434195.5;1218592.5;1434195.5;2021-08-02;915;8.42;;;;39.61;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;Альфа-Б2Р1;RU000A0ZZEW4;4;218849.8;98.45;99.1;98.99;98.99;18.18;99.03;8.48;99.1;221;;99.68;98.99;0;1437442.3;0;2021-08-02;914;8.46;;;;39.61;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;Альфа-Б2Р1;RU000A0ZZEW4;1;30671.4;98.94;98.94;98.94;98.94;18.4;98.94;8.5;98.94;31;;99.67;98.94;0;1468113.7;0;2021-08-02;913;8.5;;;;39.61;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;Альфа-Б2Р1;RU000A0ZZEW4;1;29685;98.95;98.95;98.95;98.95;18.61;98.95;8.5;98.95;30;;99.07;98.95;0;500322.2;0;2021-08-02;912;8.5;;;;39.61;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;Альфа-Б2Р1;RU000A0ZZEW4;2;7924;98.9;99.2;99.2;99.05;18.83;99.05;8.39;98.9;8;;99.07;99.05;0;508246.2;0;2021-08-02;911;8.45;;;;39.61;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;Альфа-Б2Р1;RU000A0ZZEW4;5;1334926.5;98.5;99;98.5;98.5;19.48;98.52;8.69;99;1355;98.61;98.55;98.5;1622056.7;1420035.2;1622056.7;2021-08-02;908;8.68;;;;39.61;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;Альфа-Б2Р1;RU000A0ZZEW4;6;622662;99.15;99.15;99.15;99.15;19.7;99.15;8.41;99.15;628;98.72;98.71;99.15;1957588.5;1908088.5;1957588.5;2021-08-02;907;8.41;;;;39.61;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;Альфа-Б2Р1;RU000A0ZZEW4;2;80110.9;98.9;99.09;98.9;98.9;19.91;98.9;8.52;99.09;81;98.73;98.72;98.9;2037699.4;1937962.9;2037699.4;2021-08-02;906;8.52;;;;39.61;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;Альфа-Б2Р1;RU000A0ZZEW4;3;32629.6;98.53;98.9;98.9;98.9;20.13;98.88;8.52;98.9;33;99.11;99.11;98.9;735402.5;715572.5;735402.5;2021-08-02;905;8.53;;;;39.61;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;Альфа-Б2Р1;RU000A0ZZEW4;10;284969;98.5;99.15;99.15;99.09;20.35;98.61;8.41;98.55;289;;98.94;99.09;0;899408.5;0;2021-08-02;904;8.65;;;;39.61;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;Альфа-Б2Р1;RU000A0ZZEW4;1;998.8;99.88;99.88;99.88;99.88;21.21;99.88;8.1;99.88;1;;98.95;99.88;0;900407.3;0;2021-08-02;901;8.1;;;;39.61;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;Альфа-Б2Р1;RU000A0ZZEW4;0;0;;;;99.88;21.43;;8.1;;0;;98.95;99.88;0;900407.3;0;2021-08-02;899;;;;;39.61;;2018-11-06;1000;SUR;;;;;RUB
