,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ЦППК 1P-02,RU000A0ZZFH2,62,6411733.8,100.28,100.45,100.35,100.35,14.84,100.31,9.93,100.45,6392,100.31,100.31,100.35,6411733.8,6411733.8,6411733.8,2021-08-03,917,9.95,,,,49.12,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ЦППК 1P-02,RU000A0ZZFH2,49,4148111.3,100.3,100.4,100.39,100.39,15.11,100.39,9.92,100.35,4132,100.39,100.39,100.39,4148111.3,4148111.3,4148111.3,2021-08-03,916,9.92,,,,49.12,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ЦППК 1P-02,RU000A0ZZFH2,82,12835276.1,100.28,100.4,100.28,100.28,15.38,100.35,9.96,100.39,12790,100.35,100.35,100.28,12835276.1,12835276.1,12835276.1,2021-08-03,915,9.93,,,,49.12,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ЦППК 1P-02,RU000A0ZZFH2,80,8356994.2,100.16,100.39,100.28,100.28,15.65,100.3,9.96,100.38,8332,100.3,100.3,100.28,8356994.2,8356994.2,8356994.2,2021-08-03,914,9.95,,,,49.12,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ЦППК 1P-02,RU000A0ZZFH2,30,39371841.9,100.27,100.75,100.48,100.48,15.92,100.65,9.88,100.36,39118,100.65,100.65,100.48,39371841.9,39371841.9,39371841.9,2021-08-03,913,9.8,,,,49.12,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ЦППК 1P-02,RU000A0ZZFH2,63,7115809.8,100.2,100.5,100.24,100.24,16.73,100.27,9.98,100.5,7097,100.27,100.27,100.24,7115809.8,7115809.8,7115809.8,2021-08-03,910,9.97,,,,49.12,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ЦППК 1P-02,RU000A0ZZFH2,89,12952912.2,100.22,100.39,100.23,100.23,17.0,100.25,9.98,100.39,12921,100.25,100.25,100.23,12952912.2,12952912.2,12952912.2,2021-08-03,909,9.97,,,,49.12,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ЦППК 1P-02,RU000A0ZZFH2,37,3463770.2,100.13,100.5,100.25,100.25,17.27,100.25,9.97,100.5,3455,100.25,100.25,100.25,3463770.2,3463770.2,3463770.2,2021-08-03,908,9.97,,,,49.12,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ЦППК 1P-02,RU000A0ZZFH2,39,2420990.9,100.1,100.5,100.4,100.4,17.54,100.41,9.91,100.18,2411,100.41,100.41,100.4,2420990.9,2420990.9,2420990.9,2021-08-03,907,9.9,,,,49.12,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ЦППК 1P-02,RU000A0ZZFH2,36,3070782.1,100.22,100.5,100.46,100.46,17.81,100.45,9.88,100.5,3057,100.45,100.45,100.46,3070782.1,3070782.1,3070782.1,2021-08-03,906,9.89,,,,49.12,,2018-10-12,1000,SUR,,,,,RUB
