history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВТБ Б-1-8;RU000A0ZZH84;9;2865429.5;100.5;101.5;101.5;101.5;8.99;101.32;7.63;100.51;2828;101.26;101.33;101.5;4131277.4;3066379.7;4131277.4;2021-08-24;947;7.7;;;;19.95;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ВТБ Б-1-8;RU000A0ZZH84;8;641664.7;100.5;102.5;102;101.98;9.21;101.05;7.43;102.5;635;101.27;101.4;101.98;3507094.2;2898009.7;3507094.2;2021-08-24;946;7.81;;;;19.95;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ВТБ Б-1-8;RU000A0ZZH84;12;21055012.6;101.98;102.8;102.8;102.8;9.42;102.01;7.11;102;20641;102.01;102.01;102.8;21055012.6;21055012.6;21055012.6;2021-08-24;946;7.42;;;;19.95;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ВТБ Б-1-8;RU000A0ZZH84;10;5256431.9;101.3;102;102;102;9.64;101.95;7.43;101.3;5156;101.95;101.95;102;5256431.9;5256431.9;5256431.9;2021-08-24;945;7.45;;;;19.95;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ВТБ Б-1-8;RU000A0ZZH84;12;5304456.8;101.2;101.99;101.21;101.21;9.86;101.5;7.75;101.51;5226;101.5;101.5;101.21;5304456.8;5304456.8;5304456.8;2021-08-24;944;7.63;;;;19.95;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ВТБ Б-1-8;RU000A0ZZH84;13;1740055.6;100;102;100.1;100.1;10.52;100.87;8.2;101.98;1725;100.87;100.87;100.1;1740055.6;1740055.6;1740055.6;2021-08-24;940;7.88;;;;19.95;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ВТБ Б-1-8;RU000A0ZZH84;10;2129112;101;101.5;101.5;101.5;10.74;101.39;7.62;101.49;2100;101.39;101.39;101.5;2129112;2129112;2129112;2021-08-24;939;7.67;;;;19.95;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ВТБ Б-1-8;RU000A0ZZH84;4;404064.9;100;101.49;101.49;101.49;10.96;100.02;7.63;100;404;101.17;101.1;101.49;2533176.9;2137334.9;2533176.9;2021-08-24;938;8.23;;;;19.95;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ВТБ Б-1-8;RU000A0ZZH84;1;1012;101.2;101.2;101.2;101.2;11.18;101.2;7.75;101.2;1;101.17;101.1;101.2;2534188.9;2122106.9;2534188.9;2021-08-24;937;7.75;;;;19.95;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ВТБ Б-1-8;RU000A0ZZH84;4;1007662;101.01;101.8;101.01;101.77;11.4;101.78;7.82;101.8;990;101.19;101.27;101.77;5281906.5;1413753.9;5281906.5;2021-08-24;937;7.51;;;;19.95;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ВТБ Б-1-8;RU000A0ZZH84;0;0;;;;101.77;12.05;;7.82;;0;101.34;101.27;101.77;3541850.9;1413753.9;3541850.9;2021-08-24;933;;;;;19.95;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-16;ВТБ Б-1-8;RU000A0ZZH84;95;20882555.8;100;101.83;100.01;100.01;12.27;100.01;8.24;100.71;20881;100.01;100.01;100.01;20882555.8;20882555.8;20882555.8;2021-08-24;931;8.24;;;;19.95;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ВТБ Б-1-8;RU000A0ZZH84;14;705339.6;100;100.69;100.2;100;12.49;100.05;8.16;100.69;705;100.05;100.05;100;705339.6;705339.6;705339.6;2021-08-24;931;8.22;;;;19.95;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ВТБ Б-1-8;RU000A0ZZH84;27;3688129.8;99.95;100.17;100;99.97;12.71;100;8.24;100.17;3688;100;100;99.97;3688129.8;3688129.8;3688129.8;2021-08-24;929;8.24;;;;19.95;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;ВТБ Б-1-8;RU000A0ZZH84;10;3842841.7;99.99;100;100;100;12.93;100;8.24;99.99;3843;100;100;100;3842841.7;3842841.7;3842841.7;2021-08-24;928;8.24;;;;19.95;;2018-10-19;1000;SUR;;;;;RUB
