,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,RUSAL plc,RUAL,1817,33053563.0,28.05,27.99,28.59,28.49,28.38,28.49,1164600,28.38,28.38,28.49,33053563.0,33053563.0,33053563.0,
1,TQBR,2018-10-02,RUSAL plc,RUAL,2057,57366227.6,28.53,27.76,28.8,28.72,28.64,28.72,2002710,28.64,28.64,28.72,57366227.6,57366227.6,57366227.6,
2,TQBR,2018-10-03,RUSAL plc,RUAL,2655,32687176.0,28.75,28.7,29.1,29.0,28.89,29.0,1131270,28.89,28.89,29.0,32687176.0,32687176.0,32687176.0,
3,TQBR,2018-10-04,RUSAL plc,RUAL,4096,60418097.4,29.15,28.7,29.59,29.01,29.22,29.01,2067840,29.22,29.22,29.01,60418097.4,60418097.4,60418097.4,
4,TQBR,2018-10-05,RUSAL plc,RUAL,5258,192310265.5,29.0,27.76,29.0,27.99,28.08,27.99,6819450,28.2,28.2,27.99,192310265.5,192310265.5,192310265.5,
5,TQBR,2018-10-08,RUSAL plc,RUAL,4133,57068667.5,27.8,27.16,28.19,28.0,27.91,28.0,2044640,27.91,27.91,28.0,57068667.5,57068667.5,57068667.5,
6,TQBR,2018-10-09,RUSAL plc,RUAL,978,41563567.4,28.18,27.7,28.18,27.96,27.97,27.96,1485810,27.97,27.97,27.96,41563567.4,41563567.4,41563567.4,
7,TQBR,2018-10-10,RUSAL plc,RUAL,1426,35704348.8,28.15,27.9,28.5,28.0,28.01,28.0,1274600,28.01,28.01,28.0,35704348.8,35704348.8,35704348.8,
8,TQBR,2018-10-11,RUSAL plc,RUAL,3167,55398762.5,27.75,25.8,28.14,27.21,27.58,27.21,2008820,27.58,27.58,27.21,55398762.5,55398762.5,55398762.5,
9,TQBR,2018-10-12,RUSAL plc,RUAL,6073,52031325.7,27.24,27.24,29.6,28.69,28.47,28.69,1827630,28.47,28.47,28.69,52031325.7,52031325.7,52031325.7,
10,TQBR,2018-10-15,RUSAL plc,RUAL,2947,30393474.6,28.79,28.08,28.99,28.31,28.37,28.31,1071190,28.37,28.37,28.31,30393474.6,30393474.6,30393474.6,
11,TQBR,2018-10-16,RUSAL plc,RUAL,1274,34863739.6,28.48,28.2,28.7,28.51,28.43,28.51,1226230,28.43,28.43,28.51,34863739.6,34863739.6,34863739.6,
12,TQBR,2018-10-17,RUSAL plc,RUAL,1278,17638213.1,28.35,28.35,28.69,28.55,28.5,28.55,618830,28.5,28.5,28.55,17638213.1,17638213.1,17638213.1,
13,TQBR,2018-10-18,RUSAL plc,RUAL,1972,20031198.0,28.55,28.46,29.23,28.75,28.74,28.75,697030,28.74,28.74,28.75,20031198.0,20031198.0,20031198.0,
14,TQBR,2018-10-19,RUSAL plc,RUAL,2076,29325251.1,28.86,28.65,29.15,28.66,28.85,28.66,1016380,28.85,28.85,28.66,29325251.1,29325251.1,29325251.1,
15,TQBR,2018-10-22,RUSAL plc,RUAL,1692,16880294.9,28.66,28.35,28.82,28.4,28.62,28.4,589910,28.62,28.62,28.4,16880294.9,16880294.9,16880294.9,
16,TQBR,2018-10-23,RUSAL plc,RUAL,2034,65388223.8,28.3,27.37,28.65,28.05,28.05,28.05,2330900,28.05,28.05,28.05,65388223.8,65388223.8,65388223.8,
17,TQBR,2018-10-24,RUSAL plc,RUAL,763,22619038.8,28.83,28.03,28.83,28.35,28.24,28.35,800950,28.24,28.24,28.35,22619038.8,22619038.8,22619038.8,
18,TQBR,2018-10-25,RUSAL plc,RUAL,2323,54480927.6,27.7,27.51,29.52,28.5,28.38,28.5,1919530,28.38,28.38,28.5,54480927.6,54480927.6,54480927.6,
19,TQBR,2018-10-26,RUSAL plc,RUAL,3034,39682902.6,28.53,28.11,28.7,28.25,28.32,28.25,1401010,28.32,28.32,28.25,39682902.6,39682902.6,39682902.6,
20,TQBR,2018-10-29,RUSAL plc,RUAL,780,36166423.2,28.0,28.0,28.87,28.79,28.74,28.79,1258300,28.74,28.74,28.79,36166423.2,36166423.2,36166423.2,
21,TQBR,2018-10-30,RUSAL plc,RUAL,487,12012799.3,28.79,28.2,28.88,28.36,28.43,28.36,422480,28.43,28.43,28.36,12012799.3,12012799.3,12012799.3,
22,TQBR,2018-10-31,RUSAL plc,RUAL,667,22384161.1,28.48,28.29,28.67,28.5,28.51,28.5,785020,28.51,28.51,28.5,22384161.1,22384161.1,22384161.1,
23,TQBR,2018-11-01,RUSAL plc,RUAL,3349,27247691.0,28.34,28.0,28.58,28.25,28.175,28.25,967150,28.175,28.175,28.25,27247691.0,27247691.0,27247691.0,
24,TQBR,2018-11-02,RUSAL plc,RUAL,906,7550277.45,28.3,28.23,28.595,28.245,28.385,28.245,266000,28.385,28.385,28.245,7550277.45,7550277.45,7550277.45,
25,TQBR,2018-11-06,RUSAL plc,RUAL,13149,220679443.7,29.1,28.65,29.95,29.75,29.405,29.75,7504940,29.405,29.405,29.75,220679443.7,220679443.7,220679443.7,
26,TQBR,2018-11-07,RUSAL plc,RUAL,4512,61758353.15,29.8,29.29,29.925,29.85,29.75,29.85,2075960,29.75,29.75,29.85,61758353.15,61758353.15,61758353.15,
27,TQBR,2018-11-08,RUSAL plc,RUAL,2901,46547341.75,29.85,29.525,29.975,29.82,29.83,29.82,1560290,29.83,29.83,29.82,46547341.75,46547341.75,46547341.75,
28,TQBR,2018-11-09,RUSAL plc,RUAL,1972,44141515.85,29.71,29.315,29.9,29.785,29.68,29.785,1487150,29.68,29.68,29.785,44141515.85,44141515.85,44141515.85,
29,TQBR,2018-11-12,RUSAL plc,RUAL,1640,41557970.95,30.0,29.6,30.18,29.6,29.915,29.6,1389300,29.915,29.915,29.6,41557970.95,41557970.95,41557970.95,
30,TQBR,2018-11-13,RUSAL plc,RUAL,1220,13118328.2,29.98,29.305,29.98,29.695,29.665,29.695,442220,29.665,29.665,29.695,13118328.2,13118328.2,13118328.2,
31,TQBR,2018-11-14,RUSAL plc,RUAL,1101,12346185.95,29.795,29.465,29.9,29.7,29.695,29.7,415790,29.695,29.695,29.7,12346185.95,12346185.95,12346185.95,
32,TQBR,2018-11-15,RUSAL plc,RUAL,810,7881406.1,29.85,29.53,29.85,29.65,29.655,29.65,265790,29.655,29.655,29.65,7881406.1,7881406.1,7881406.1,
