history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Русгрэйн;RUGR;3466;24973420;5.1;5.05;7.05;7.05;6.45;7.05;3868570;6.45;6.45;7.05;24973420;24973420;24973420;
TQBR;2018-10-02;Русгрэйн;RUGR;13277;98288333;7.45;6.3;9.8;6.45;8.8;6.45;11161500;8.8;8.8;6.45;98288333;98288333;98288333;
TQBR;2018-10-03;Русгрэйн;RUGR;11168;49167344;6.55;5.55;8.45;7.35;7.3;7.35;6715460;7.3;7.3;7.35;49167344;49167344;49167344;
TQBR;2018-10-04;Русгрэйн;RUGR;3937;12106436;7.35;6.1;7.85;6.3;6.75;6.3;1787490;6.75;6.75;6.3;12106436;12106436;12106436;
TQBR;2018-10-05;Русгрэйн;RUGR;2622;10177778.5;6.45;5.8;7.35;6.15;6.45;6.15;1578030;6.45;6.45;6.15;10177778.5;10177778.5;10177778.5;
TQBR;2018-10-08;Русгрэйн;RUGR;1533;4667362;6.3;5.75;6.35;6.05;6.05;6.05;770960;6.05;6.05;6.05;4667362;4667362;4667362;
TQBR;2018-10-09;Русгрэйн;RUGR;3216;12033885;6.1;5.8;7;6.05;6.4;6.05;1882850;6.4;6.4;6.05;12033885;12033885;12033885;
TQBR;2018-10-10;Русгрэйн;RUGR;941;3274628.5;6.2;5.7;6.3;5.8;5.95;5.85;549020;5.95;5.95;5.8;3274628.5;3274628.5;3274628.5;
TQBR;2018-10-11;Русгрэйн;RUGR;985;3224767;5.75;5.55;5.9;5.75;5.7;5.75;565680;5.7;5.7;5.75;3224767;3224767;3224767;
TQBR;2018-10-12;Русгрэйн;RUGR;743;1994763.5;5.75;5.6;6;5.7;5.8;5.7;344460;5.8;5.8;5.7;1994763.5;1994763.5;1994763.5;
