history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Селигдар;SELG;39;158543;10.24;9.99;10.24;10.13;10.1;10.13;15700;;10.11;10.13;0;501227;0;
TQBR;2018-10-02;Селигдар;SELG;371;4826167;10.05;9.95;10.91;10.43;10.39;10.43;464400;10.39;10.39;10.43;4826167;4826167;4826167;
TQBR;2018-10-03;Селигдар;SELG;206;1085359;10.47;10.09;10.6;10.1;10.22;10.1;106200;10.22;10.22;10.1;1085359;1085359;1085359;
TQBR;2018-10-04;Селигдар;SELG;31;1073330;10.1;10.06;10.14;10.08;10.12;10.07;106100;10.12;10.12;10.08;1073330;1073330;1073330;
TQBR;2018-10-05;Селигдар;SELG;78;628430;10.05;10.03;10.43;10.43;10.15;10.43;61900;10.15;10.15;10.43;628430;628430;628430;
TQBR;2018-10-08;Селигдар;SELG;68;263014;10.21;10.12;10.89;10.12;10.27;10.12;25600;;10.25;10.12;0;622019;0;
TQBR;2018-10-09;Селигдар;SELG;109;1525204;10.18;9.9;10.18;10.15;10.01;10.15;152400;10.01;10.01;10.15;1525204;1525204;1525204;
TQBR;2018-10-10;Селигдар;SELG;55;1149974;10.88;9.97;10.88;10;10.12;10;113600;10.12;10.12;10;1149974;1149974;1149974;
TQBR;2018-10-11;Селигдар;SELG;39;722395;10.01;9.86;10.1;10.1;10.02;10.1;72100;10.02;10.02;10.1;722395;722395;722395;
TQBR;2018-10-12;Селигдар;SELG;16;465589;10.1;9.95;10.1;10;10.03;10;46400;;10.04;10;0;546389;0;
TQBR;2018-10-15;Селигдар;SELG;51;1560699;10;9.75;10;9.9;9.8;9.91;159200;9.8;9.8;9.9;1560699;1560699;1560699;
TQBR;2018-10-16;Селигдар;SELG;28;1409724;9.99;9.82;10;10;9.94;10;141800;9.94;9.94;10;1409724;1409724;1409724;
TQBR;2018-10-17;Селигдар;SELG;37;1027265;9.77;9.76;10;10;9.88;10;104000;9.88;9.88;10;1027265;1027265;1027265;
TQBR;2018-10-18;Селигдар;SELG;14;255664;9.9;9.8;10.03;9.9;9.91;9.9;25800;;9.92;9.9;0;520703;0;
TQBR;2018-10-19;Селигдар;SELG;19;40292;9.89;9.77;9.89;9.77;9.83;9.77;4100;;9.91;9.77;0;511495;0;
TQBR;2018-10-22;Селигдар;SELG;27;1121104;9.8;9.8;9.91;9.9;9.9;9.9;113300;9.9;9.9;9.9;1121104;1121104;1121104;
TQBR;2018-10-23;Селигдар;SELG;46;1209189;9.9;9.7;9.9;9.8;9.77;9.8;123800;9.77;9.77;9.8;1209189;1209189;1209189;
TQBR;2018-10-24;Селигдар;SELG;23;366250;9.88;9.77;9.88;9.8;9.79;9.8;37400;;9.79;9.8;0;600410;0;
TQBR;2018-10-25;Селигдар;SELG;30;1095555;9.8;9.75;10;10;9.83;10;111400;9.83;9.83;10;1095555;1095555;1095555;
TQBR;2018-10-26;Селигдар;SELG;29;1049025;10;9.78;10;9.85;9.86;9.85;106400;9.86;9.86;9.85;1049025;1049025;1049025;
TQBR;2018-10-29;Селигдар;SELG;17;1098235;9.78;9.78;9.9;9.85;9.85;9.85;111500;9.85;9.85;9.85;1098235;1098235;1098235;
TQBR;2018-10-30;Селигдар;SELG;18;1003670;9.85;9.8;9.85;9.85;9.85;9.85;101900;9.85;9.85;9.85;1003670;1003670;1003670;
TQBR;2018-10-31;Селигдар;SELG;25;218061;9.9;9.71;9.9;9.75;9.78;9.75;22300;;9.82;9.75;0;523411;0;
TQBR;2018-11-01;Селигдар;SELG;41;1133421;9.79;9.6;9.8;9.71;9.77;9.71;116000;9.77;9.77;9.71;1133421;1133421;1133421;
TQBR;2018-11-02;Селигдар;SELG;28;1031576;9.78;9.7;9.8;9.71;9.8;9.7;105300;9.8;9.8;9.71;1031576;1031576;1031576;
TQBR;2018-11-06;Селигдар;SELG;21;129938;9.73;9.62;9.8;9.8;9.77;9.7;13300;;9.79;9.8;0;556973;0;
TQBR;2018-11-07;Селигдар;SELG;14;28157;9.71;9.63;9.77;9.71;9.71;9.74;2900;;9.78;9.71;0;585130;0;
TQBR;2018-11-08;Селигдар;SELG;28;1089540;9.78;9.71;9.8;9.8;9.8;9.8;111200;9.8;9.8;9.8;1089540;1089540;1089540;
TQBR;2018-11-09;Селигдар;SELG;25;1061832;9.68;9.67;9.8;9.72;9.8;9.72;108400;9.8;9.8;9.72;1061832;1061832;1061832;
TQBR;2018-11-12;Селигдар;SELG;11;210085;9.69;9.67;9.8;9.79;9.68;9.79;21700;;9.76;9.79;0;607957;0;
TQBR;2018-11-13;Селигдар;SELG;13;1087693;9.67;9.67;9.8;9.7;9.8;9.7;111000;9.8;9.8;9.7;1087693;1087693;1087693;
TQBR;2018-11-14;Селигдар;SELG;63;325339;9.79;9.08;9.84;9.63;9.6;9.63;33900;;9.71;9.63;0;726069;0;
TQBR;2018-11-15;Селигдар;SELG;18;46049;9.75;9.55;9.75;9.56;9.59;9.55;4800;;9.7;9.56;0;772118;0;
TQBR;2018-11-16;Селигдар;SELG;23;1020344;9.56;9.56;9.8;9.79;9.79;9.79;104200;9.79;9.79;9.79;1020344;1020344;1020344;
