,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Сахэнер ао,SLEN,1,445.0,4.45,4.45,4.45,4.45,4.45,4.45,100,,4.22,4.45,0.0,507767.0,0.0,
1,TQBR,2018-10-02,Сахэнер ао,SLEN,4,6637.0,4.31,4.31,4.45,4.44,4.42,4.45,1500,,4.22,4.44,0.0,505638.0,0.0,
2,TQBR,2018-10-03,Сахэнер ао,SLEN,43,83293.0,4.3,4.2,4.45,4.32,4.29,4.32,19400,,4.23,4.32,0.0,527160.0,0.0,
3,TQBR,2018-10-04,Сахэнер ао,SLEN,5,23760.0,4.32,4.32,4.32,4.32,4.32,4.32,5500,,4.25,4.32,0.0,502466.0,0.0,
4,TQBR,2018-10-05,Сахэнер ао,SLEN,5,6036.0,4.23,4.2,4.33,4.33,4.31,4.33,1400,,4.25,4.33,0.0,508502.0,0.0,
5,TQBR,2018-10-08,Сахэнер ао,SLEN,7,13627.0,4.27,4.22,4.32,4.32,4.26,4.32,3200,,4.25,4.32,0.0,511252.0,0.0,
6,TQBR,2018-10-09,Сахэнер ао,SLEN,16,68418.0,4.31,4.31,4.45,4.45,4.39,4.45,15600,,4.34,4.45,0.0,512818.0,0.0,
7,TQBR,2018-10-10,Сахэнер ао,SLEN,8,66578.0,4.43,4.43,4.46,4.44,4.44,4.46,15000,,4.35,4.44,0.0,500594.0,0.0,
8,TQBR,2018-10-11,Сахэнер ао,SLEN,137,356508.0,4.36,4.0,4.5,4.45,4.39,4.45,81300,,4.39,4.45,0.0,505131.0,0.0,
9,TQBR,2018-10-12,Сахэнер ао,SLEN,2,881.0,4.37,4.37,4.44,4.41,4.41,4.44,200,,4.39,4.41,0.0,506012.0,0.0,
10,TQBR,2018-10-15,Сахэнер ао,SLEN,26,93880.0,4.29,4.11,4.4,4.25,4.25,4.36,22100,,4.36,4.25,0.0,505886.0,0.0,
11,TQBR,2018-10-16,Сахэнер ао,SLEN,7,3011.0,4.28,4.27,4.34,4.34,4.3,4.34,700,,4.36,4.34,0.0,508897.0,0.0,
12,TQBR,2018-10-17,Сахэнер ао,SLEN,7,3056.0,4.39,4.3,4.43,4.36,4.37,4.36,700,,4.36,4.36,0.0,511953.0,0.0,
13,TQBR,2018-10-18,Сахэнер ао,SLEN,19,14491.0,4.36,4.22,4.36,4.33,4.26,4.33,3400,,4.36,4.33,0.0,526444.0,0.0,
14,TQBR,2018-10-19,Сахэнер ао,SLEN,11,17339.0,4.25,4.22,4.3,4.22,4.23,4.22,4100,,4.35,4.22,0.0,511371.0,0.0,
15,TQBR,2018-10-22,Сахэнер ао,SLEN,34,115612.0,4.23,4.06,4.23,4.16,4.11,4.16,28100,,4.3,4.16,0.0,509529.0,0.0,
16,TQBR,2018-10-23,Сахэнер ао,SLEN,44,90237.0,4.23,3.95,4.24,4.15,4.08,4.22,22100,,4.25,4.15,0.0,517324.0,0.0,
17,TQBR,2018-10-24,Сахэнер ао,SLEN,40,58939.0,4.09,3.98,4.32,4.3,4.09,4.3,14400,,4.21,4.3,0.0,503569.0,0.0,
18,TQBR,2018-10-25,Сахэнер ао,SLEN,17,43131.0,4.24,4.06,4.24,4.17,4.15,4.17,10400,,4.19,4.17,0.0,500209.0,0.0,
19,TQBR,2018-10-26,Сахэнер ао,SLEN,55,154236.0,4.1,3.92,4.1,3.92,3.99,3.92,38700,,4.08,3.92,0.0,500052.0,0.0,
20,TQBR,2018-10-29,Сахэнер ао,SLEN,5,2801.0,3.92,3.92,4.07,4.0,4.0,4.0,700,,4.08,4.0,0.0,500276.0,0.0,
21,TQBR,2018-10-30,Сахэнер ао,SLEN,8,5206.0,3.98,3.97,4.03,4.03,4.0,4.03,1300,,4.07,4.03,0.0,500261.0,0.0,
22,TQBR,2018-10-31,Сахэнер ао,SLEN,17,35951.0,3.97,3.94,4.07,4.03,4.04,4.03,8900,,4.06,4.03,0.0,501893.0,0.0,
23,TQBR,2018-11-01,Сахэнер ао,SLEN,2,2408.5,3.985,3.985,4.02,4.02,4.015,4.02,600,,4.06,4.02,0.0,504301.5,0.0,
24,TQBR,2018-11-02,Сахэнер ао,SLEN,16,34199.5,3.98,3.97,4.055,3.975,3.975,3.97,8600,,4.05,3.975,0.0,501008.0,0.0,
25,TQBR,2018-11-06,Сахэнер ао,SLEN,25,120340.5,3.98,3.805,3.99,3.9,3.88,3.9,31000,,4.0,3.9,0.0,500296.5,0.0,
26,TQBR,2018-11-07,Сахэнер ао,SLEN,1,3905.0,3.905,3.905,3.905,3.905,3.905,3.905,1000,,4.0,3.905,0.0,504201.5,0.0,
27,TQBR,2018-11-08,Сахэнер ао,SLEN,0,0.0,,,,3.905,,,0,,4.0,3.905,0.0,504201.5,0.0,
28,TQBR,2018-11-09,Сахэнер ао,SLEN,2,2363.0,3.955,3.935,3.955,3.935,3.94,3.935,600,,4.0,3.935,0.0,506564.5,0.0,
29,TQBR,2018-11-12,Сахэнер ао,SLEN,0,0.0,,,,3.935,,,0,,4.0,3.935,0.0,506564.5,0.0,
30,TQBR,2018-11-13,Сахэнер ао,SLEN,31,507046.5,3.9,3.845,3.9,3.845,3.85,3.845,131700,3.85,3.85,3.845,507046.5,507046.5,507046.5,
31,TQBR,2018-11-14,Сахэнер ао,SLEN,606,3129556.5,3.89,3.89,5.235,4.37,4.62,4.37,677100,4.62,4.62,4.37,3129556.5,3129556.5,3129556.5,
32,TQBR,2018-11-15,Сахэнер ао,SLEN,137,1286360.0,4.365,4.01,4.39,4.175,4.095,4.175,314200,4.095,4.095,4.175,1286360.0,1286360.0,1286360.0,
33,TQBR,2018-11-16,Сахэнер ао,SLEN,80,271970.0,4.1,3.9,4.175,4.045,4.01,4.045,67800,,4.035,4.045,0.0,501396.5,0.0,
34,TQBR,2018-11-19,Сахэнер ао,SLEN,757,3907845.5,4.09,3.95,4.76,4.39,4.285,4.39,912200,4.285,4.285,4.39,3907845.5,3907845.5,3907845.5,
35,TQBR,2018-11-20,Сахэнер ао,SLEN,1092,5605938.0,4.395,4.35,5.1,4.74,4.67,4.74,1200000,4.67,4.67,4.74,5605938.0,5605938.0,5605938.0,
36,TQBR,2018-11-21,Сахэнер ао,SLEN,692,3749222.5,4.905,4.635,5.19,4.85,4.93,4.85,760800,4.93,4.93,4.85,3749222.5,3749222.5,3749222.5,
37,TQBR,2018-11-22,Сахэнер ао,SLEN,192,711755.0,4.99,4.5,5.0,4.595,4.66,4.645,152700,4.66,4.66,4.595,711755.0,711755.0,711755.0,
38,TQBR,2018-11-23,Сахэнер ао,SLEN,84,321051.5,4.695,4.335,4.715,4.465,4.495,4.49,71400,,4.53,4.465,0.0,534380.0,0.0,
39,TQBR,2018-11-26,Сахэнер ао,SLEN,97,400894.5,4.49,4.385,4.745,4.54,4.515,4.675,88800,,4.495,4.54,0.0,503495.5,0.0,
40,TQBR,2018-11-27,Сахэнер ао,SLEN,34,60160.0,4.745,4.555,4.745,4.565,4.63,4.65,13000,,4.525,4.565,0.0,500741.5,0.0,
