history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;СтаврЭнСб;STSB;182;337392;0.266;0.266;0.306;0.304;0.279;0.304;1208000;;0.269;0.304;0;500693;0;
TQBR;2018-10-02;СтаврЭнСб;STSB;55;37536;0.307;0.293;0.307;0.297;0.298;0.299;126000;;0.273;0.297;0;501155;0;
TQBR;2018-10-03;СтаврЭнСб;STSB;10;3610;0.306;0.294;0.307;0.295;0.301;0.295;12000;;0.273;0.295;0;500954;0;
TQBR;2018-10-04;СтаврЭнСб;STSB;41;37382;0.309;0.292;0.31;0.299;0.299;0.3;125000;;0.277;0.299;0;500016;0;
TQBR;2018-10-05;СтаврЭнСб;STSB;27;16454;0.307;0.288;0.307;0.295;0.294;0.295;56000;;0.279;0.295;0;504385;0;
TQBR;2018-10-08;СтаврЭнСб;STSB;32;12748;0.301;0.284;0.301;0.289;0.29;0.29;44000;;0.28;0.289;0;504131;0;
TQBR;2018-10-09;СтаврЭнСб;STSB;41;53764;0.298;0.286;0.315;0.287;0.294;0.295;183000;;0.284;0.287;0;501290;0;
TQBR;2018-10-10;СтаврЭнСб;STSB;266;536383;0.287;0.241;0.29;0.261;0.255;0.261;2103000;0.255;0.255;0.261;536383;536383;536383;
TQBR;2018-10-11;СтаврЭнСб;STSB;47;50954;0.262;0.232;0.262;0.249;0.238;0.249;214000;;0.253;0.249;0;546582;0;
TQBR;2018-10-12;СтаврЭнСб;STSB;101;112353;0.254;0.244;0.261;0.251;0.251;0.256;447000;;0.253;0.251;0;501032;0;
TQBR;2018-10-15;СтаврЭнСб;STSB;158;297752;0.257;0.245;0.273;0.273;0.256;0.272;1163000;;0.253;0.273;0;503747;0;
TQBR;2018-10-16;СтаврЭнСб;STSB;231;217862;0.253;0.242;0.274;0.254;0.255;0.254;855000;;0.256;0.254;0;501713;0;
TQBR;2018-10-17;СтаврЭнСб;STSB;137;124512;0.261;0.257;0.275;0.258;0.263;0.265;473000;;0.259;0.258;0;507257;0;
TQBR;2018-10-18;СтаврЭнСб;STSB;10;3428;0.263;0.263;0.266;0.263;0.264;0.264;13000;;0.259;0.263;0;510685;0;
TQBR;2018-10-19;СтаврЭнСб;STSB;30;13549;0.264;0.257;0.264;0.258;0.261;0.258;52000;;0.259;0.258;0;500958;0;
TQBR;2018-10-22;СтаврЭнСб;STSB;30;7849;0.261;0.258;0.271;0.262;0.262;0.262;30000;;0.259;0.262;0;508807;0;
TQBR;2018-10-23;СтаврЭнСб;STSB;31;11615;0.265;0.257;0.265;0.259;0.258;0.257;45000;;0.259;0.259;0;507974;0;
TQBR;2018-10-24;СтаврЭнСб;STSB;14;4699;0.264;0.259;0.269;0.261;0.261;0.261;18000;;0.259;0.261;0;500429;0;
TQBR;2018-10-25;СтаврЭнСб;STSB;58;32298;0.268;0.25;0.27;0.258;0.258;0.263;125000;;0.259;0.258;0;516770;0;
TQBR;2018-10-26;СтаврЭнСб;STSB;65;60916;0.267;0.25;0.27;0.25;0.253;0.25;241000;;0.258;0.25;0;500473;0;
TQBR;2018-10-29;СтаврЭнСб;STSB;17;26119;0.257;0.251;0.264;0.258;0.259;0.259;101000;;0.257;0.258;0;500064;0;
TQBR;2018-10-30;СтаврЭнСб;STSB;4;1298;0.263;0.258;0.263;0.259;0.26;0.259;5000;;0.258;0.259;0;500097;0;
TQBR;2018-10-31;СтаврЭнСб;STSB;50;40823;0.263;0.25;0.263;0.257;0.255;0.257;160000;;0.257;0.257;0;500066;0;
TQBR;2018-11-01;СтаврЭнСб;STSB;57;185357;0.26;0.259;0.265;0.265;0.261;0.265;711000;;0.26;0.265;0;502840;0;
TQBR;2018-11-02;СтаврЭнСб;STSB;19;72413;0.261;0.26;0.265;0.264;0.26;0.265;278000;;0.259;0.264;0;508133;0;
TQBR;2018-11-06;СтаврЭнСб;STSB;21;108230;0.261;0.26;0.263;0.26;0.26;0.263;416000;;0.259;0.26;0;504973;0;
TQBR;2018-11-07;СтаврЭнСб;STSB;51;231673;0.267;0.258;0.267;0.263;0.26;0.263;892000;;0.26;0.263;0;500410;0;
TQBR;2018-11-08;СтаврЭнСб;STSB;19;21875;0.262;0.26;0.267;0.264;0.264;0.264;83000;;0.26;0.264;0;508498;0;
TQBR;2018-11-09;СтаврЭнСб;STSB;1;265;0.265;0.265;0.265;0.265;0.265;0.265;1000;;0.26;0.265;0;508763;0;
TQBR;2018-11-12;СтаврЭнСб;STSB;19;11040;0.263;0.26;0.264;0.263;0.263;0.264;42000;;0.26;0.263;0;509403;0;
TQBR;2018-11-13;СтаврЭнСб;STSB;20;30278;0.264;0.258;0.265;0.258;0.259;0.263;117000;;0.26;0.258;0;501479;0;
TQBR;2018-11-14;СтаврЭнСб;STSB;6;5229;0.263;0.259;0.263;0.261;0.261;0.262;20000;;0.26;0.261;0;506708;0;
TQBR;2018-11-15;СтаврЭнСб;STSB;41;75727;0.26;0.257;0.262;0.26;0.26;0.26;291000;;0.26;0.26;0;517187;0;
TQBR;2018-11-16;СтаврЭнСб;STSB;30;69060;0.262;0.257;0.262;0.259;0.259;0.26;267000;;0.26;0.259;0;500590;0;
TQBR;2018-11-19;СтаврЭнСб;STSB;7;9038;0.262;0.257;0.262;0.258;0.258;0.258;35000;;0.26;0.258;0;509628;0;
TQBR;2018-11-20;СтаврЭнСб;STSB;15;26410;0.263;0.258;0.265;0.259;0.261;0.259;101000;;0.26;0.259;0;506860;0;
TQBR;2018-11-21;СтаврЭнСб;STSB;38;91046;0.256;0.25;0.258;0.252;0.255;0.252;357000;;0.259;0.252;0;518398;0;
TQBR;2018-11-22;СтаврЭнСб;STSB;33;22289;0.255;0.248;0.255;0.25;0.25;0.25;89000;;0.258;0.25;0;503768;0;
TQBR;2018-11-23;СтаврЭнСб;STSB;75;269904;0.255;0.245;0.257;0.248;0.247;0.248;1093000;;0.251;0.248;0;504125;0;
TQBR;2018-11-26;СтаврЭнСб;STSB;27;101788;0.253;0.243;0.257;0.245;0.245;0.245;416000;;0.249;0.245;0;509063;0;
