history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOB;2018-10-01;ОФЗ 29012;SU29012RMFS0;31;24280132.92;100.35;100.486;100.38;100.382;27.46;100.398;7.68;100.486;24184;100.398;100.398;100.382;24280132.92;24280132.92;24280132.92;2022-11-16;1286;7.68;7.71;;7.65;38.15;;2018-10-01;1000;SUR;;;;;RUB
TQOB;2018-10-02;ОФЗ 29012;SU29012RMFS0;45;51510128.53;100.35;100.41;100.36;100.36;27.67;100.351;7.69;100.37;51330;100.351;100.351;100.36;51510128.53;51510128.53;51510128.53;2022-11-16;1285;7.69;7.71;;7.65;38.15;;2018-10-02;1000;SUR;;;;;RUB
TQOB;2018-10-03;ОФЗ 29012;SU29012RMFS0;57;150899220.37;100.315;100.449;100.449;100.441;27.88;100.404;7.66;100.42;150292;100.404;100.404;100.441;150899220.37;150899220.37;150899220.37;2022-11-16;1284;7.67;7.71;;7.65;38.15;;2018-10-03;1000;SUR;;;;;RUB
TQOB;2018-10-04;ОФЗ 29012;SU29012RMFS0;58;108688824.48;100.252;100.448;100.3;100.3;28.09;100.35;7.7;100.438;108310;100.35;100.35;100.3;108688824.48;108688824.48;108688824.48;2022-11-16;1283;7.69;7.70;;7.65;38.15;;2018-10-04;1000;SUR;;;;;RUB
TQOB;2018-10-05;ОФЗ 29012;SU29012RMFS0;33;85530147.97;100.236;100.485;100.301;100.302;28.3;100.449;7.7;100.236;85153;100.443;100.443;100.302;85530147.97;85530147.97;85530147.97;2022-11-16;1282;7.66;7.85;;7.65;38.15;;2018-10-05;1000;SUR;;;;;RUB
TQOB;2018-10-08;ОФЗ 29012;SU29012RMFS0;47;6041360.74;100.253;100.398;100.3;100.34;28.93;100.272;7.7;100.255;6025;100.272;100.272;100.34;6041360.74;6041360.74;6041360.74;2022-11-16;1279;7.71;7.85;;7.65;38.15;;2018-10-08;1000;SUR;;;;;RUB
TQOB;2018-10-09;ОФЗ 29012;SU29012RMFS0;38;74320852.22;100.25;100.404;100.251;100.251;29.14;100.255;7.72;100.403;74132;100.255;100.255;100.251;74320852.22;74320852.22;74320852.22;2022-11-16;1278;7.72;7.94;;7.65;38.15;;2018-10-09;1000;SUR;;;;;RUB
TQOB;2018-10-10;ОФЗ 29012;SU29012RMFS0;50;24420058.11;100.221;100.404;100.257;100.257;29.35;100.26;7.72;100.25;24357;100.259;100.259;100.257;24420058.11;24420058.11;24420058.11;2022-11-16;1277;7.72;7.96;;7.65;38.15;;2018-10-10;1000;SUR;;;;;RUB
TQOB;2018-10-11;ОФЗ 29012;SU29012RMFS0;96;3164135390.6;100.111;100.405;100.22;100.22;29.56;100.234;7.73;100.251;3156851;100.231;100.231;100.22;3164135390.6;3164135390.6;3164135390.6;2022-11-16;1276;7.72;7.91;;7.65;38.15;;2018-10-11;1000;SUR;;;;;RUB
TQOB;2018-10-12;ОФЗ 29012;SU29012RMFS0;58;545404237.35;100.2;100.389;100.289;100.289;29.77;100.221;7.71;100.389;544202;100.221;100.221;100.289;545404237.35;545404237.35;545404237.35;2022-11-16;1275;7.73;7.97;;7.65;38.15;;2018-10-12;1000;SUR;;;;;RUB
TQOB;2018-10-15;ОФЗ 29012;SU29012RMFS0;44;1704427.62;100.115;100.299;100.2;100.2;30.39;100.202;7.73;100.201;1701;100.202;100.202;100.2;1704427.62;1704427.62;1704427.62;2022-11-16;1272;7.73;7.92;;7.65;38.15;;2018-10-15;1000;SUR;;;;;RUB
TQOB;2018-10-16;ОФЗ 29012;SU29012RMFS0;75;21041800.01;100.15;100.298;100.17;100.17;30.6;100.202;7.74;100.294;20993;100.232;100.232;100.17;21041800.01;21041800.01;21041800.01;2022-11-16;1271;7.73;7.79;;7.65;38.15;;2018-10-16;1000;SUR;;;;;RUB
TQOB;2018-10-17;ОФЗ 29012;SU29012RMFS0;71;721349493.22;100.151;100.2;100.2;100.2;30.81;100.18;7.73;100.17;720052;100.18;100.18;100.2;721349493.22;721349493.22;721349493.22;2022-11-16;1270;7.74;7.81;;7.65;38.15;;2018-10-17;1000;SUR;;;;;RUB
TQOB;2018-10-18;ОФЗ 29012;SU29012RMFS0;50;3966155.4;100.114;100.249;100.2;100.2;31.02;100.181;7.73;100.153;3959;100.181;100.181;100.2;3966155.4;3966155.4;3966155.4;2022-11-16;1269;7.74;7.84;;7.65;38.15;;2018-10-18;1000;SUR;;;;;RUB
TQOB;2018-10-19;ОФЗ 29012;SU29012RMFS0;69;43976453.42;100.099;100.2;100.121;100.121;31.23;100.149;7.76;100.115;43926;100.115;100.115;100.121;43976453.42;43976453.42;43976453.42;2022-11-16;1268;7.75;7.81;;7.65;38.15;;2018-10-19;1000;SUR;;;;;RUB
TQOB;2018-10-22;ОФЗ 29012;SU29012RMFS0;69;1516856370.58;100.103;100.196;100.111;100.111;31.86;100.14;7.76;100.103;1514735;100.14;100.14;100.111;1516856370.58;1516856370.58;1516856370.58;2022-11-16;1265;7.75;7.82;;7.65;38.15;;2018-10-22;1000;SUR;;;;;RUB
TQOB;2018-10-23;ОФЗ 29012;SU29012RMFS0;80;25854561.4;100.011;100.149;100.015;100.02;32.07;100.07;7.79;100.112;25843;100.045;100.045;100.02;25854561.4;25854561.4;25854561.4;2022-11-16;1264;7.77;7.74;;7.65;38.15;;2018-10-23;1000;SUR;;;;;RUB
