history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Квадра-п;TGKDP;71;78978;0.00343;0.0034;0.00348;0.00344;0.00342;0.00344;23100000;;0.00345;0.00344;0;500423;0;
TQBR;2018-10-02;Квадра-п;TGKDP;16;14392;0.00343;0.00341;0.00346;0.00345;0.00343;0.00345;4200000;;0.00345;0.00345;0;505365;0;
TQBR;2018-10-03;Квадра-п;TGKDP;56;55360;0.00346;0.00346;0.0035;0.00348;0.00348;0.00348;15900000;;0.00345;0.00348;0;537973;0;
TQBR;2018-10-04;Квадра-п;TGKDP;16;410581;0.00348;0.00342;0.00348;0.00343;0.00345;0.00343;119100000;;0.00345;0.00343;0;500025;0;
TQBR;2018-10-05;Квадра-п;TGKDP;37;180619;0.00342;0.00339;0.00344;0.00343;0.00341;0.00344;52900000;;0.00344;0.00343;0;567436;0;
TQBR;2018-10-08;Квадра-п;TGKDP;6;8956;0.00344;0.00344;0.00346;0.00345;0.00344;0.00346;2600000;;0.00344;0.00345;0;576392;0;
TQBR;2018-10-09;Квадра-п;TGKDP;17;53414;0.00345;0.0034;0.00346;0.00341;0.00345;0.00342;15500000;;0.00344;0.00341;0;629806;0;
TQBR;2018-10-10;Квадра-п;TGKDP;18;12890;0.00339;0.00338;0.00341;0.00338;0.00339;0.00338;3800000;;0.00344;0.00338;0;642696;0;
TQBR;2018-10-11;Квадра-п;TGKDP;82;164809;0.00336;0.00315;0.00339;0.00334;0.00328;0.00334;50200000;;0.0034;0.00334;0;807505;0;
TQBR;2018-10-12;Квадра-п;TGKDP;20;12624;0.00328;0.00327;0.00339;0.00335;0.00332;0.00335;3800000;;0.0034;0.00335;0;820129;0;
TQBR;2018-10-15;Квадра-п;TGKDP;24;11441;0.00338;0.00334;0.00338;0.00338;0.00337;0.00337;3400000;;0.0034;0.00338;0;831570;0;
TQBR;2018-10-16;Квадра-п;TGKDP;28;17701;0.00337;0.00337;0.00343;0.00339;0.0034;0.00339;5200000;;0.0034;0.00339;0;849271;0;
