history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ТМК ао;TRMK;428;19364869.5;68.4;68;68.7;68.05;68.3;68.05;283570;68.3;68.3;68.05;19364869.5;19364869.5;19364869.5;
TQBR;2018-10-02;ТМК ао;TRMK;312;11523918.5;68.05;68;68.45;68;68.2;68;168960;68.2;68.2;68;11523918.5;11523918.5;11523918.5;
TQBR;2018-10-03;ТМК ао;TRMK;481;13452716;67.95;67.3;68.15;67.75;67.6;67.75;198960;67.6;67.6;67.75;13452716;13452716;13452716;
TQBR;2018-10-04;ТМК ао;TRMK;674;25928827;67.75;67.3;68.25;67.95;67.65;67.95;383380;67.65;67.65;67.95;25928827;25928827;25928827;
TQBR;2018-10-05;ТМК ао;TRMK;847;34706942;67.8;66.4;67.8;67;67.1;67;517260;67.1;67.1;67;34706942;34706942;34706942;
TQBR;2018-10-08;ТМК ао;TRMK;498;6135267.5;66.7;65.75;67;66.95;66.45;66.95;92350;66.45;66.45;66.95;6135267.5;6135267.5;6135267.5;
TQBR;2018-10-09;ТМК ао;TRMK;1498;24673497.5;66.6;66.6;68.2;67.1;67.25;67.1;367020;67.25;67.25;67.1;24673497.5;24673497.5;24673497.5;
TQBR;2018-10-10;ТМК ао;TRMK;248;4502344.5;67.75;66.5;67.75;66.8;66.85;66.8;67350;66.85;66.85;66.8;4502344.5;4502344.5;4502344.5;
TQBR;2018-10-11;ТМК ао;TRMK;1004;16020120;66;64.75;66.8;64.85;65.35;64.85;245060;65.35;65.35;64.85;16020120;16020120;16020120;
TQBR;2018-10-12;ТМК ао;TRMK;401;5446089;65.95;64.5;65.95;65.35;65;65.35;83760;65;65;65.35;5446089;5446089;5446089;
TQBR;2018-10-15;ТМК ао;TRMK;399;6659994.5;65.7;64.6;65.7;64.75;64.9;64.75;102650;64.9;64.9;64.75;6659994.5;6659994.5;6659994.5;
TQBR;2018-10-16;ТМК ао;TRMK;381;8175401;65.05;64.55;65.2;65.2;64.9;65.2;125930;64.9;64.9;65.2;8175401;8175401;8175401;
TQBR;2018-10-17;ТМК ао;TRMK;593;11656101;65.3;64.6;65.5;64.75;64.85;64.75;179770;64.85;64.85;64.75;11656101;11656101;11656101;
TQBR;2018-10-18;ТМК ао;TRMK;3417;33129822;64.85;62.4;65;62.8;63.45;62.8;522220;63.45;63.45;62.8;33129822;33129822;33129822;
TQBR;2018-10-19;ТМК ао;TRMK;1102;34299839;63.1;61.5;63.15;62;62.05;62;552840;62.05;62.05;62;34299839;34299839;34299839;
TQBR;2018-10-22;ТМК ао;TRMK;436;12389894;62.3;62.05;62.85;62.4;62.4;62.4;198510;62.4;62.4;62.4;12389894;12389894;12389894;
TQBR;2018-10-23;ТМК ао;TRMK;1848;80480906;62.9;59.9;62.9;62.4;61.55;62.4;1307990;61.55;61.55;62.4;80480906;80480906;80480906;
TQBR;2018-10-24;ТМК ао;TRMK;802;15986913;62.15;61.55;62.8;62.1;61.95;62.1;257990;61.95;61.95;62.1;15986913;15986913;15986913;
TQBR;2018-10-25;ТМК ао;TRMK;405;7645303.5;61.55;60.95;61.8;61.6;61.35;61.6;124580;61.35;61.35;61.6;7645303.5;7645303.5;7645303.5;
TQBR;2018-10-26;ТМК ао;TRMK;418;22849963;61.35;60.85;61.55;61.3;61.2;61.3;373370;61.2;61.2;61.3;22849963;22849963;22849963;
TQBR;2018-10-29;ТМК ао;TRMK;449;4830854.5;61.25;61.05;62.15;61.55;61.55;61.55;78510;61.55;61.55;61.55;4830854.5;4830854.5;4830854.5;
TQBR;2018-10-30;ТМК ао;TRMK;277;7752480.5;62;61.35;62.45;62.05;62.05;62.05;124950;62.05;62.05;62.05;7752480.5;7752480.5;7752480.5;
TQBR;2018-10-31;ТМК ао;TRMK;532;18775708.5;62.45;61.1;62.5;61.1;61.8;61.1;303920;61.8;61.8;61.1;18775708.5;18775708.5;18775708.5;
TQBR;2018-11-01;ТМК ао;TRMK;411;10468099.5;61.35;61.2;61.75;61.4;61.45;61.4;170400;61.45;61.45;61.4;10468099.5;10468099.5;10468099.5;
TQBR;2018-11-02;ТМК ао;TRMK;419;8927720;61.75;61.25;62.7;62.2;61.85;62.2;144150;61.95;61.95;62.2;8927720;8927720;8927720;
TQBR;2018-11-06;ТМК ао;TRMK;286;7832513;62.25;62.05;62.75;62.3;62.3;62.3;125710;62.3;62.3;62.3;7832513;7832513;7832513;
TQBR;2018-11-07;ТМК ао;TRMK;334;6178895;62.3;61.85;62.85;62.65;62.3;62.65;99070;62.35;62.35;62.65;6178895;6178895;6178895;
