history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Транснф ап;TRNFP;1222;313059950;165850;163200;167850;166600;165450;166600;1892;165450;165450;166600;313059950;313059950;313059950;
TQBR;2018-10-02;Транснф ап;TRNFP;652;141880650;166450;164400;166600;165500;165800;165500;856;165750;165750;165500;141880650;141880650;141880650;
TQBR;2018-10-03;Транснф ап;TRNFP;1261;336008250;165850;164550;168450;164800;166000;164800;2024;166000;166000;164800;336008250;336008250;336008250;
TQBR;2018-10-04;Транснф ап;TRNFP;812;214104100;165000;163350;165500;164500;164550;164500;1301;164550;164550;164500;214104100;214104100;214104100;
TQBR;2018-10-05;Транснф ап;TRNFP;1520;367799700;164050;161750;165950;165000;164400;165000;2238;164350;164350;165000;367799700;367799700;367799700;
TQBR;2018-10-08;Транснф ап;TRNFP;775;171967700;164950;164250;165900;165500;165200;165500;1041;165200;165200;165500;171967700;171967700;171967700;
TQBR;2018-10-09;Транснф ап;TRNFP;2136;617940650;165500;164300;169100;169100;166800;169100;3707;166700;166700;169100;617940650;617940650;617940650;
TQBR;2018-10-10;Транснф ап;TRNFP;3421;1432545600;169900;169800;176100;171500;172050;171500;8327;172050;172050;171500;1432545600;1432545600;1432545600;
TQBR;2018-10-11;Транснф ап;TRNFP;1120;295964100;169500;169200;172000;171200;170700;171200;1734;170700;170700;171200;295964100;295964100;295964100;
TQBR;2018-10-12;Транснф ап;TRNFP;337;85686550;171800;170850;172900;170900;171350;170900;500;171350;171350;170900;85686550;85686550;85686550;
TQBR;2018-10-15;Транснф ап;TRNFP;398;98697750;171200;169650;171450;170800;170450;170800;579;170450;170450;170800;98697750;98697750;98697750;
TQBR;2018-10-16;Транснф ап;TRNFP;556;160392450;170900;170100;171450;170800;170800;170800;939;170800;170800;170800;160392450;160392450;160392450;
TQBR;2018-10-17;Транснф ап;TRNFP;673;176176700;170350;169600;171200;170900;170550;170900;1033;170550;170550;170900;176176700;176176700;176176700;
TQBR;2018-10-18;Транснф ап;TRNFP;357;108045500;170200;170150;171400;171400;170950;171400;632;170950;170950;171400;108045500;108045500;108045500;
TQBR;2018-10-19;Транснф ап;TRNFP;794;230854400;171500;170250;172150;171000;171150;171000;1349;171150;171150;171000;230854400;230854400;230854400;
TQBR;2018-10-22;Транснф ап;TRNFP;579;255352400;170300;170300;172350;171000;171600;171000;1488;171600;171600;171000;255352400;255352400;255352400;
TQBR;2018-10-23;Транснф ап;TRNFP;696;201780350;170350;168850;171300;170700;170400;170700;1184;170400;170400;170700;201780350;201780350;201780350;
TQBR;2018-10-24;Транснф ап;TRNFP;775;242143500;171100;169800;171100;170900;170300;170900;1422;170300;170300;170900;242143500;242143500;242143500;
TQBR;2018-10-25;Транснф ап;TRNFP;579;163433400;170750;169700;170850;170500;170300;170500;960;170250;170250;170500;163433400;163433400;163433400;
TQBR;2018-10-26;Транснф ап;TRNFP;577;124252550;170300;169500;171850;171850;170450;171850;729;170450;170450;171850;124252550;124252550;124252550;
TQBR;2018-10-29;Транснф ап;TRNFP;181;39463550;171450;170400;171550;171000;170850;171000;231;170850;170850;171000;39463550;39463550;39463550;
TQBR;2018-10-30;Транснф ап;TRNFP;465;124540200;170400;170000;171000;170900;170350;170900;731;170350;170350;170900;124540200;124540200;124540200;
TQBR;2018-10-31;Транснф ап;TRNFP;360;108906550;170950;170350;172000;170900;170950;170900;637;170950;170950;170900;108906550;108906550;108906550;
TQBR;2018-11-01;Транснф ап;TRNFP;568;132690900;170500;169950;171900;171900;171000;171900;776;171000;171000;171900;132690900;132690900;132690900;
TQBR;2018-11-02;Транснф ап;TRNFP;325;92532150;172650;170900;172700;172000;171600;172000;539;171650;171650;172000;92532150;92532150;92532150;
TQBR;2018-11-06;Транснф ап;TRNFP;832;260225850;172350;171200;175250;175250;173700;175250;1498;173700;173700;175250;260225850;260225850;260225850;
TQBR;2018-11-07;Транснф ап;TRNFP;981;282932200;175250;173200;175900;175600;175200;175600;1615;175200;175200;175600;282932200;282932200;282932200;
TQBR;2018-11-08;Транснф ап;TRNFP;426;110492350;175150;173750;175450;173750;174550;173750;633;174550;174550;173750;110492350;110492350;110492350;
TQBR;2018-11-09;Транснф ап;TRNFP;1226;303954200;173450;166650;173700;170550;170050;170550;1788;170000;170000;170550;303954200;303954200;303954200;
TQBR;2018-11-12;Транснф ап;TRNFP;386;106756650;170700;168650;171500;169500;170000;169500;628;170000;170000;169500;106756650;106756650;106756650;
TQBR;2018-11-13;Транснф ап;TRNFP;270;62524100;169450;168600;170700;169700;169900;169700;368;169900;169900;169700;62524100;62524100;62524100;
TQBR;2018-11-14;Транснф ап;TRNFP;296;98697450;170250;169500;170950;170950;170450;170950;579;170450;170450;170950;98697450;98697450;98697450;
TQBR;2018-11-15;Транснф ап;TRNFP;335;86092100;170600;169400;170750;170750;170150;170750;506;170150;170150;170750;86092100;86092100;86092100;
TQBR;2018-11-16;Транснф ап;TRNFP;618;168282300;170800;168750;170850;170500;169800;170500;991;169800;169800;170500;168282300;168282300;168282300;
TQBR;2018-11-19;Транснф ап;TRNFP;403;96131300;169400;169050;171900;170150;170150;170150;565;170150;170150;170150;96131300;96131300;96131300;
TQBR;2018-11-20;Транснф ап;TRNFP;469;113437800;169200;168000;169900;169000;168650;169000;673;168550;168550;169000;113437800;113437800;113437800;
TQBR;2018-11-21;Транснф ап;TRNFP;709;219740500;169000;168150;170150;169500;169150;169500;1299;169150;169150;169500;219740500;219740500;219740500;
TQBR;2018-11-22;Транснф ап;TRNFP;419;146771850;169100;168350;169850;169550;169050;169550;868;169100;169100;169550;146771850;146771850;146771850;
TQBR;2018-11-23;Транснф ап;TRNFP;603;139949750;168500;168000;169500;168500;168600;168500;830;168600;168600;168500;139949750;139949750;139949750;
TQBR;2018-11-26;Транснф ап;TRNFP;1231;290530200;168550;163200;168550;167000;166350;167000;1747;166300;166300;167000;290530200;290530200;290530200;
TQBR;2018-11-27;Транснф ап;TRNFP;717;229484000;168350;166500;169400;168000;168000;168000;1366;168000;168000;168000;229484000;229484000;229484000;
TQBR;2018-11-28;Транснф ап;TRNFP;384;113387550;168600;167450;170700;170000;169750;170000;668;169750;169750;170000;113387550;113387550;113387550;
TQBR;2018-11-29;Транснф ап;TRNFP;889;234710800;169850;169350;171700;171350;170700;171350;1375;170700;170700;171350;234710800;234710800;234710800;
TQBR;2018-11-30;Транснф ап;TRNFP;1636;576929000;173450;171300;177100;175400;174950;175400;3298;174950;174950;175400;576929000;576929000;576929000;
TQBR;2018-12-03;Транснф ап;TRNFP;815;181592300;175500;171850;178000;172100;175100;172100;1037;175100;175100;172100;181592300;181592300;181592300;
TQBR;2018-12-04;Транснф ап;TRNFP;350;91013650;172000;169300;172000;170950;170800;170950;533;170750;170750;170950;91013650;91013650;91013650;
TQBR;2018-12-05;Транснф ап;TRNFP;431;108486600;170200;168900;172100;172100;171100;172100;634;171100;171100;172100;108486600;108486600;108486600;
