history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Таттел. ао;TTLK;45;116745;0.166;0.166;0.1755;0.1685;0.169;0.1695;690000;;0.1685;0.1685;0;501465;0;
TQBR;2018-10-02;Таттел. ао;TTLK;38;174000;0.1715;0.1675;0.172;0.172;0.1705;0.172;1020000;;0.1695;0.172;0;500355;0;
TQBR;2018-10-03;Таттел. ао;TTLK;39;268640;0.173;0.1695;0.175;0.173;0.172;0.1735;1560000;;0.171;0.173;0;501375;0;
TQBR;2018-10-04;Таттел. ао;TTLK;11;83095;0.17;0.1685;0.172;0.1685;0.1695;0.1685;490000;;0.1715;0.1685;0;501970;0;
TQBR;2018-10-05;Таттел. ао;TTLK;10;38590;0.167;0.167;0.17;0.168;0.168;0.168;230000;;0.171;0.168;0;500035;0;
TQBR;2018-10-08;Таттел. ао;TTLK;20;58370;0.168;0.164;0.168;0.168;0.167;0.168;350000;;0.1705;0.168;0;500215;0;
TQBR;2018-10-09;Таттел. ао;TTLK;602;4905335;0.1685;0.1685;0.1995;0.1795;0.184;0.1795;26660000;0.184;0.184;0.1795;4905335;4905335;4905335;
TQBR;2018-10-10;Таттел. ао;TTLK;146;1464725;0.18;0.173;0.185;0.1785;0.1785;0.1785;8200000;0.1785;0.1785;0.1785;1464725;1464725;1464725;
TQBR;2018-10-11;Таттел. ао;TTLK;113;887850;0.178;0.169;0.178;0.1745;0.1725;0.1745;5150000;0.1725;0.1725;0.1745;887850;887850;887850;
TQBR;2018-10-12;Таттел. ао;TTLK;58;373545;0.1745;0.171;0.178;0.1745;0.1745;0.1745;2140000;;0.1745;0.1745;0;503980;0;
TQBR;2018-10-15;Таттел. ао;TTLK;143;791425;0.1745;0.1715;0.191;0.174;0.1765;0.174;4480000;0.1765;0.1765;0.174;791425;791425;791425;
TQBR;2018-10-16;Таттел. ао;TTLK;167;1271100;0.174;0.17;0.188;0.1775;0.1795;0.177;7090000;0.1795;0.1795;0.1775;1271100;1271100;1271100;
TQBR;2018-10-17;Таттел. ао;TTLK;20;167255;0.176;0.1755;0.1795;0.179;0.178;0.179;940000;;0.1785;0.179;0;539330;0;
TQBR;2018-10-18;Таттел. ао;TTLK;29;135820;0.1765;0.175;0.1805;0.1785;0.1765;0.1785;770000;;0.1775;0.1785;0;509380;0;
TQBR;2018-10-19;Таттел. ао;TTLK;30;356315;0.1785;0.175;0.1785;0.175;0.1765;0.175;2020000;;0.1765;0.175;0;510035;0;
TQBR;2018-10-22;Таттел. ао;TTLK;30;170040;0.175;0.172;0.178;0.1765;0.1735;0.1765;980000;;0.1755;0.1765;0;501600;0;
TQBR;2018-10-23;Таттел. ао;TTLK;88;559475;0.173;0.167;0.178;0.1745;0.173;0.1745;3230000;0.173;0.173;0.1745;559475;559475;559475;
TQBR;2018-10-24;Таттел. ао;TTLK;23;93780;0.1745;0.172;0.175;0.174;0.1735;0.174;540000;;0.1735;0.174;0;516550;0;
TQBR;2018-10-25;Таттел. ао;TTLK;46;247990;0.173;0.171;0.1755;0.175;0.173;0.1755;1430000;;0.174;0.175;0;505050;0;
TQBR;2018-10-26;Таттел. ао;TTLK;32;251815;0.1735;0.1705;0.178;0.1775;0.175;0.1775;1440000;;0.174;0.1775;0;503285;0;
