,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ЮжКузб. ао,UKUZ,2,1250,615.0,615.0,635.0,635,625.0,635.0,2,,660,635,0,507820,0,
1,TQBR,2018-10-02,ЮжКузб. ао,UKUZ,2,1250,615.0,615.0,635.0,635,625.0,635.0,2,,660,635,0,509070,0,
2,TQBR,2018-10-03,ЮжКузб. ао,UKUZ,14,25260,635.0,595.0,635.0,600,600.0,620.0,42,,655,600,0,534330,0,
3,TQBR,2018-10-04,ЮжКузб. ао,UKUZ,26,130610,605.0,590.0,625.0,625,610.0,625.0,214,,650,625,0,502370,0,
4,TQBR,2018-10-05,ЮжКузб. ао,UKUZ,4,7215,605.0,595.0,620.0,620,600.0,620.0,12,,650,620,0,505430,0,
5,TQBR,2018-10-08,ЮжКузб. ао,UKUZ,2,15600,600.0,600.0,600.0,600,600.0,600.0,26,,645,600,0,501060,0,
6,TQBR,2018-10-09,ЮжКузб. ао,UKUZ,13,22840,590.0,580.0,600.0,600,585.0,600.0,39,,640,600,0,502490,0,
7,TQBR,2018-10-10,ЮжКузб. ао,UKUZ,2,1775,595.0,585.0,595.0,585,590.0,585.0,3,,640,585,0,504265,0,
8,TQBR,2018-10-11,ЮжКузб. ао,UKUZ,14,31015,585.0,570.0,585.0,575,575.0,575.0,54,,635,575,0,528330,0,
9,TQBR,2018-10-12,ЮжКузб. ао,UKUZ,0,0,,,,575,,,0,,635,575,0,528330,0,
10,TQBR,2018-10-15,ЮжКузб. ао,UKUZ,0,0,,,,575,,,0,,635,575,0,528330,0,
11,TQBR,2018-10-16,ЮжКузб. ао,UKUZ,17,29225,575.0,575.0,620.0,620,585.0,620.0,50,,635,620,0,557555,0,
12,TQBR,2018-10-17,ЮжКузб. ао,UKUZ,11,12685,620.0,580.0,620.0,610,605.0,610.0,21,,625,610,0,500740,0,
13,TQBR,2018-10-18,ЮжКузб. ао,UKUZ,0,0,,,,610,,,0,,625,610,0,500740,0,
14,TQBR,2018-10-19,ЮжКузб. ао,UKUZ,13,65815,580.0,570.0,590.0,580,575.0,580.0,114,,610,580,0,506435,0,
