,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Юнипро ао,UPRO,1066,33132008,2.6889999999999996,2.674,2.737,2.702,2.714,2.702,12206000,2.714,2.714,2.702,33132008,33132008,33132008,
1,TQBR,2018-10-02,Юнипро ао,UPRO,984,27961916,2.7239999999999998,2.7030000000000003,2.742,2.728,2.722,2.728,10274000,2.722,2.722,2.728,27961916,27961916,27961916,
2,TQBR,2018-10-03,Юнипро ао,UPRO,2345,61067343,2.739,2.7119999999999997,2.826,2.8169999999999997,2.76,2.8169999999999997,22103000,2.763,2.763,2.8169999999999997,61067343,61067343,61067343,
3,TQBR,2018-10-04,Юнипро ао,UPRO,1867,47121419,2.8169999999999997,2.7569999999999997,2.8369999999999997,2.835,2.782,2.835,16899000,2.7880000000000003,2.7880000000000003,2.835,47121419,47121419,47121419,
4,TQBR,2018-10-05,Юнипро ао,UPRO,1468,61854055,2.8,2.763,2.833,2.764,2.781,2.764,22221000,2.784,2.784,2.764,61854055,61854055,61854055,
5,TQBR,2018-10-08,Юнипро ао,UPRO,905,25180916,2.786,2.764,2.815,2.7769999999999997,2.775,2.7769999999999997,9051000,2.782,2.782,2.7769999999999997,25180916,25180916,25180916,
6,TQBR,2018-10-09,Юнипро ао,UPRO,762,29534159,2.802,2.7769999999999997,2.812,2.806,2.7960000000000003,2.806,10564000,2.7960000000000003,2.7960000000000003,2.806,29534159,29534159,29534159,
7,TQBR,2018-10-10,Юнипро ао,UPRO,1047,27635763,2.824,2.7769999999999997,2.83,2.7969999999999997,2.798,2.7969999999999997,9875000,2.799,2.799,2.7969999999999997,27635763,27635763,27635763,
8,TQBR,2018-10-11,Юнипро ао,UPRO,3003,90389126,2.79,2.74,2.8,2.782,2.7769999999999997,2.782,32566000,2.7760000000000002,2.7760000000000002,2.782,90389126,90389126,90389126,
9,TQBR,2018-10-12,Юнипро ао,UPRO,705,19335280,2.761,2.761,2.8089999999999997,2.8089999999999997,2.795,2.8089999999999997,6918000,2.795,2.795,2.8089999999999997,19335280,19335280,19335280,
10,TQBR,2018-10-15,Юнипро ао,UPRO,479,12224714,2.825,2.76,2.8280000000000003,2.76,2.7689999999999997,2.76,4415000,2.7689999999999997,2.7689999999999997,2.76,12224714,12224714,12224714,
11,TQBR,2018-10-16,Юнипро ао,UPRO,1690,48261793,2.761,2.761,2.8,2.7689999999999997,2.7910000000000004,2.7689999999999997,17290000,2.7910000000000004,2.7910000000000004,2.7689999999999997,48261793,48261793,48261793,
12,TQBR,2018-10-17,Юнипро ао,UPRO,1256,52710698,2.775,2.7689999999999997,2.8,2.8,2.795,2.8,18857000,2.795,2.795,2.8,52710698,52710698,52710698,
13,TQBR,2018-10-18,Юнипро ао,UPRO,1186,27157088,2.8089999999999997,2.781,2.8089999999999997,2.795,2.7880000000000003,2.795,9741000,2.7880000000000003,2.7880000000000003,2.795,27157088,27157088,27157088,
14,TQBR,2018-10-19,Юнипро ао,UPRO,960,17747428,2.775,2.7739999999999996,2.81,2.78,2.7880000000000003,2.78,6366000,2.7880000000000003,2.7880000000000003,2.78,17747428,17747428,17747428,
15,TQBR,2018-10-22,Юнипро ао,UPRO,2378,82847035,2.7769999999999997,2.73,2.7889999999999997,2.7460000000000004,2.7539999999999996,2.7460000000000004,30090000,2.753,2.753,2.7460000000000004,82847035,82847035,82847035,
16,TQBR,2018-10-23,Юнипро ао,UPRO,4393,99019955,2.7260000000000004,2.665,2.733,2.7060000000000004,2.698,2.7060000000000004,36706000,2.698,2.698,2.7060000000000004,99019955,99019955,99019955,
