,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQDE,2018-10-01,ЕТС ао,UTSY,0,0,,,,0.077,,,0,0.09300000000000001,0.071,0.077,12077561,503561,12077561,
1,TQDE,2018-10-02,ЕТС ао,UTSY,0,0,,,,0.077,,,0,0.09,0.071,0.077,9285616,503561,9285616,
2,TQDE,2018-10-03,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
3,TQDE,2018-10-04,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
4,TQDE,2018-10-05,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
5,TQDE,2018-10-08,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
6,TQDE,2018-10-09,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
7,TQDE,2018-10-10,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
8,TQDE,2018-10-11,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
9,TQDE,2018-10-12,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
10,TQDE,2018-10-15,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
11,TQDE,2018-10-16,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
12,TQDE,2018-10-17,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
13,TQDE,2018-10-18,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
14,TQDE,2018-10-19,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
15,TQDE,2018-10-22,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
16,TQDE,2018-10-23,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
17,TQDE,2018-10-24,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
18,TQDE,2018-10-25,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
19,TQDE,2018-10-26,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
20,TQDE,2018-10-29,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
21,TQDE,2018-10-30,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
22,TQDE,2018-10-31,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
23,TQDE,2018-11-01,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
24,TQDE,2018-11-02,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
25,TQDE,2018-11-06,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
26,TQDE,2018-11-07,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
27,TQDE,2018-11-08,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
28,TQDE,2018-11-09,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
29,TQDE,2018-11-12,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
30,TQDE,2018-11-13,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
31,TQDE,2018-11-14,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
32,TQDE,2018-11-15,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
33,TQDE,2018-11-16,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
34,TQDE,2018-11-19,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
35,TQDE,2018-11-20,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
36,TQDE,2018-11-21,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
37,TQDE,2018-11-22,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
38,TQDE,2018-11-23,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
39,TQDE,2018-11-26,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
40,TQDE,2018-11-27,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
41,TQDE,2018-11-28,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
42,TQDE,2018-11-29,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
43,TQDE,2018-11-30,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
44,TQDE,2018-12-03,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
45,TQDE,2018-12-04,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
46,TQDE,2018-12-05,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
47,TQDE,2018-12-06,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
48,TQDE,2018-12-07,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
49,TQDE,2018-12-10,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
50,TQDE,2018-12-11,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
51,TQDE,2018-12-12,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
52,TQDE,2018-12-13,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
53,TQDE,2018-12-14,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
54,TQDE,2018-12-17,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
55,TQDE,2018-12-18,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
56,TQDE,2018-12-19,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
57,TQDE,2018-12-20,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
58,TQDE,2018-12-21,ЕТС ао,UTSY,0,0,,,,0.077,,,0,,0.071,0.077,0,503561,0,
