,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ВТБ ао,VTBR,14761,532285457.0,0.04092,0.040139999999999995,0.041010000000000005,0.040310000000000006,0.04059,0.040310000000000006,13112240000,0.04059,0.04059,0.040310000000000006,532285457.0,532285457.0,532285457.0,
1,TQBR,2018-10-02,ВТБ ао,VTBR,12264,399078644.5,0.0406,0.040119999999999996,0.04067,0.040369999999999996,0.04033,0.040369999999999996,9894130000,0.04033,0.04033,0.040369999999999996,399078644.5,399078644.5,399078644.5,
2,TQBR,2018-10-03,ВТБ ао,VTBR,17844,674120911.2,0.040369999999999996,0.04018,0.04095,0.04071,0.04058,0.04071,16612190000,0.04058,0.04058,0.04071,674120911.2,674120911.2,674120911.2,
3,TQBR,2018-10-04,ВТБ ао,VTBR,22493,863964994.0,0.04069,0.03963,0.04099,0.0399,0.04032,0.0399,21445400000,0.04029,0.04029,0.0399,863964994.0,863964994.0,863964994.0,
4,TQBR,2018-10-05,ВТБ ао,VTBR,18975,546832812.3,0.03988,0.03934,0.04,0.039580000000000004,0.039689999999999996,0.039580000000000004,13777860000,0.039689999999999996,0.039689999999999996,0.039580000000000004,546832812.3,546832812.3,546832812.3,
5,TQBR,2018-10-08,ВТБ ао,VTBR,22772,590820465.2,0.03961,0.03882,0.0398,0.03921,0.03924,0.03921,15056980000,0.03924,0.03924,0.03921,590820465.2,590820465.2,590820465.2,
6,TQBR,2018-10-09,ВТБ ао,VTBR,24890,868415068.6,0.0393,0.0384,0.03966,0.0384,0.03888,0.0384,22337310000,0.03888,0.03888,0.0384,868415068.6,868415068.6,868415068.6,
7,TQBR,2018-10-10,ВТБ ао,VTBR,22140,784877514.5,0.03855,0.03776,0.03866,0.038130000000000004,0.038130000000000004,0.038130000000000004,20581840000,0.038130000000000004,0.038130000000000004,0.038130000000000004,784877514.5,784877514.5,784877514.5,
8,TQBR,2018-10-11,ВТБ ао,VTBR,39724,1682064260.3,0.03739,0.03658,0.037860000000000005,0.0377,0.037239999999999995,0.0377,45174210000,0.037239999999999995,0.037239999999999995,0.0377,1682064260.3,1682064260.3,1682064260.3,
9,TQBR,2018-10-12,ВТБ ао,VTBR,22891,799773248.8,0.038,0.03737,0.0384,0.03795,0.03793,0.03795,21086340000,0.03793,0.03793,0.03795,799773248.8,799773248.8,799773248.8,
10,TQBR,2018-10-15,ВТБ ао,VTBR,19394,617352625.3,0.038169999999999996,0.0379,0.0388,0.038489999999999996,0.038310000000000004,0.038489999999999996,16113400000,0.038310000000000004,0.038310000000000004,0.038489999999999996,617352625.3,617352625.3,617352625.3,
11,TQBR,2018-10-16,ВТБ ао,VTBR,29056,993314298.2,0.03846,0.037610000000000005,0.03895,0.0384,0.03829,0.0384,25940890000,0.03829,0.03829,0.0384,993314298.2,993314298.2,993314298.2,
12,TQBR,2018-10-17,ВТБ ао,VTBR,19676,756451042.4,0.038669999999999996,0.03801,0.03887,0.03846,0.03839,0.03846,19703850000,0.03839,0.03839,0.03846,756451042.4,756451042.4,756451042.4,
13,TQBR,2018-10-18,ВТБ ао,VTBR,15805,450109601.2,0.038380000000000004,0.037739999999999996,0.0385,0.03793,0.03807,0.03793,11823560000,0.03807,0.03807,0.03793,450109601.2,450109601.2,450109601.2,
14,TQBR,2018-10-19,ВТБ ао,VTBR,26390,735865102.9,0.03798,0.03685,0.03798,0.03689,0.03737,0.03689,19689400000,0.03737,0.03737,0.03689,735865102.9,735865102.9,735865102.9,
15,TQBR,2018-10-22,ВТБ ао,VTBR,30071,982704907.2,0.03689,0.03586,0.03703,0.03614,0.03645,0.03614,26963850000,0.03645,0.03645,0.03614,982704907.2,982704907.2,982704907.2,
16,TQBR,2018-10-23,ВТБ ао,VTBR,26121,887692909.7,0.03594,0.0352,0.03638,0.0362,0.03567,0.0362,24884710000,0.03567,0.03567,0.0362,887692909.7,887692909.7,887692909.7,
17,TQBR,2018-10-24,ВТБ ао,VTBR,25587,1051173640.5,0.0363,0.03585,0.03714,0.03685,0.03652,0.03685,28780230000,0.03652,0.03652,0.03685,1051173640.5,1051173640.5,1051173640.5,
18,TQBR,2018-10-25,ВТБ ао,VTBR,13977,406171108.6,0.03628,0.03603,0.03652,0.03635,0.03628,0.03635,11194100000,0.03628,0.03628,0.03635,406171108.6,406171108.6,406171108.6,
19,TQBR,2018-10-26,ВТБ ао,VTBR,17095,518120329.8,0.03611,0.03562,0.03622,0.03574,0.03584,0.03574,14458280000,0.03584,0.03584,0.03574,518120329.8,518120329.8,518120329.8,
20,TQBR,2018-10-29,ВТБ ао,VTBR,18203,464270031.2,0.03563,0.03563,0.0367,0.0364,0.03625,0.0364,12806770000,0.03625,0.03625,0.0364,464270031.2,464270031.2,464270031.2,
21,TQBR,2018-10-30,ВТБ ао,VTBR,16758,426152220.5,0.036289999999999996,0.03601,0.03667,0.0366,0.03637,0.0366,11716220000,0.03637,0.03637,0.0366,426152220.5,426152220.5,426152220.5,
22,TQBR,2018-10-31,ВТБ ао,VTBR,17565,526226195.1,0.03676,0.03658,0.03705,0.03658,0.03677,0.03658,14311030000,0.03677,0.03677,0.03658,526226195.1,526226195.1,526226195.1,
23,TQBR,2018-11-01,ВТБ ао,VTBR,28436,650891671.2,0.03669,0.03585,0.03669,0.0362,0.036180000000000004,0.0362,17990650000,0.036180000000000004,0.036180000000000004,0.0362,650891671.2,650891671.2,650891671.2,
24,TQBR,2018-11-02,ВТБ ао,VTBR,17432,414805762.3,0.036225,0.036039999999999996,0.03635,0.03613,0.03619,0.03613,11459220000,0.0362,0.0362,0.03613,414805762.3,414805762.3,414805762.3,
25,TQBR,2018-11-06,ВТБ ао,VTBR,18559,578134917.1,0.0362,0.03614,0.03662,0.03615,0.03634,0.03615,15910200000,0.036335,0.036335,0.03615,578134917.1,578134917.1,578134917.1,
26,TQBR,2018-11-07,ВТБ ао,VTBR,63372,2168299055.45,0.036000000000000004,0.03573,0.038189999999999995,0.038189999999999995,0.037275,0.038189999999999995,58167200000,0.037275,0.037275,0.038189999999999995,2168299055.45,2168299055.45,2168299055.45,
27,TQBR,2018-11-08,ВТБ ао,VTBR,48756,1381254230.1,0.0383,0.037795,0.03874,0.03803,0.03833,0.03803,36034700000,0.03833,0.03833,0.03803,1381254230.1,1381254230.1,1381254230.1,
28,TQBR,2018-11-09,ВТБ ао,VTBR,36200,786522306.55,0.037875,0.0371,0.03808,0.03757,0.037635,0.03757,20899340000,0.037635,0.037635,0.03757,786522306.55,786522306.55,786522306.55,
29,TQBR,2018-11-12,ВТБ ао,VTBR,26277,752117435.35,0.0377,0.0377,0.0385,0.03818,0.038060000000000004,0.03818,19761240000,0.038060000000000004,0.038060000000000004,0.03818,752117435.35,752117435.35,752117435.35,
30,TQBR,2018-11-13,ВТБ ао,VTBR,43923,1253798469.35,0.038005000000000004,0.037735000000000005,0.03915,0.038439999999999995,0.038669999999999996,0.038439999999999995,32421450000,0.038669999999999996,0.038669999999999996,0.038439999999999995,1253798469.35,1253798469.35,1253798469.35,
31,TQBR,2018-11-14,ВТБ ао,VTBR,33464,672116470.65,0.0383,0.0378,0.03857,0.03815,0.038205,0.03815,17596900000,0.038195,0.038195,0.03815,672116470.65,672116470.65,672116470.65,
32,TQBR,2018-11-15,ВТБ ао,VTBR,45902,1281638847.45,0.038385,0.038165,0.0394,0.03928,0.03899,0.03928,32876180000,0.038985,0.038985,0.03928,1281638847.45,1281638847.45,1281638847.45,
33,TQBR,2018-11-16,ВТБ ао,VTBR,28051,773192751.7,0.03952,0.038875,0.039560000000000005,0.03916,0.039175,0.03916,19737790000,0.039175,0.039175,0.03916,773192751.7,773192751.7,773192751.7,
34,TQBR,2018-11-19,ВТБ ао,VTBR,19936,492640504.15,0.03916,0.0385,0.0395,0.0388,0.03902,0.0388,12625230000,0.03902,0.03902,0.0388,492640504.15,492640504.15,492640504.15,
35,TQBR,2018-11-20,ВТБ ао,VTBR,26274,776279761.55,0.03872,0.037344999999999996,0.03872,0.03743,0.037855,0.03743,20507410000,0.037855,0.037855,0.03743,776279761.55,776279761.55,776279761.55,
36,TQBR,2018-11-21,ВТБ ао,VTBR,26421,870897748.5,0.037215,0.036864999999999995,0.03768,0.037219999999999996,0.0373,0.037219999999999996,23348180000,0.0373,0.0373,0.037219999999999996,870897748.5,870897748.5,870897748.5,
37,TQBR,2018-11-22,ВТБ ао,VTBR,16335,517419236.3,0.03742,0.03721,0.03777,0.0373,0.03746,0.0373,13814970000,0.037455,0.037455,0.0373,517419236.3,517419236.3,517419236.3,
38,TQBR,2018-11-23,ВТБ ао,VTBR,17271,457511921.2,0.03721,0.036715,0.03737,0.03706,0.03703,0.03706,12355030000,0.03703,0.03703,0.03706,457511921.2,457511921.2,457511921.2,
39,TQBR,2018-11-26,ВТБ ао,VTBR,34615,1128055098.75,0.03702,0.03555,0.037165,0.036695,0.036325,0.036695,31053560000,0.036325,0.036325,0.036695,1128055098.75,1128055098.75,1128055098.75,
40,TQBR,2018-11-27,ВТБ ао,VTBR,18216,454449615.3,0.0367,0.036505,0.0372,0.03683,0.03689,0.03683,12318760000,0.03689,0.03689,0.03683,454449615.3,454449615.3,454449615.3,
41,TQBR,2018-11-28,ВТБ ао,VTBR,17651,592234748.8,0.03696,0.036815,0.037685,0.03758,0.037265,0.03758,15893200000,0.037265,0.037265,0.03758,592234748.8,592234748.8,592234748.8,
42,TQBR,2018-11-29,ВТБ ао,VTBR,27990,830639200.2,0.0376,0.0375,0.038335,0.03803,0.03798,0.03803,21870920000,0.03798,0.03798,0.03803,830639200.2,830639200.2,830639200.2,
43,TQBR,2018-11-30,ВТБ ао,VTBR,17587,462521023.85,0.03776,0.037105,0.037845,0.0373,0.037395,0.0373,12367990000,0.037395,0.037395,0.0373,462521023.85,462521023.85,462521023.85,
44,TQBR,2018-12-03,ВТБ ао,VTBR,16369,505436614.8,0.037505000000000004,0.0375,0.038169999999999996,0.0376,0.037875,0.0376,13345570000,0.037875,0.037875,0.0376,505436614.8,505436614.8,505436614.8,
45,TQBR,2018-12-04,ВТБ ао,VTBR,24808,697492809.7,0.03758,0.036955,0.03779,0.036989999999999995,0.03723,0.036989999999999995,18734290000,0.03723,0.03723,0.036989999999999995,697492809.7,697492809.7,697492809.7,
46,TQBR,2018-12-05,ВТБ ао,VTBR,30175,621984824.4,0.036755,0.03652,0.03706,0.036995,0.036844999999999996,0.036995,16880750000,0.036844999999999996,0.036844999999999996,0.036995,621984824.4,621984824.4,621984824.4,
47,TQBR,2018-12-06,ВТБ ао,VTBR,16557,460315206.85,0.036725,0.03625,0.03684,0.03671,0.036605,0.03671,12575580000,0.036605,0.036605,0.03671,460315206.85,460315206.85,460315206.85,
48,TQBR,2018-12-07,ВТБ ао,VTBR,30624,625306908.1,0.036785000000000005,0.036475,0.03704,0.036555000000000004,0.0367,0.036555000000000004,17037480000,0.0367,0.0367,0.036555000000000004,625306908.1,625306908.1,625306908.1,
49,TQBR,2018-12-10,ВТБ ао,VTBR,12830,410783631.25,0.03639,0.0361,0.03669,0.0361,0.03634,0.0361,11303680000,0.03634,0.03634,0.0361,410783631.25,410783631.25,410783631.25,
50,TQBR,2018-12-11,ВТБ ао,VTBR,14650,391103935.45,0.036325,0.03594,0.036355,0.036005,0.036180000000000004,0.036005,10809270000,0.036180000000000004,0.036180000000000004,0.036005,391103935.45,391103935.45,391103935.45,
51,TQBR,2018-12-12,ВТБ ао,VTBR,13225,438792098.65,0.036145,0.035835000000000006,0.03625,0.03625,0.03608,0.03625,12161040000,0.03608,0.03608,0.03625,438792098.65,438792098.65,438792098.65,
52,TQBR,2018-12-13,ВТБ ао,VTBR,10720,284864753.9,0.036239999999999994,0.035910000000000004,0.03628,0.03608,0.036095,0.03608,7906700000,0.03603,0.03603,0.03608,284864753.9,284864753.9,284864753.9,
53,TQBR,2018-12-14,ВТБ ао,VTBR,15611,434140079.3,0.03596,0.035555,0.03607,0.035995,0.035825,0.035995,12124480000,0.035805000000000003,0.035805000000000003,0.035995,434140079.3,434140079.3,434140079.3,
54,TQBR,2018-12-17,ВТБ ао,VTBR,23034,736154631.45,0.0359,0.035885,0.03695,0.03634,0.036545,0.03634,20142510000,0.036545,0.036545,0.03634,736154631.45,736154631.45,736154631.45,
55,TQBR,2018-12-18,ВТБ ао,VTBR,20020,606025308.7,0.0361,0.03564,0.03625,0.0362,0.03603,0.0362,16843810000,0.03598,0.03598,0.0362,606025308.7,606025308.7,606025308.7,
56,TQBR,2018-12-19,ВТБ ао,VTBR,19494,462177380.55,0.0359,0.0357,0.036539999999999996,0.0363,0.036075,0.0363,12811780000,0.036075,0.036075,0.0363,462177380.55,462177380.55,462177380.55,
57,TQBR,2018-12-20,ВТБ ао,VTBR,30908,834751200.25,0.036215,0.0357,0.036225,0.03587,0.035865,0.03587,23266560000,0.03588,0.03588,0.03587,834751200.25,834751200.25,834751200.25,
58,TQBR,2018-12-21,ВТБ ао,VTBR,15029,641703542.6,0.0358,0.035245,0.03609,0.035245,0.035605,0.035245,18021720000,0.035605,0.035605,0.035245,641703542.6,641703542.6,641703542.6,
