,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQDE,2018-10-01,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
1,TQDE,2018-10-02,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
2,TQDE,2018-10-03,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
3,TQDE,2018-10-04,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
4,TQDE,2018-10-05,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
5,TQDE,2018-10-08,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
6,TQDE,2018-10-09,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
7,TQDE,2018-10-10,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
8,TQDE,2018-10-11,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
9,TQDE,2018-10-12,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
10,TQDE,2018-10-15,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
11,TQDE,2018-10-16,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
12,TQDE,2018-10-17,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
13,TQDE,2018-10-18,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
14,TQDE,2018-10-19,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
15,TQDE,2018-10-22,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
16,TQDE,2018-10-23,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
17,TQDE,2018-10-24,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
18,TQDE,2018-10-25,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
19,TQDE,2018-10-26,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
20,TQDE,2018-10-29,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
21,TQDE,2018-10-30,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
22,TQDE,2018-10-31,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
23,TQDE,2018-11-01,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
24,TQDE,2018-11-02,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
25,TQDE,2018-11-06,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
26,TQDE,2018-11-07,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
27,TQDE,2018-11-08,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
28,TQDE,2018-11-09,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
29,TQDE,2018-11-12,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
30,TQDE,2018-11-13,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
31,TQDE,2018-11-14,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
32,TQDE,2018-11-15,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
33,TQDE,2018-11-16,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
34,TQDE,2018-11-19,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
35,TQDE,2018-11-20,ВТОРРЕСао,VTRS,0,0,,,,0.115,,,0,,0.1175,0.115,0,541427.55,0,
