,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,TQOD,2018-10-01,PGIL-20,XS0922301717,2,2030.0,101.5,101.5,101.5,101.5,23.75,101.5,4.61,101.5,2,101.3037,101.1642,101.5,10600373.0,7725253.56,10600373.0,2020-04-29,,4.61,,,,28.125,,2018-10-01,1000,USD,,,,,USD
1,TQOD,2018-10-02,PGIL-20,XS0922301717,3,7224.26,103.09,103.25,103.25,103.2036,23.9063,103.2036,3.47,103.09,7,101.2785,101.838,103.2036,8132235.91,1472619.57,8132235.91,2020-04-29,,3.5,,,,28.125,,2018-10-02,1000,USD,,,,,USD
2,TQOD,2018-10-03,PGIL-20,XS0922301717,3,13076.0,100.4,100.6,100.4,100.5846,24.0625,100.5846,5.35,100.6,13,101.3258,101.4676,100.5846,11926944.42,1793242.99,11926944.42,2020-04-29,,5.22,,,,28.125,,2018-10-03,1000,USD,,,,,USD
3,TQOD,2018-10-04,PGIL-20,XS0922301717,1,3042.0,101.4,101.4,101.4,101.4,24.2188,101.4,4.67,101.4,3,101.2158,101.4702,101.4,9184101.12,1725235.22,9184101.12,2020-04-29,,4.67,,,,28.125,,2018-10-04,1000,USD,,,,,USD
4,TQOD,2018-10-05,PGIL-20,XS0922301717,3,219396.0,101.1,101.55,101.55,101.55,24.375,101.1041,4.57,101.1,217,101.1439,101.1409,101.55,16185279.62,16052130.7,16185279.62,2020-04-29,,4.87,,,,28.125,,2018-10-05,1000,USD,,,,,USD
5,TQOD,2018-10-08,PGIL-20,XS0922301717,6,14204.2,101.44,101.5,101.45,101.45,24.8438,101.4586,4.63,101.5,14,101.1291,101.1291,101.45,15671942.51,15671942.51,15671942.51,2020-04-29,,4.63,,,,28.125,,2018-10-08,1000,USD,,,,,USD
6,TQOD,2018-10-09,PGIL-20,XS0922301717,3,7097.0,101.0,101.45,101.0,101.0,25.0,101.3857,4.94,101.45,7,101.1333,101.4443,101.0,15948196.94,1556134.24,15948196.94,2020-04-29,,4.68,,,,28.125,,2018-10-09,1000,USD,,,,,USD
7,TQOD,2018-10-10,PGIL-20,XS0922301717,11,80016.0,101.1,101.34,101.34,101.34,25.1563,101.2861,4.7,101.25,79,101.2861,101.2861,101.34,5313318.44,5313318.44,5313318.44,2020-04-29,,4.74,,,,28.125,,2018-10-10,1000,USD,,,,,USD
8,TQOD,2018-10-11,PGIL-20,XS0922301717,3,20232.5,101.15,101.2,101.2,101.2,25.3125,101.1625,4.8,101.15,20,101.2611,101.281,101.2,6652370.03,5644867.48,6652370.03,2020-04-29,,4.82,,,,28.125,,2018-10-11,1000,USD,,,,,USD
9,TQOD,2018-10-12,PGIL-20,XS0922301717,4,102011.0,101.0,101.1,101.0,101.0,25.4688,101.001,4.93,101.1,101,101.1298,101.1209,101.0,13463919.93,11784051.78,13463919.93,2020-04-29,,4.93,,,,28.125,,2018-10-12,1000,USD,,,,,USD
10,TQOD,2018-10-15,PGIL-20,XS0922301717,5,56713.0,101.15,101.4,101.4,101.3726,25.9375,101.2732,4.66,101.15,56,101.1054,101.1012,101.3726,11892247.34,10888082.74,11892247.34,2020-04-29,,4.74,,,,28.125,,2018-10-15,1000,USD,,,,,USD
11,TQOD,2018-10-16,PGIL-20,XS0922301717,2,3040.5,101.35,101.35,101.35,101.35,26.0938,101.35,4.69,101.35,3,101.1028,101.1028,101.35,10753111.06,10685603.86,10753111.06,2020-04-29,,4.69,,,,28.125,,2018-10-16,1000,USD,,,,,USD
12,TQOD,2018-10-17,PGIL-20,XS0922301717,8,28356.0,101.2,101.3,101.2,101.2,26.25,101.2714,4.79,101.3,28,101.279,101.279,101.2,2058098.18,2058098.18,2058098.18,2020-04-29,,4.74,,,,28.125,,2018-10-17,1000,USD,,,,,USD
