history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOD;2018-10-01;Veb-23;XS0993162683;52;311123.72;96.0063;96.9998;96.5;96.535;21.4572;96.3231;6.77;96.9998;323;96.3231;96.3231;96.535;20406791.52;20406791.52;20406791.52;2023-11-21;;6.81;;;;29.71;;2018-10-01;1000;USD;;;;;USD
TQOD;2018-10-02;Veb-23;XS0993162683;32;108011;96.1703;96.649;96.4505;96.4505;21.6223;96.4384;6.78;96.2;112;96.4384;96.4384;96.4505;7082767.37;7082767.37;7082767.37;2023-11-21;;6.78;;;;29.71;;2018-10-02;1000;USD;;;;;USD
TQOD;2018-10-03;Veb-23;XS0993162683;22;255727;96.4999;96.6;96.6;96.6;21.7873;96.5008;6.75;96.6;265;96.5008;96.5008;96.6;16679051.99;16679051.99;16679051.99;2023-11-21;;6.77;;;;29.71;;2018-10-03;1000;USD;;;;;USD
TQOD;2018-10-04;Veb-23;XS0993162683;21;260190.24;95.5004;96.6;96.1997;96.1997;21.9524;96.3668;6.84;96.1752;270;96.3668;96.3668;96.1997;17022790.35;17022790.35;17022790.35;2023-11-21;;6.8;;;;29.71;;2018-10-04;1000;USD;;;;;USD
TQOD;2018-10-05;Veb-23;XS0993162683;38;304561.39;95.6;97.3;96.2;96.2001;22.1174;96.0761;6.84;96.8;317;96.0761;96.0761;96.2001;20165466.48;20165466.48;20165466.48;2023-11-21;;6.87;;;;29.71;;2018-10-05;1000;USD;;;;;USD
TQOD;2018-10-08;Veb-23;XS0993162683;41;158849.4;95.7552;96.75;96.1499;96.1499;22.6126;96.2724;6.86;96.2001;165;96.2724;96.2724;96.1499;10583658.98;10583658.98;10583658.98;2023-11-21;;6.83;;;;29.71;;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-09;Veb-23;XS0993162683;50;251778.48;95;96.1;95.4999;95.4999;22.7777;95.3706;7.02;96.1;264;95.3706;95.3706;95.4999;16861227.17;16861227.17;16861227.17;2023-11-21;;7.05;;;;29.71;;2018-10-09;1000;USD;;;;;USD
TQOD;2018-10-10;Veb-23;XS0993162683;33;307889.64;94.1014;95.6994;95.5;95.5;22.9427;95.3219;7.02;94.1015;323;95.3219;95.3219;95.5;20444857.38;20444857.38;20444857.38;2023-11-21;;7.06;;;;29.71;;2018-10-10;1000;USD;;;;;USD
TQOD;2018-10-11;Veb-23;XS0993162683;44;349454.21;94.3502;95.5;95.2393;95.1689;23.1078;94.703;7.08;95.5;369;94.703;94.703;95.1689;23127997.85;23127997.85;23127997.85;2023-11-21;;7.22;;;;29.71;;2018-10-11;1000;USD;;;;;USD
TQOD;2018-10-12;Veb-23;XS0993162683;52;582445.4;94.5;95.1;94.63;94.63;23.2728;94.7066;7.24;95.0998;615;94.7066;94.7066;94.63;38891451.97;38891451.97;38891451.97;2023-11-21;;7.22;;;;29.71;;2018-10-12;1000;USD;;;;;USD
