,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ЗВЕЗДА ао,ZVEZ,262,4618780,5.95,5.45,6.28,5.58,5.66,5.58,816000,5.66,5.66,5.58,4618780,4618780,4618780,
1,TQBR,2018-10-02,ЗВЕЗДА ао,ZVEZ,233,3173330,5.53,5.32,5.88,5.59,5.54,5.59,573000,5.54,5.54,5.59,3173330,3173330,3173330,
2,TQBR,2018-10-03,ЗВЕЗДА ао,ZVEZ,201,2298160,5.51,5.11,5.68,5.38,5.38,5.38,427000,5.38,5.38,5.38,2298160,2298160,2298160,
3,TQBR,2018-10-04,ЗВЕЗДА ао,ZVEZ,86,1197070,5.55,5.18,5.6,5.22,5.44,5.22,220000,5.44,5.44,5.22,1197070,1197070,1197070,
4,TQBR,2018-10-05,ЗВЕЗДА ао,ZVEZ,96,1144880,5.39,5.19,5.46,5.3,5.33,5.39,215000,5.33,5.33,5.3,1144880,1144880,1144880,
5,TQBR,2018-10-08,ЗВЕЗДА ао,ZVEZ,69,561340,5.39,5.16,5.52,5.45,5.4,5.45,104000,5.4,5.4,5.45,561340,561340,561340,
6,TQBR,2018-10-09,ЗВЕЗДА ао,ZVEZ,37,488240,5.35,5.35,5.57,5.35,5.42,5.35,90000,,5.42,5.35,0,504410,0,
7,TQBR,2018-10-10,ЗВЕЗДА ао,ZVEZ,32,465130,5.36,5.27,5.49,5.28,5.35,5.28,87000,,5.35,5.28,0,507950,0,
8,TQBR,2018-10-11,ЗВЕЗДА ао,ZVEZ,36,432980,5.21,5.17,5.28,5.19,5.22,5.19,83000,,5.23,5.19,0,501620,0,
9,TQBR,2018-10-12,ЗВЕЗДА ао,ZVEZ,62,904910,5.2,5.09,5.36,5.19,5.14,5.19,176000,5.14,5.14,5.19,904910,904910,904910,
10,TQBR,2018-10-15,ЗВЕЗДА ао,ZVEZ,22,225320,5.17,5.07,5.19,5.11,5.12,5.11,44000,,5.14,5.11,0,503370,0,
11,TQBR,2018-10-16,ЗВЕЗДА ао,ZVEZ,54,793410,5.05,4.96,5.14,5.02,5.02,5.01,158000,5.02,5.02,5.02,793410,793410,793410,
12,TQBR,2018-10-17,ЗВЕЗДА ао,ZVEZ,45,366540,4.98,4.91,5.05,4.92,4.95,4.92,74000,,4.98,4.92,0,731620,0,
