,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
0,"Акционерное общество ""Райффайзенбанк""","Акционерное общество ""ДОМ.РФ""",4-15-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А15,"поддержание объёма, цены",2009-12-07 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JQAM6,bonds,stock,EQOB
1,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""","Акционерное общество ""ДОМ.РФ""",4-15-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А15,"поддержание объёма, цены",2011-08-05 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JQAM6,bonds,stock,EQOB
2,"Акционерное общество ""Райффайзенбанк""","Акционерное общество ""ДОМ.РФ""",4-14-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А14,"поддержание объёма, цены",2009-12-07 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JQAL8,bonds,stock,EQOB
3,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""","Акционерное общество ""ДОМ.РФ""",4-14-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А14,"поддержание объёма, цены",2011-08-05 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JQAL8,bonds,stock,EQOB
4,"Акционерное общество ""Гарант-М""",Правительство Москвы в лице Департамента финансов города Москвы,RU32048MOS0,облигации сорок восьмого выпуска Городского облигационного (внутреннего) займа Москвы,"поддержание объёма, цены",2010-03-25 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2015-11-30 00:00:00,2015-11-30 19:30:00,,,RU000A0JNYN1,bonds,stock,EQOB
5,"Акционерное общество ""Гарант-М""",Правительство Москвы в лице Департамента финансов города Москвы,RU27066MOS0,облигации шестьдесят шестого выпуска Городского облигационного (внутреннего) займа Москвы,"поддержание объёма, цены",2010-09-22 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2015-11-30 00:00:00,2015-11-30 19:30:00,2018-11-26 00:00:00,2018-11-26 19:30:00,RU000A0JQHM1,bonds,stock,EQOB
6,"Акционерное общество ""Райффайзенбанк""","Акционерное общество ""ДОМ.РФ""",4-16-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А16,"поддержание объёма, цены",2010-10-12 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JQXG0,bonds,stock,EQOB
7,"Акционерное общество ""Райффайзенбанк""","Акционерное общество ""ДОМ.РФ""",4-20-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А20,"поддержание объёма, цены",2011-01-26 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JR6S8,bonds,stock,EQOB
8,"Акционерное общество ""Райффайзенбанк""","Акционерное общество ""ДОМ.РФ""",4-17-00739-A,неконвертируемые документарные купонные облигации на предъявителя серии А17,"поддержание объёма, цены",2011-04-01 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,2018-03-20 00:00:00,2018-03-20 19:30:00,,,RU000A0JR5F7,bonds,stock,EQOB
9,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Общество с ограниченной ответственностью ""Управляющая компания ""Финам Менеджмент""",0446-78559613,"инвестиционные паи Закрытого паевого инвестиционного фонда акций ""Финам - Информационные технологии""",поддержание цены,2013-04-17 00:00:00,,12 месяцев с возможной пролонгацией,T+,,,,,RU000A0JNUN9,ppif,stock,TQIF
10,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-32-65045-D,неконвертируемые процентные документарные облигации на предъявителя серии 32 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JSGV0,bonds,stock,EQOB
11,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-28-65045-D,неконвертируемые процентные документарные облигации на предъявителя серии 28 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JTU85,bonds,stock,EQOB
12,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-18-65045-D,неконвертируемые документарные процентные облигации на предъявителя серии 18 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JQ7X7,bonds,stock,EQOB
13,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-12-65045-D,неконвертируемые документарные процентные облигации на предъявителя серии 12 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JQ5Q5,bonds,stock,EQOB
14,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-23-65045-D,неконвертируемые документарные процентные облигации на предъявителя серии 23 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JQRD9,bonds,stock,EQOB
15,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-19-65045-D,неконвертируемые документарные процентные облигации на предъявителя серии 19 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JQ7Z2,bonds,stock,EQOB
16,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Нижегородской области,RU34009NJG0,государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга,поддержание цены,2013-10-31 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JU3B6,bonds,stock,EQOB
17,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Акционерное общество ""Открытие Холдинг""",4-06-14406-A,облигации неконвертируемые процентные документарные на предъявителя серии 06 с обязательным централизованным хранением,поддержание цены,2013-12-25 00:00:00,,6 месяцев с возможной пролонгацией,Режим основных торгов,2016-09-21 00:00:00,2016-09-21 19:30:00,,,RU000A0JU2N3,bonds,stock,EQOB
18,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-30-65045-D,неконвертируемые процентные документарные облигации на предъявителя серии 30 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,2 года с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JUAH8,bonds,stock,EQOB
