,AFKS,ALRS,FEES,FIVE,HYDR,IRAO,MAGN,MFON,MOEX,MSNG,MTLR,MTSS,NLMK,NVTK,OGKB,PHOR,PLZL,RASP,RSTI,RTKM,SIBN,SNGS,TATNP,TRNFP,UPRO
2018-10-01,24896500,8623100,861610000,155266,277470000,66307000,3075000,29270,7431330,19245000,554980,1199710,2072170,579520,84578000,29662,22272,969410,27598000,1482510,390020,15853500,839310,1892,12206000
2018-10-02,15765400,5803400,2533180000,112181,464306000,75827000,5918300,134720,3570570,29307000,969267,1537590,1607930,525910,99523000,17810,55400,1536220,1057417000,3503290,366330,10028500,290490,856,10274000
2018-10-03,13193800,7633600,1465460000,83161,565382000,93416000,11262600,70280,9191030,18289000,1195354,2969500,3474620,999300,114853000,64078,62963,1619540,996459000,1778730,581700,18108000,745550,2024,22103000
2018-10-04,9569600,10878500,1260340000,96333,500688000,71197000,6244600,300730,6445280,14157000,640560,2315750,2978740,708690,238669000,58241,44561,2190620,1691817000,3731930,518410,28032900,1219200,1301,16899000
2018-10-05,15094500,8311800,1572390000,92465,652329000,89175000,6962600,203150,6494760,8542000,594063,2008500,2225400,520930,71693000,18167,34975,2880310,240874000,2569830,339470,13158600,312300,2238,22221000
2018-10-08,16986400,8051000,1106500000,83595,421188000,70094000,6191400,221650,5492180,9223000,395103,1255130,2347650,520830,115597000,23976,26150,1637610,192990000,1183750,307700,9950900,566420,1041,9051000
2018-10-09,12666100,9116500,896420000,108726,438169000,55363000,4695200,60240,8334540,5450000,763224,1847730,2268650,750270,101029000,34811,17439,2217650,187189000,1792100,467700,19075300,677460,3707,10564000
2018-10-10,10505700,7904400,2789120000,130130,724831000,71478000,11969400,50080,4834180,11456000,634974,1364340,2378100,1074700,87417000,64419,21288,2415560,188722000,8940030,380060,14074000,664520,8327,9875000
2018-10-11,20875300,24937700,2767380000,216304,659397000,81979000,12174100,206300,7007380,16601000,1234944,2047290,5114220,1319130,121481000,57014,74849,2325420,296592000,5005190,739340,17238900,849180,1734,32566000
2018-10-12,7733700,15884800,1831050000,123170,471782000,60381000,6970800,48180,4584410,4752000,433641,1264990,1865490,1046180,39408000,14795,63105,932830,122697000,1968740,194050,9375100,343450,500,6918000
2018-10-15,13315200,7398500,1016990000,115876,268279000,47367000,4754500,37260,2874410,5608000,804720,1335330,1898690,506930,78561000,8307,32843,1113370,168769000,1139270,299520,8248300,427140,579,4415000
2018-10-16,12051700,15979400,948940000,94842,667673000,68873000,6163700,33530,8406230,3734000,302583,1624000,3008070,524020,32733000,31566,89016,2659040,327278000,2214070,175990,8402400,285130,939,17290000
2018-10-17,6540300,13151900,618950000,159804,623279000,81065000,4530500,51240,5180090,4963000,653680,880190,2815600,1045990,27403000,31753,57137,1744980,156598000,773420,199600,10203700,209790,1033,18857000
2018-10-18,6948100,10558300,802040000,132661,478818000,89996000,6975000,28040,14353580,9197000,623359,1251220,2501950,786910,21577000,44929,32726,708640,186400000,1483050,357830,11966500,137100,632,9741000
2018-10-19,11448500,8775400,942950000,128692,851867000,44459000,9246100,43910,7540530,4323000,425909,1273810,3481900,1100760,55752000,45286,64209,1511260,138674000,2190280,326890,11126700,105000,1349,6366000
2018-10-22,6989100,12141600,976330000,78425,605588000,39312000,12006300,74680,15528640,6982000,420263,1022690,2617620,1004380,49936000,27352,37056,911540,198370000,1972420,249300,10390900,150050,1488,30090000
2018-10-23,17286300,16152400,1765850000,76075,633312000,90381000,8105700,14890,11728930,9636000,894270,1561680,3272490,936090,61475000,44666,44036,2840540,173209000,1725290,182880,15058500,458820,1184,36706000
2018-10-24,9423500,20087800,1487330000,345234,1052246000,64459000,9892800,68850,11418830,13107000,1062928,1179390,4079610,1478610,49698000,63495,56935,491520,118167000,4191780,279140,13476900,186270,1422,17752000
2018-10-25,7536000,16524900,1186400000,142131,596668000,85942000,8225300,37780,6117280,4466000,703892,1598220,5621360,970120,21268000,36621,66107,1057110,98183000,3162830,308870,21708300,160100,960,28180000
2018-10-26,17454900,13940900,1061610000,84150,844753000,56081000,8380300,33870,17043870,9484000,567564,992790,2818870,625050,38514000,33931,81595,1077940,169489000,5177530,211930,12034700,212340,729,26490000
2018-10-29,10976900,8488600,892180000,49641,496784000,71939000,3268600,24750,10356390,4886000,733179,747960,1621190,731510,44207000,12743,34199,410980,137461000,4022430,182040,6598800,167970,231,16559000
2018-10-30,5827300,9166000,963070000,72032,574042000,75434000,5147500,9550,15243910,3451000,321995,784450,2261240,846380,33778000,26241,50174,259430,50385000,6524520,175880,14646900,404470,731,17240000
2018-10-31,6097400,12675600,1120480000,115386,644049000,113782000,5156100,11780,10110940,3830000,443749,1183170,3095010,1173320,19906000,39120,46252,310470,164099000,1771350,238680,21198600,298890,637,35402000
2018-11-01,9633000,13082600,1544580000,105747,378118000,98974000,6274300,41690,6362420,4708000,774639,2345790,3193640,1481670,21794000,28123,39447,838420,129467000,5500810,125550,21370300,246270,776,8545000
2018-11-02,10397100,10396200,634740000,88263,392759000,66837000,9136000,37560,10569780,7532000,374476,2118410,4013210,924840,23269000,17670,31162,722130,59479000,3240140,444730,12844700,243780,539,64653000
2018-11-06,5594100,5087910,869850000,49552,544693000,77404000,15261100,46460,11748460,5829000,508637,2415940,2535120,536550,28949000,26001,41529,272030,301672000,1273520,520920,16723600,555240,1498,17803000
2018-11-07,5648700,8369200,886210000,74185,664705000,59323000,19407400,110470,11850800,8421000,751130,1666820,3354150,1148480,27907000,23061,64651,812780,202449000,1695290,285440,18774600,207440,1615,2953000
2018-11-08,12532500,14056400,622570000,49827,500725000,97832000,11593900,33030,9382340,5446000,729955,2459940,2196670,1075270,28459000,12981,48687,1240030,128231000,1327140,345820,11542900,399890,633,13219000
2018-11-09,8894200,17423830,719690000,101085,595821000,139818000,13398800,84910,8369320,8192000,412968,1211900,7093810,823480,36155000,22288,39073,481960,135954000,2517870,419500,14314100,203280,1788,7963000
2018-11-12,6233800,8238760,508890000,39350,317121000,52631000,4595900,29130,4587340,6079000,585543,641420,2350160,819950,18630000,31998,28783,256030,78205000,1824490,175640,8769400,357640,628,8585000
2018-11-13,7430900,15276960,725270000,62202,649849000,118447000,6029600,17240,8716140,10239000,420995,979280,3201050,1136190,28037000,26384,26509,572940,81559000,4945290,692530,9663800,479680,368,24868000
2018-11-14,7320800,11865840,988570000,75920,1882303000,82647000,6832400,15170,14468090,19379000,816774,779790,3818550,1391730,34919000,38358,42290,2747460,96589000,2509940,818620,13182000,209780,579,9227000
2018-11-15,8645300,10641990,492400000,64204,684154000,37038000,5428900,53120,7791960,16742000,2360256,1523670,1899610,750790,36354000,14360,46708,4584050,121721000,1302060,310130,9453200,204550,506,10368000
