,Наименование инструмента,code,market,engine,board
0,4-15-00739-A,RU000A0JQAM6,bonds,stock,EQOB
1,4-14-00739-A,RU000A0JQAL8,bonds,stock,EQOB
2,RU32048MOS0,RU000A0JNYN1,bonds,stock,EQOB
3,RU27066MOS0,RU000A0JQHM1,bonds,stock,EQOB
4,4-16-00739-A,RU000A0JQXG0,bonds,stock,EQOB
5,4-20-00739-A,RU000A0JR6S8,bonds,stock,EQOB
6,4-17-00739-A,RU000A0JR5F7,bonds,stock,EQOB
7,0446-78559613,RU000A0JNUN9,ppif,stock,TQIF
8,4-32-65045-D,RU000A0JSGV0,bonds,stock,EQOB
9,4-28-65045-D,RU000A0JTU85,bonds,stock,EQOB
10,4-18-65045-D,RU000A0JQ7X7,bonds,stock,EQOB
11,4-12-65045-D,RU000A0JQ5Q5,bonds,stock,EQOB
12,4-23-65045-D,RU000A0JQRD9,bonds,stock,EQOB
13,4-19-65045-D,RU000A0JQ7Z2,bonds,stock,EQOB
14,RU34009NJG0,RU000A0JU3B6,bonds,stock,EQOB
15,4-06-14406-A,RU000A0JU2N3,bonds,stock,EQOB
16,4-30-65045-D,RU000A0JUAH8,bonds,stock,EQOB
17,41403338B,RU000A0JUJG1,bonds,stock,EQOB
18,4-08-04715-A,RU000A0JR4J2,bonds,stock,EQOB
19,NL0009805522,YNDX,shares,stock,TQBR
20,4-02-81584-H,RU000A0JUG15,bonds,stock,EQOB
21,41503338B,RU000A0JUW23,bonds,stock,EQOB
22,4-05-14406-A,RU000A0JTX09,bonds,stock,EQOB
23,10101978B,CBOM,shares,stock,TQBR
24,1-01-82031-H,UWGN,shares,stock,TQBR
25,1-02-56453-P,SFIN,shares,stock,TQBR
26,1-01-55194-E,TRCN,shares,stock,TQBR
27,1-03-10003-Z,RGSS,shares,stock,TQBR
28,41703338B,RU000A0JWBN0,bonds,stock,EQOB
29,1-01-32694-F,SELG,shares,stock,TQBR
30,4B02-01-36479-R,RU000A0JVZA8,bonds,stock,EQOB
31,4-01-36479-R,RU000A0JVT43,bonds,stock,EQOB
32,4-01-36490-R,RU000A0JW118,bonds,stock,EQOB
33,1-01-04715-A,MTSS,shares,stock,TQBR
34,1-03-00207-A,AKRN,shares,stock,TQBR
35,1-01-55038-E,HYDR,shares,stock,TQBR
36,1-01-00102-A,NLMK,shares,stock,TQBR
37,10401000B,VTBR,shares,stock,TQBR
38,2-01-00155-A,SNGSP,shares,stock,TQBR
39,1-01-00124-A,RTKM,shares,stock,TQBR
40,1-03-40046-N,ALRS,shares,stock,TQBR
41,2-01-00206-A,TRNFP,shares,stock,TQBR
42,1-01-00155-A,SNGS,shares,stock,TQBR
43,1-01-60525-P,MGNT,shares,stock,TQBR
44,1-02-00268-E,NVTK,shares,stock,TQBR
45,1-01-40155-F,GMKN,shares,stock,TQBR
46,1-02-00122-A,ROSN,shares,stock,TQBR
