TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,1532500,321300,20.97
2018-10-02,2310500,510700,22.1
2018-10-03,2022800,497000,24.57
2018-10-04,2396300,507100,21.16
2018-10-05,3228300,793600,24.58
2018-10-08,3266900,641500,19.64
2018-10-09,2082800,368900,17.71
2018-10-10,3410600,917200,26.89
2018-10-11,3565400,661700,18.56
2018-10-12,3201000,564600,17.64
2018-10-15,3408000,466100,13.68
2018-10-16,4331900,622700,14.37
2018-10-17,3715400,624600,16.81
2018-10-18,6686900,1130100,16.9
2018-10-19,4039200,738800,18.29
2018-10-22,4346900,1064300,24.48
2018-10-23,5686000,1128300,19.84
2018-10-24,4391600,718800,16.37
2018-10-25,3123700,708400,22.68
2018-10-26,3431100,736100,21.45
2018-10-29,5173600,836800,16.17
2018-10-30,7257700,1132300,15.6
2018-10-31,7462500,1322100,17.72
2018-11-01,5814700,1343800,23.11
2018-11-02,10681900,1895000,17.74
2018-11-06,4511060,454310,10.07
2018-11-07,6026220,725780,12.04
2018-11-08,5643500,650730,11.53
2018-11-09,5591930,701610,12.55
2018-11-12,4167490,502980,12.07
2018-11-13,3519290,376660,10.7
2018-11-14,10868770,1097440,10.1
2018-11-15,5802840,829110,14.29
2018-11-16,4466300,532630,11.93
2018-11-19,4022230,441380,10.97
2018-11-20,5583550,753740,13.5
2018-11-21,21252160,2613800,12.3
2018-11-22,7595200,964980,12.71
2018-11-23,11719540,1435840,12.25
2018-11-26,10131590,1389520,13.71
2018-11-27,10305870,1654140,16.05
2018-11-28,4349800,683970,15.72
2018-11-29,9606180,1398190,14.56
2018-11-30,14211070,2242770,15.78
2018-12-03,9620830,1432300,14.89
2018-12-04,10931260,1289610,11.8
2018-12-05,6818380,988280,14.49
2018-12-06,5006500,715360,14.29
2018-12-07,7418500,1148690,15.48
2018-12-10,10986450,1935700,17.62
2018-12-11,4473990,842510,18.83
2018-12-12,3405510,516230,15.16
2018-12-13,3736810,673930,18.03
2018-12-14,4017540,605240,15.06
2018-12-17,2330740,342430,14.69
2018-12-18,8413060,1604760,19.07
2018-12-19,7491000,1731300,23.11
2018-12-20,4633990,897820,19.37
2018-12-21,3439820,527340,15.33
