TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,8623100,0,0.0
2018-10-02,5803400,0,0.0
2018-10-03,7633600,0,0.0
2018-10-04,10878500,0,0.0
2018-10-05,8311800,0,0.0
2018-10-08,8051000,0,0.0
2018-10-09,9116500,0,0.0
2018-10-10,7904400,0,0.0
2018-10-11,24937700,0,0.0
2018-10-12,15884800,0,0.0
2018-10-15,7398500,0,0.0
2018-10-16,15979400,0,0.0
2018-10-17,13151900,0,0.0
2018-10-18,10558300,0,0.0
2018-10-19,8775400,0,0.0
2018-10-22,12141600,0,0.0
2018-10-23,16152400,0,0.0
2018-10-24,20087800,0,0.0
2018-10-25,16524900,0,0.0
2018-10-26,13940900,0,0.0
2018-10-29,8488600,0,0.0
2018-10-30,9166000,0,0.0
2018-10-31,12675600,0,0.0
2018-11-01,13082600,0,0.0
2018-11-02,10396200,0,0.0
2018-11-06,5087910,0,0.0
2018-11-07,8369200,0,0.0
2018-11-08,14056400,0,0.0
2018-11-09,17423830,0,0.0
2018-11-12,8238760,0,0.0
2018-11-13,15276960,0,0.0
2018-11-14,11865840,0,0.0
2018-11-15,10641990,0,0.0
2018-11-16,9356370,0,0.0
2018-11-19,13657320,0,0.0
2018-11-20,9704740,0,0.0
2018-11-21,8819690,0,0.0
2018-11-22,6015110,0,0.0
2018-11-23,6321140,0,0.0
2018-11-26,7690510,0,0.0
2018-11-27,7899830,0,0.0
2018-11-28,12882040,0,0.0
2018-11-29,8287220,0,0.0
2018-11-30,17464200,0,0.0
2018-12-03,15674230,0,0.0
2018-12-04,13613310,0,0.0
2018-12-05,7198960,0,0.0
2018-12-06,4387500,0,0.0
2018-12-07,8130920,0,0.0
2018-12-10,10177800,0,0.0
2018-12-11,13933430,0,0.0
2018-12-12,8325140,0,0.0
2018-12-13,11563590,0,0.0
2018-12-14,7436430,0,0.0
2018-12-17,5211100,0,0.0
2018-12-18,13356320,0,0.0
2018-12-19,7412670,0,0.0
2018-12-20,12197200,0,0.0
2018-12-21,11140740,0,0.0
