TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,776044,14983,1.93
2018-10-02,309471,11402,3.68
2018-10-03,263531,6320,2.4
2018-10-04,335377,8707,2.6
2018-10-05,429363,18208,4.24
2018-10-08,343721,7427,2.16
2018-10-09,715776,16104,2.25
2018-10-10,798292,18735,2.35
2018-10-11,916895,23526,2.57
2018-10-12,711948,2971,0.42
2018-10-15,518959,2371,0.46
2018-10-16,543788,4143,0.76
2018-10-17,468166,647,0.14
2018-10-18,383236,2489,0.65
2018-10-19,439260,4274,0.97
2018-10-22,378474,1934,0.51
2018-10-23,695995,9004,1.29
2018-10-24,328331,1122,0.34
2018-10-25,314483,607,0.19
2018-10-26,295188,2829,0.96
2018-10-29,348576,5547,1.59
2018-10-30,510219,3764,0.74
2018-10-31,324048,374,0.12
2018-11-01,412038,3693,0.9
2018-11-02,393741,2202,0.56
2018-11-06,351658,11660,3.32
2018-11-07,364377,4921,1.35
2018-11-08,305861,0,0.0
2018-11-09,321682,0,0.0
2018-11-12,210833,0,0.0
2018-11-13,189358,0,0.0
2018-11-14,355504,0,0.0
2018-11-15,236316,0,0.0
2018-11-16,324241,0,0.0
2018-11-19,159875,1954,1.22
2018-11-20,184262,676,0.37
2018-11-21,261940,648,0.25
2018-11-22,198828,444,0.22
2018-11-23,146193,0,0.0
2018-11-26,330568,1507,0.46
2018-11-27,238948,451,0.19
2018-11-28,356408,3841,1.08
2018-11-29,281159,2927,1.04
2018-11-30,238361,3360,1.41
2018-12-03,253465,9480,3.74
2018-12-04,615083,34232,5.57
2018-12-05,333248,15964,4.79
2018-12-06,313640,10906,3.48
2018-12-07,442707,26565,6.0
2018-12-10,255708,18877,7.38
2018-12-11,241439,4311,1.79
2018-12-12,222210,8627,3.88
2018-12-13,147182,6770,4.6
2018-12-14,159168,8859,5.57
2018-12-17,182392,8762,4.8
2018-12-18,305303,5956,1.95
2018-12-19,255625,8378,3.28
2018-12-20,374692,4402,1.17
2018-12-21,217380,4162,1.91
