TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,13112240000,3730030000,28.45
2018-10-02,9894130000,3259310000,32.94
2018-10-03,16612190000,4403940000,26.51
2018-10-04,21445400000,5759490000,26.86
2018-10-05,13777860000,4071140000,29.55
2018-10-08,15056980000,4289610000,28.49
2018-10-09,22337310000,5726730000,25.64
2018-10-10,20581840000,5557800000,27.0
2018-10-11,45174210000,9123960000,20.2
2018-10-12,21086340000,5196120000,24.64
2018-10-15,16113400000,5096190000,31.63
2018-10-16,25940890000,7029310000,27.1
2018-10-17,19703850000,5418220000,27.5
2018-10-18,11823560000,3687870000,31.19
2018-10-19,19689400000,5357000000,27.21
2018-10-22,26963850000,7429860000,27.55
2018-10-23,24884710000,6410510000,25.76
2018-10-24,28780230000,8534340000,29.65
2018-10-25,11194100000,3985860000,35.61
2018-10-26,14458280000,3880160000,26.84
2018-10-29,12806770000,3540750000,27.65
2018-10-30,11716220000,3676900000,31.38
2018-10-31,14311030000,3884200000,27.14
2018-11-01,17990650000,6312380000,35.09
2018-11-02,11459220000,2953540000,25.77
2018-11-06,15910200000,2784650000,17.5
2018-11-07,58167200000,10362470000,17.81
2018-11-08,36034700000,6490000000,18.01
2018-11-09,20899340000,4655930000,22.28
2018-11-12,19761240000,4487920000,22.71
2018-11-13,32421450000,6845330000,21.11
2018-11-14,17596900000,4603380000,26.16
2018-11-15,32876180000,6581540000,20.02
2018-11-16,19737790000,5110980000,25.89
2018-11-19,12625230000,3253160000,25.77
2018-11-20,20507410000,4827380000,23.54
2018-11-21,23348180000,5899910000,25.27
2018-11-22,13814970000,2963450000,21.45
2018-11-23,12355030000,2474760000,20.03
2018-11-26,31053560000,4315200000,13.9
2018-11-27,12318760000,2785090000,22.61
2018-11-28,15893200000,2823780000,17.77
2018-11-29,21870920000,4005730000,18.32
2018-11-30,12367990000,2368340000,19.15
2018-12-03,13345570000,2688430000,20.14
2018-12-04,18734290000,2682630000,14.32
2018-12-05,16880750000,2539730000,15.05
2018-12-06,12575580000,2516490000,20.01
2018-12-07,17037480000,3151750000,18.5
2018-12-10,11303680000,2064460000,18.26
2018-12-11,10809270000,2848320000,26.35
2018-12-12,12161040000,2437780000,20.05
2018-12-13,7906700000,1791860000,22.66
2018-12-14,12124480000,3413490000,28.15
2018-12-17,20142510000,4776470000,23.71
2018-12-18,16843810000,4189110000,24.87
2018-12-19,12811780000,2745530000,21.43
2018-12-20,23266560000,5748640000,24.71
2018-12-21,18021720000,2706660000,15.02
