TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,155266,14524,9.35
2018-10-02,112181,4573,4.08
2018-10-03,83161,4676,5.62
2018-10-04,96333,6454,6.7
2018-10-05,92465,8398,9.08
2018-10-08,83595,4717,5.64
2018-10-09,108726,2564,2.36
2018-10-10,130130,4050,3.11
2018-10-11,216304,12938,5.98
2018-10-12,123170,6865,5.57
2018-10-15,115876,7442,6.42
2018-10-16,94842,6173,6.51
2018-10-17,159804,8575,5.37
2018-10-18,132661,9006,6.79
2018-10-19,128692,10037,7.8
2018-10-22,78425,3723,4.75
2018-10-23,76075,5861,7.7
2018-10-24,345234,28176,8.16
2018-10-25,142131,10081,7.09
2018-10-26,84150,7677,9.12
2018-10-29,49641,5245,10.57
2018-10-30,72032,5567,7.73
2018-10-31,115386,8399,7.28
2018-11-01,105747,5720,5.41
2018-11-02,88263,5184,5.87
2018-11-06,49552,2853,5.76
2018-11-07,74185,4937,6.65
2018-11-08,49827,2790,5.6
2018-11-09,101085,4700,4.65
2018-11-12,39350,2962,7.53
2018-11-13,62202,4091,6.58
2018-11-14,75920,4849,6.39
2018-11-15,64204,2210,3.44
2018-11-16,68248,5053,7.4
2018-11-19,51997,3971,7.64
2018-11-20,66965,5706,8.52
2018-11-21,50970,3302,6.48
2018-11-22,41631,2947,7.08
2018-11-23,81924,3966,4.84
2018-11-26,85403,7323,8.57
2018-11-27,60146,3770,6.27
2018-11-28,122681,4910,4.0
2018-11-29,174556,10595,6.07
2018-11-30,264971,5761,2.17
2018-12-03,116013,10095,8.7
2018-12-04,155737,14257,9.15
2018-12-05,238743,17439,7.3
2018-12-06,116567,11915,10.22
2018-12-07,159645,8971,5.62
2018-12-10,72008,9199,12.77
2018-12-11,76123,4527,5.95
2018-12-12,50999,4673,9.16
2018-12-13,85265,8393,9.84
2018-12-14,50975,6419,12.59
2018-12-17,59989,4985,8.31
2018-12-18,179412,10746,5.99
2018-12-19,110203,7101,6.44
2018-12-20,165759,10046,6.06
2018-12-21,149671,7266,4.85
