TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,2072170,750120,36.2
2018-10-02,1607930,450040,27.99
2018-10-03,3474620,945270,27.2
2018-10-04,2978740,1034530,34.73
2018-10-05,2225400,713170,32.05
2018-10-08,2347650,792500,33.76
2018-10-09,2268650,785410,34.62
2018-10-10,2378100,830150,34.91
2018-10-11,5114220,1671120,32.68
2018-10-12,1865490,582800,31.24
2018-10-15,1898690,476110,25.08
2018-10-16,3008070,890830,29.61
2018-10-17,2815600,601690,21.37
2018-10-18,2501950,667020,26.66
2018-10-19,3481900,1057440,30.37
2018-10-22,2617620,913900,34.91
2018-10-23,3272490,896110,27.38
2018-10-24,4079610,912520,22.37
2018-10-25,5621360,1569150,27.91
2018-10-26,2818870,890850,31.6
2018-10-29,1621190,539590,33.28
2018-10-30,2261240,668180,29.55
2018-10-31,3095010,786960,25.43
2018-11-01,3193640,968610,30.33
2018-11-02,4013210,949090,23.65
2018-11-06,2535120,628640,24.8
2018-11-07,3354150,943990,28.14
2018-11-08,2196670,536350,24.42
2018-11-09,7093810,1506700,21.24
2018-11-12,2350160,715410,30.44
2018-11-13,3201050,939900,29.36
2018-11-14,3818550,1051150,27.53
2018-11-15,1899610,415190,21.86
2018-11-16,1592710,376410,23.63
2018-11-19,2205620,702620,31.86
2018-11-20,2400330,892470,37.18
2018-11-21,3529530,1046100,29.64
2018-11-22,2233390,731960,32.77
2018-11-23,2620520,864900,33.0
2018-11-26,2742170,1011700,36.89
2018-11-27,3983900,1167650,29.31
2018-11-28,3979420,1216640,30.57
2018-11-29,2884220,785290,27.23
2018-11-30,4860840,753050,15.49
2018-12-03,3296550,1103060,33.46
2018-12-04,3515210,957470,27.24
2018-12-05,5121780,1417410,27.67
2018-12-06,2729960,877460,32.14
2018-12-07,3120750,1111120,35.6
2018-12-10,3756270,1371900,36.52
2018-12-11,2924490,941150,32.18
2018-12-12,2212700,679300,30.7
2018-12-13,3788730,1296650,34.22
2018-12-14,2139970,538210,25.15
2018-12-17,2375940,876680,36.9
2018-12-18,2227400,736800,33.08
2018-12-19,4514360,1367540,30.29
2018-12-20,3775740,1178230,31.21
2018-12-21,3069260,762070,24.83
