TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,1482510,539560,36.4
2018-10-02,3503290,692350,19.76
2018-10-03,1778730,272120,15.3
2018-10-04,3731930,454430,12.18
2018-10-05,2569830,436630,16.99
2018-10-08,1183750,309010,26.1
2018-10-09,1792100,317690,17.73
2018-10-10,8940030,375650,4.2
2018-10-11,5005190,791070,15.8
2018-10-12,1968740,300900,15.28
2018-10-15,1139270,335940,29.49
2018-10-16,2214070,522310,23.59
2018-10-17,773420,274780,35.53
2018-10-18,1483050,255860,17.25
2018-10-19,2190280,491600,22.44
2018-10-22,1972420,548530,27.81
2018-10-23,1725290,243880,14.14
2018-10-24,4191780,587890,14.02
2018-10-25,3162830,304860,9.64
2018-10-26,5177530,395240,7.63
2018-10-29,4022430,1116070,27.75
2018-10-30,6524520,430160,6.59
2018-10-31,1771350,560450,31.64
2018-11-01,5500810,955020,17.36
2018-11-02,3240140,274850,8.48
2018-11-06,1273520,422510,33.18
2018-11-07,1695290,249960,14.74
2018-11-08,1327140,374140,28.19
2018-11-09,2517870,222280,8.83
2018-11-12,1824490,317980,17.43
2018-11-13,4945290,206960,4.18
2018-11-14,2509940,212390,8.46
2018-11-15,1302060,382350,29.37
2018-11-16,540550,181550,33.59
2018-11-19,879850,248220,28.21
2018-11-20,3873650,522190,13.48
2018-11-21,1683250,260960,15.5
2018-11-22,308780,118080,38.24
2018-11-23,702030,226290,32.23
2018-11-26,1432640,492250,34.36
2018-11-27,490640,222460,45.34
2018-11-28,1505860,288490,19.16
2018-11-29,1763030,569810,32.32
2018-11-30,825850,267970,32.45
2018-12-03,1360090,348940,25.66
2018-12-04,1448250,412470,28.48
2018-12-05,1654210,319840,19.33
2018-12-06,2536120,307800,12.14
2018-12-07,1006840,269440,26.76
2018-12-10,1152530,250630,21.75
2018-12-11,810630,174190,21.49
2018-12-12,1992470,374370,18.79
2018-12-13,2094500,244940,11.69
2018-12-14,1550020,261540,16.87
2018-12-17,992290,325980,32.85
2018-12-18,2745070,239830,8.74
2018-12-19,2879710,307700,10.69
2018-12-20,4922270,469370,9.54
2018-12-21,1147570,181960,15.86
