TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,318117,9003,2.83
2018-10-02,294610,54459,18.49
2018-10-03,758143,100379,13.24
2018-10-04,372223,78094,20.98
2018-10-05,30204,0,0.0
2018-10-08,136790,0,0.0
2018-10-09,71337,0,0.0
2018-10-10,222237,100000,45.0
2018-10-11,14166,4002,28.25
2018-10-12,73982,30016,40.57
2018-10-15,127322,82028,64.43
2018-10-16,1141676,183364,16.06
2018-10-17,541266,78025,14.42
2018-10-18,65377,0,0.0
2018-10-19,34879,0,0.0
2018-10-22,1878767,230213,12.25
2018-10-23,400278,138500,34.6
2018-10-24,268994,85804,31.9
2018-10-25,1662512,14912,0.9
2018-10-26,400119,25495,6.37
2018-10-29,306304,189,0.06
2018-10-30,403112,0,0.0
2018-10-31,49186,0,0.0
2018-11-01,70104,25000,35.66
2018-11-02,15273,0,0.0
2018-11-06,189372,79444,41.95
2018-11-07,83073,6233,7.5
2018-11-08,357253,24947,6.98
2018-11-09,72025,0,0.0
2018-11-12,680474,28523,4.19
2018-11-13,112897,53000,46.95
2018-11-14,474954,421992,88.85
2018-11-15,483868,129434,26.75
2018-11-16,216667,145001,66.92
2018-11-19,42230,17779,42.1
2018-11-20,514190,359840,69.98
2018-11-21,115328,11324,9.82
2018-11-22,182337,163005,89.4
2018-11-23,610835,454016,74.33
2018-11-26,1012334,674847,66.66
2018-11-27,121350,100011,82.42
2018-11-28,224472,166866,74.34
2018-11-29,20367,0,0.0
2018-11-30,79701,45076,56.56
2018-12-03,18851,0,0.0
2018-12-04,86057,0,0.0
2018-12-05,16900,0,0.0
2018-12-06,6935,0,0.0
2018-12-07,2636,0,0.0
2018-12-10,23202,0,0.0
2018-12-11,17497,5196,29.7
2018-12-12,118066,49922,42.28
2018-12-13,9116,0,0.0
2018-12-14,51612,2,0.0
2018-12-17,20807,0,0.0
2018-12-18,4211,0,0.0
2018-12-19,1028756,104363,10.14
2018-12-20,11022,0,0.0
2018-12-21,8490,0,0.0
